Trainer 254,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,WEEPINBELL,KRICKETUNE,TROPIUS,WHIRLIPEDE,NONE,NONE
Level,26,26,26,26,,
Ability,CHLOROPHYLL,SWARM,CHLOROPHYLL,POISON_POINT,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,GROWTH,ABSORB,LEAF_TORNADO,BUG_BITE,,
Move 2,VINE_WHIP,FOCUS_ENERGY,MAGICAL_LEAF,IRON_DEFENSE,,
Move 3,ACID,SLASH,STOMP,VENOSHOCK,,
Move 4,SLEEP_POWDER,FURY_CUTTER,GUST,POISON_TAIL,,
Optional Move 1,WRAP,GROWL,LEAF_STORM,POISON_STING,,
Optional Move 2,POISON_POWDER,BIDE,LEER,DEFENSE_CURL,,
Optional Move 3,STUN_SPORE,SING,GROWTH,ROLLOUT,,
Optional Move 4,TOXIC,TOXIC,RAZOR_LEAF,PROTECT,,
Optional Move 5,BULLET_SEED,HIDDEN_POWER,SWEET_SCENT,SCREECH,,
Optional Move 6,HIDDEN_POWER,SUNNY_DAY,WHIRLWIND,PURSUIT,,
Optional Move 7,SUNNY_DAY,HYPER_BEAM,HEADBUTT,HIDDEN_POWER,,
Optional Move 8,PROTECT,PROTECT,SLAM,SUNNY_DAY,,
Optional Move 9,GIGA_DRAIN,RAIN_DANCE,RAZOR_WIND,FRUSTRATION,,
Optional Move 10,FRUSTRATION,GIGA_DRAIN,LEECH_SEED,SOLAR_BEAM,,
Optional Move 11,SOLAR_BEAM,FRUSTRATION,NATURE_POWER,RETURN,,
Optional Move 12,RETURN,RETURN,CURSE,DOUBLE_TEAM,,
Optional Move 13,DOUBLE_TEAM,BRICK_BREAK,LEAF_BLADE,SLUDGE_BOMB,,
Optional Move 14,SLUDGE_BOMB,DOUBLE_TEAM,DRAGON_DANCE,FACADE,,
Optional Move 15,FACADE,AERIAL_ACE,CALM_MIND,SECRET_POWER,,
Optional Move 16,SECRET_POWER,FACADE,ROAR,REST,,
Optional Move 17,REST,SECRET_POWER,TOXIC,ATTRACT,,
Optional Move 18,ATTRACT,REST,BULLET_SEED,ENDURE,,
Optional Move 19,THIEF,ATTRACT,HIDDEN_POWER,PAYBACK,,
Optional Move 20,ENERGY_BALL,FALSE_SWIPE,SUNNY_DAY,GYRO_BALL,,
Optional Move 21,ENDURE,ENDURE,HYPER_BEAM,SLEEP_TALK,,
Optional Move 22,FLASH,SILVER_WIND,PROTECT,POISON_JAB,,
Optional Move 23,SWORDS_DANCE,GIGA_IMPACT,RAIN_DANCE,SWAGGER,,
Optional Move 24,CAPTIVATE,FLASH,GIGA_DRAIN,SUBSTITUTE,,
Optional Move 25,SLEEP_TALK,SWORDS_DANCE,SAFEGUARD,,,
Optional Move 26,NATURAL_GIFT,CAPTIVATE,FRUSTRATION,,,
Optional Move 27,GRASS_KNOT,SLEEP_TALK,EARTHQUAKE,,,
Optional Move 28,SWAGGER,NATURAL_GIFT,RETURN,,,
Optional Move 29,SUBSTITUTE,SWAGGER,DOUBLE_TEAM,,,
Optional Move 30,,SUBSTITUTE,AERIAL_ACE,,,
Optional Move 31,,,FACADE,,,
Optional Move 32,,,SECRET_POWER,,,
Optional Move 33,,,REST,,,
Optional Move 34,,,ATTRACT,,,
Optional Move 35,,,STEEL_WING,,,
Optional Move 36,,,ROOST,,,
Optional Move 37,,,ENERGY_BALL,,,
Optional Move 38,,,ENDURE,,,
Optional Move 39,,,DRAGON_PULSE,,,
Optional Move 40,,,SILVER_WIND,,,
Optional Move 41,,,GIGA_IMPACT,,,
Optional Move 42,,,FLASH,,,
Optional Move 43,,,SWORDS_DANCE,,,
Optional Move 44,,,CAPTIVATE,,,
Optional Move 45,,,SLEEP_TALK,,,
Optional Move 46,,,GRASS_KNOT,,,
Optional Move 47,,,SWAGGER,,,
Optional Move 48,,,U_TURN,,,
Optional Move 49,,,SUBSTITUTE,,,
