Trainer 260,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MEOWTH,PARASECT,CHATOT,POIPOLE,NONE,NONE
Level,27,27,27,27,,
Ability,PICKUP,EFFECT_SPORE,KEEN_EYE,BEAST_BOOST,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,HONE_CLAWS,ABSORB,HYPER_VOICE,DRAGON_PULSE,,
Move 2,FEINT_ATTACK,SPORE,CONFIDE,GROWL,,
Move 3,METAL_CLAW,CROSS_POISON,CHATTER,VENOSHOCK,,
Move 4,FAKE_OUT,FURY_CUTTER,GROWL,ACID,,
Optional Move 1,GROWL,SCRATCH,TAUNT,PECK,,
Optional Move 2,SCRATCH,STUN_SPORE,PECK,HELPING_HAND,,
Optional Move 3,BITE,POISON_POWDER,MIRROR_MOVE,FURY_ATTACK,,
Optional Move 4,PAY_DAY,TOXIC,SING,CHARM,,
Optional Move 5,TAUNT,BULLET_SEED,FURY_ATTACK,HIDDEN_POWER,,
Optional Move 6,FURY_SWIPES,HIDDEN_POWER,ENCORE,PROTECT,,
Optional Move 7,FEINT,SUNNY_DAY,NIGHT_SHADE,FRUSTRATION,,
Optional Move 8,SCREECH,HYPER_BEAM,AGILITY,IRON_TAIL,,
Optional Move 9,SPITE,LIGHT_SCREEN,NASTY_PLOT,RETURN,,
Optional Move 10,CHARM,PROTECT,SUPERSONIC,SLUDGE_BOMB,,
Optional Move 11,HYPNOSIS,FRUSTRATION,TOXIC,FACADE,,
Optional Move 12,AMNESIA,SOLAR_BEAM,HIDDEN_POWER,SECRET_POWER,,
Optional Move 13,PSYCH_UP,RETURN,SUNNY_DAY,REST,,
Optional Move 14,ASSIST,DIG,PROTECT,SNATCH,,
Optional Move 15,ODOR_SLEUTH,BRICK_BREAK,RAIN_DANCE,ENDURE,,
Optional Move 16,FLAIL,DOUBLE_TEAM,FRUSTRATION,SLEEP_TALK,,
Optional Move 17,LAST_RESORT,SLUDGE_BOMB,RETURN,SUBSTITUTE,,
Optional Move 18,PUNISHMENT,AERIAL_ACE,DOUBLE_TEAM,,,
Optional Move 19,TAIL_WHIP,FACADE,AERIAL_ACE,,,
Optional Move 20,WATER_PULSE,SECRET_POWER,TORMENT,,,
Optional Move 21,TOXIC,REST,FACADE,,,
Optional Move 22,HIDDEN_POWER,ATTRACT,SECRET_POWER,,,
Optional Move 23,SUNNY_DAY,THIEF,REST,,,
Optional Move 24,PROTECT,ENERGY_BALL,ATTRACT,,,
Optional Move 25,RAIN_DANCE,FALSE_SWIPE,THIEF,,,
Optional Move 26,FRUSTRATION,ENDURE,STEEL_WING,,,
Optional Move 27,IRON_TAIL,GIGA_IMPACT,ENDURE,,,
Optional Move 28,THUNDERBOLT,FLASH,CAPTIVATE,,,
Optional Move 29,THUNDER,SWORDS_DANCE,SLEEP_TALK,,,
Optional Move 30,RETURN,CAPTIVATE,NATURAL_GIFT,,,
Optional Move 31,DIG,SLEEP_TALK,SWAGGER,,,
Optional Move 32,SHADOW_BALL,NATURAL_GIFT,PLUCK,,,
Optional Move 33,DOUBLE_TEAM,GRASS_KNOT,U_TURN,,,
Optional Move 34,SHOCK_WAVE,SWAGGER,SUBSTITUTE,,,
Optional Move 35,AERIAL_ACE,SUBSTITUTE,,,,
Optional Move 36,TORMENT,,,,,
Optional Move 37,FACADE,,,,,
Optional Move 38,SECRET_POWER,,,,,
Optional Move 39,REST,,,,,
Optional Move 40,ATTRACT,,,,,
Optional Move 41,THIEF,,,,,
Optional Move 42,SNATCH,,,,,
Optional Move 43,FALSE_SWIPE,,,,,
Optional Move 44,ENDURE,,,,,
Optional Move 45,SHADOW_CLAW,,,,,
Optional Move 46,PAYBACK,,,,,
Optional Move 47,FLASH,,,,,
Optional Move 48,THUNDER_WAVE,,,,,
Optional Move 49,DARK_PULSE,,,,,
Optional Move 50,SLEEP_TALK,,,,,
Optional Move 51,NATURAL_GIFT,,,,,
Optional Move 52,DREAM_EATER,,,,,
Optional Move 53,SWAGGER,,,,,
Optional Move 54,U_TURN,,,,,
Optional Move 55,SUBSTITUTE,,,,,
