Trainer 269,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MUNCHLAX,BEAUTIFLY,CRABRAWLER,NONE,NONE,NONE
Level,27,27,27,,,
Ability,PICKUP,SWARM,HYPER_CUTTER,,,
Held Item,NONE,NONE,NONE,,,
Move 1,LAST_RESORT,MEGA_DRAIN,PURSUIT,,,
Move 2,BODY_SLAM,MORNING_SUN,DIZZY_PUNCH,,,
Move 3,CHIP_AWAY,SILVER_WIND,BUBBLE_BEAM,,,
Move 4,AMNESIA,AIR_CUTTER,ROCK_SMASH,,,
Optional Move 1,LICK,GUST,BUBBLE,,,
Optional Move 2,TACKLE,ABSORB,LEER,,,
Optional Move 3,RECYCLE,STUN_SPORE,POWER_UP_PUNCH,,,
Optional Move 4,METRONOME,ATTRACT,FOCUS_PUNCH,,,
Optional Move 5,ODOR_SLEUTH,TOXIC,TOXIC,,,
Optional Move 6,DEFENSE_CURL,HIDDEN_POWER,BULK_UP,,,
Optional Move 7,COVET,SUNNY_DAY,HIDDEN_POWER,,,
Optional Move 8,BITE,HYPER_BEAM,SUNNY_DAY,,,
Optional Move 9,SCREECH,PROTECT,PROTECT,,,
Optional Move 10,STOCKPILE,SAFEGUARD,RAIN_DANCE,,,
Optional Move 11,SWALLOW,FRUSTRATION,FRUSTRATION,,,
Optional Move 12,CHARM,SOLAR_BEAM,EARTHQUAKE,,,
Optional Move 13,DOUBLE_EDGE,RETURN,RETURN,,,
Optional Move 14,CURSE,PSYCHIC,DIG,,,
Optional Move 15,SUBSTITUTE,SHADOW_BALL,BRICK_BREAK,,,
Optional Move 16,WHIRLWIND,DOUBLE_TEAM,DOUBLE_TEAM,,,
Optional Move 17,PURSUIT,AERIAL_ACE,ROCK_TOMB,,,
Optional Move 18,ZEN_HEADBUTT,FACADE,FACADE,,,
Optional Move 19,COUNTER,SECRET_POWER,SECRET_POWER,,,
Optional Move 20,FOCUS_PUNCH,REST,REST,,,
Optional Move 21,TOXIC,THIEF,ATTRACT,,,
Optional Move 22,HIDDEN_POWER,ROOST,THIEF,,,
Optional Move 23,SUNNY_DAY,ENERGY_BALL,FOCUS_BLAST,,,
Optional Move 24,ICE_BEAM,ENDURE,FLING,,,
Optional Move 25,BLIZZARD,GIGA_IMPACT,ENDURE,,,
Optional Move 26,PROTECT,FLASH,DRAIN_PUNCH,,,
Optional Move 27,RAIN_DANCE,CAPTIVATE,STONE_EDGE,,,
Optional Move 28,FRUSTRATION,SLEEP_TALK,ROCK_SLIDE,,,
Optional Move 29,SOLAR_BEAM,NATURAL_GIFT,SLEEP_TALK,,,
Optional Move 30,THUNDERBOLT,SWAGGER,SWAGGER,,,
Optional Move 31,THUNDER,U_TURN,SUBSTITUTE,,,
Optional Move 32,EARTHQUAKE,SUBSTITUTE,,,,
Optional Move 33,RETURN,,,,,
Optional Move 34,DIG,,,,,
Optional Move 35,PSYCHIC,,,,,
Optional Move 36,SHADOW_BALL,,,,,
Optional Move 37,BRICK_BREAK,,,,,
Optional Move 38,DOUBLE_TEAM,,,,,
Optional Move 39,SHOCK_WAVE,,,,,
Optional Move 40,FLAMETHROWER,,,,,
Optional Move 41,SANDSTORM,,,,,
Optional Move 42,FIRE_BLAST,,,,,
Optional Move 43,ROCK_TOMB,,,,,
Optional Move 44,FACADE,,,,,
Optional Move 45,SECRET_POWER,,,,,
Optional Move 46,REST,,,,,
Optional Move 47,ATTRACT,,,,,
Optional Move 48,ENDURE,,,,,
Optional Move 49,GIGA_IMPACT,,,,,
Optional Move 50,CAPTIVATE,,,,,
Optional Move 51,ROCK_SLIDE,,,,,
Optional Move 52,SLEEP_TALK,,,,,
Optional Move 53,SWAGGER,,,,,
