Trainer 27,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RALTS,BUDEW,TORCHIC,NONE,NONE,NONE
Level,8,8,8,,,
Ability,SYNCHRONIZE,NATURAL_CURE,BLAZE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,CONFUSION,WORRY_SEED,GROWL,,,
Move 2,DOUBLE_TEAM,ABSORB,EMBER,,,
Move 3,DISARMING_VOICE,GROWTH,SCRATCH,,,
Move 4,GROWL,WATER_SPORT,EMBER,,,
Optional Move 1,DISABLE,STUN_SPORE,COUNTER,,,
Optional Move 2,WILL_O_WISP,SPIKES,ENDURE,,,
Optional Move 3,MEAN_LOOK,SYNTHESIS,SWAGGER,,,
Optional Move 4,MEMENTO,PIN_MISSILE,ROCK_SLIDE,,,
Optional Move 5,DESTINY_BOND,COTTON_SPORE,SMELLING_SALTS,,,
Optional Move 6,GRUDGE,SLEEP_POWDER,CRUSH_CLAW,,,
Optional Move 7,SHADOW_SNEAK,RAZOR_LEAF,BATON_PASS,,,
Optional Move 8,CONFUSE_RAY,MIND_READER,AGILITY,,,
Optional Move 9,ENCORE,LEAF_STORM,NIGHT_SLASH,,,
Optional Move 10,TOXIC,EXTRASENSORY,LAST_RESORT,,,
Optional Move 11,HIDDEN_POWER,TOXIC,FEINT,,,
Optional Move 12,SUNNY_DAY,BULLET_SEED,TOXIC,,,
Optional Move 13,TAUNT,HIDDEN_POWER,HIDDEN_POWER,,,
Optional Move 14,LIGHT_SCREEN,SUNNY_DAY,SUNNY_DAY,,,
Optional Move 15,PROTECT,PROTECT,PROTECT,,,
Optional Move 16,RAIN_DANCE,RAIN_DANCE,FRUSTRATION,,,
Optional Move 17,SAFEGUARD,GIGA_DRAIN,RETURN,,,
Optional Move 18,FRUSTRATION,FRUSTRATION,DIG,,,
Optional Move 19,THUNDERBOLT,SOLAR_BEAM,DOUBLE_TEAM,,,
Optional Move 20,RETURN,RETURN,FIRE_BLAST,,,
Optional Move 21,SHADOW_BALL,SHADOW_BALL,ROCK_TOMB,,,
Optional Move 22,REFLECT,DOUBLE_TEAM,FACADE,,,
Optional Move 23,SHOCK_WAVE,SLUDGE_BOMB,SECRET_POWER,,,
Optional Move 24,TORMENT,FACADE,REST,,,
Optional Move 25,FACADE,SECRET_POWER,ATTRACT,,,
Optional Move 26,SECRET_POWER,REST,OVERHEAT,,,
Optional Move 27,REST,ATTRACT,WILL_O_WISP,,,
Optional Move 28,ATTRACT,ENERGY_BALL,SHADOW_CLAW,,,
Optional Move 29,THIEF,ENDURE,SWORDS_DANCE,,,
Optional Move 30,SKILL_SWAP,FLASH,CAPTIVATE,,,
Optional Move 31,SNATCH,SWORDS_DANCE,SLEEP_TALK,,,
Optional Move 32,FLING,PSYCH_UP,NATURAL_GIFT,,,
Optional Move 33,CHARGE_BEAM,CAPTIVATE,SUBSTITUTE,,,
Optional Move 34,ENDURE,SLEEP_TALK,,,,
Optional Move 35,RECYCLE,NATURAL_GIFT,,,,
Optional Move 36,FLASH,GRASS_KNOT,,,,
Optional Move 37,THUNDER_WAVE,SWAGGER,,,,
Optional Move 38,PSYCH_UP,SUBSTITUTE,,,,
Optional Move 39,CAPTIVATE,,,,,
Optional Move 40,SLEEP_TALK,,,,,
Optional Move 41,NATURAL_GIFT,,,,,
Optional Move 42,GRASS_KNOT,,,,,
Optional Move 43,SWAGGER,,,,,
Optional Move 44,SUBSTITUTE,,,,,
Optional Move 45,TRICK_ROOM,,,,,
