Trainer 272,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CORSOLA,CLOYSTER,CLAMPERL,LUMINEON,POLIWHIRL,NONE
Level,28,28,28,28,28,
Ability,HUSTLE,SHELL_ARMOR,SHELL_ARMOR,SWIFT_SWIM,WATER_ABSORB,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,BUBBLE_BEAM,HYDRO_PUMP,IRON_DEFENSE,GUST,BODY_SLAM,
Move 2,AQUA_RING,ICICLE_CRASH,WATER_GUN,SOAK,MUD_SHOT,
Move 3,BRINE,ICE_BEAM,WHIRLPOOL,WATER_PULSE,WATER_SPORT,
Move 4,ANCIENT_POWER,IRON_DEFENSE,CLAMP,WATER_GUN,BUBBLE_BEAM,
Optional Move 1,TACKLE,ICICLE_SPEAR,REFRESH,POUND,WATER_GUN,
Optional Move 2,HARDEN,TOXIC_SPIKES,MUD_SPORT,ATTRACT,HYPNOSIS,
Optional Move 3,BUBBLE,SPIKES,BODY_SLAM,RAIN_DANCE,POUND,
Optional Move 4,WATER_GUN,LEER,SUPERSONIC,CAPTIVATE,BUBBLE,
Optional Move 5,REFRESH,WHIRLPOOL,BARRIER,TOXIC,DOUBLE_SLAP,
Optional Move 6,SPIKE_CANNON,SUPERSONIC,CONFUSE_RAY,HAIL,RAIN_DANCE,
Optional Move 7,LUCKY_CHANT,AURORA_BEAM,AQUA_RING,HIDDEN_POWER,FOCUS_PUNCH,
Optional Move 8,ENDURE,PROTECT,MUDDY_WATER,ICE_BEAM,WATER_PULSE,
Optional Move 9,ROCK_SLIDE,RAZOR_SHELL,WATER_PULSE,BLIZZARD,TOXIC,
Optional Move 10,SCREECH,SHELL_SMASH,TOXIC,HYPER_BEAM,HAIL,
Optional Move 11,MIST,TACKLE,HAIL,PROTECT,HIDDEN_POWER,
Optional Move 12,AMNESIA,WATER_GUN,HIDDEN_POWER,FRUSTRATION,ICE_BEAM,
Optional Move 13,BARRIER,WITHDRAW,ICE_BEAM,RETURN,BLIZZARD,
Optional Move 14,INGRAIN,ICE_SHARD,BLIZZARD,DOUBLE_TEAM,PROTECT,
Optional Move 15,CONFUSE_RAY,SPIKE_CANNON,PROTECT,FACADE,FRUSTRATION,
Optional Move 16,ICICLE_SPEAR,WATER_PULSE,RAIN_DANCE,SECRET_POWER,EARTHQUAKE,
Optional Move 17,NATURE_POWER,TOXIC,FRUSTRATION,REST,RETURN,
Optional Move 18,CURSE,HAIL,RETURN,THIEF,DIG,
Optional Move 19,WATER_PULSE,HIDDEN_POWER,DOUBLE_TEAM,BRINE,PSYCHIC,
Optional Move 20,CALM_MIND,BLIZZARD,FACADE,ENDURE,BRICK_BREAK,
Optional Move 21,TOXIC,HYPER_BEAM,SECRET_POWER,PAYBACK,DOUBLE_TEAM,
Optional Move 22,HAIL,LIGHT_SCREEN,REST,GIGA_IMPACT,FACADE,
Optional Move 23,HIDDEN_POWER,RAIN_DANCE,ATTRACT,FLASH,SECRET_POWER,
Optional Move 24,SUNNY_DAY,FRUSTRATION,BRINE,PSYCH_UP,REST,
Optional Move 25,ICE_BEAM,RETURN,ENDURE,SLEEP_TALK,ATTRACT,
Optional Move 26,BLIZZARD,DOUBLE_TEAM,CAPTIVATE,NATURAL_GIFT,THIEF,
Optional Move 27,LIGHT_SCREEN,TORMENT,SLEEP_TALK,SWAGGER,FLING,
Optional Move 28,PROTECT,FACADE,NATURAL_GIFT,SUBSTITUTE,ENDURE,
Optional Move 29,RAIN_DANCE,SECRET_POWER,SWAGGER,,PSYCH_UP,
Optional Move 30,SAFEGUARD,REST,SUBSTITUTE,,CAPTIVATE,
Optional Move 31,FRUSTRATION,ATTRACT,,,SLEEP_TALK,
Optional Move 32,EARTHQUAKE,BRINE,,,NATURAL_GIFT,
Optional Move 33,RETURN,ENDURE,,,SWAGGER,
Optional Move 34,DIG,EXPLOSION,,,SUBSTITUTE,
Optional Move 35,PSYCHIC,PAYBACK,,,,
Optional Move 36,SHADOW_BALL,GIGA_IMPACT,,,,
Optional Move 37,DOUBLE_TEAM,AVALANCHE,,,,
Optional Move 38,REFLECT,CAPTIVATE,,,,
Optional Move 39,SANDSTORM,SLEEP_TALK,,,,
Optional Move 40,ROCK_TOMB,NATURAL_GIFT,,,,
Optional Move 41,FACADE,POISON_JAB,,,,
Optional Move 42,SECRET_POWER,SWAGGER,,,,
Optional Move 43,REST,SUBSTITUTE,,,,
Optional Move 44,ATTRACT,,,,,
Optional Move 45,EXPLOSION,,,,,
Optional Move 46,ROCK_POLISH,,,,,
Optional Move 47,STONE_EDGE,,,,,
Optional Move 48,STEALTH_ROCK,,,,,
Optional Move 49,CAPTIVATE,,,,,
Optional Move 50,SLEEP_TALK,,,,,
Optional Move 51,NATURAL_GIFT,,,,,
Optional Move 52,SWAGGER,,,,,
Optional Move 53,SUBSTITUTE,,,,,
