Trainer 273,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CARVANHA,CHINCHOU,WUGTRIO,FROGADIER,NONE,NONE
Level,28,28,28,28,,
Ability,ROUGH_SKIN,VOLT_ABSORB,GOOEY,TORRENT,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,ICE_FANG,SIGNAL_BEAM,SAND_ATTACK,GROWL,,
Move 2,BITE,BUBBLE_BEAM,SLAM,WATER_PULSE,,
Move 3,ASSURANCE,THUNDER_WAVE,HEADBUTT,ROUND,,
Move 4,AQUA_JET,SPARK,WATER_PULSE,BUBBLE,,
Optional Move 1,LEER,WATER_GUN,MUD_SLAP,POUND,,
Optional Move 2,RAGE,SUPERSONIC,WATER_GUN,QUICK_ATTACK,,
Optional Move 3,FOCUS_ENERGY,BUBBLE,WRAP,LICK,,
Optional Move 4,POISON_FANG,ELECTRO_BALL,AQUA_JET,SMOKESCREEN,,
Optional Move 5,SCARY_FACE,CONFUSE_RAY,TOXIC,FLING,,
Optional Move 6,SCREECH,SCREECH,HIDDEN_POWER,TOXIC,,
Optional Move 7,SWAGGER,AMNESIA,ICE_BEAM,HIDDEN_POWER,,
Optional Move 8,HYDRO_PUMP,PSYBEAM,BLIZZARD,TAUNT,,
Optional Move 9,DOUBLE_EDGE,WHIRLPOOL,HYPER_BEAM,ICE_BEAM,,
Optional Move 10,THRASH,AGILITY,PROTECT,BLIZZARD,,
Optional Move 11,ANCIENT_POWER,MIST,RAIN_DANCE,PROTECT,,
Optional Move 12,WATER_PULSE,WATER_PULSE,FRUSTRATION,RAIN_DANCE,,
Optional Move 13,TOXIC,TOXIC,RETURN,FRUSTRATION,,
Optional Move 14,HAIL,HAIL,DOUBLE_TEAM,RETURN,,
Optional Move 15,HIDDEN_POWER,HIDDEN_POWER,SANDSTORM,DIG,,
Optional Move 16,TAUNT,ICE_BEAM,FACADE,ROCK_TOMB,,
Optional Move 17,ICE_BEAM,BLIZZARD,SECRET_POWER,AERIAL_ACE,,
Optional Move 18,BLIZZARD,PROTECT,REST,FACADE,,
Optional Move 19,PROTECT,RAIN_DANCE,ATTRACT,SECRET_POWER,,
Optional Move 20,RAIN_DANCE,FRUSTRATION,ENDURE,REST,,
Optional Move 21,FRUSTRATION,THUNDERBOLT,GIGA_IMPACT,ATTRACT,,
Optional Move 22,RETURN,THUNDER,SLEEP_TALK,THIEF,,
Optional Move 23,DOUBLE_TEAM,RETURN,SUBSTITUTE,SNATCH,,
Optional Move 24,TORMENT,DOUBLE_TEAM,,FALSE_SWIPE,,
Optional Move 25,FACADE,SHOCK_WAVE,,ENDURE,,
Optional Move 26,SECRET_POWER,FACADE,,SWORDS_DANCE,,
Optional Move 27,REST,SECRET_POWER,,ROCK_SLIDE,,
Optional Move 28,ATTRACT,REST,,SLEEP_TALK,,
Optional Move 29,THIEF,ATTRACT,,GRASS_KNOT,,
Optional Move 30,BRINE,BRINE,,SWAGGER,,
Optional Move 31,ENDURE,CHARGE_BEAM,,U_TURN,,
Optional Move 32,PAYBACK,ENDURE,,,,
Optional Move 33,CAPTIVATE,FLASH,,,,
Optional Move 34,DARK_PULSE,CAPTIVATE,,,,
Optional Move 35,SLEEP_TALK,SLEEP_TALK,,,,
Optional Move 36,NATURAL_GIFT,NATURAL_GIFT,,,,
Optional Move 37,SUBSTITUTE,SWAGGER,,,,
Optional Move 38,,SUBSTITUTE,,,,
