Trainer 291,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BALTOY,GASTLY,ODDISH,NONE,NONE,NONE
Level,29,29,29,,,
Ability,LEVITATE,LEVITATE,CHLOROPHYLL,,,
Held Item,NONE,NONE,NONE,,,
Move 1,EXTRASENSORY,SUCKER_PUNCH,GIGA_DRAIN,,,
Move 2,ROCK_TOMB,CONFUSE_RAY,TOXIC,,,
Move 3,PSYBEAM,SPITE,ACID,,,
Move 4,MUD_SLAP,LICK,MEGA_DRAIN,,,
Optional Move 1,HARDEN,HYPNOSIS,ABSORB,,,
Optional Move 2,CONFUSION,MEAN_LOOK,GROWTH,,,
Optional Move 3,RAPID_SPIN,CURSE,SWEET_SCENT,,,
Optional Move 4,HEAL_BLOCK,PAYBACK,POISON_POWDER,,,
Optional Move 5,POWER_TRICK,NIGHT_SHADE,STUN_SPORE,,,
Optional Move 6,ANCIENT_POWER,PSYWAVE,SLEEP_POWDER,,,
Optional Move 7,COSMIC_POWER,PERISH_SONG,LUCKY_CHANT,,,
Optional Move 8,CALM_MIND,HAZE,SWORDS_DANCE,,,
Optional Move 9,TOXIC,ASTONISH,RAZOR_LEAF,,,
Optional Move 10,HIDDEN_POWER,WILL_O_WISP,FLAIL,,,
Optional Move 11,SUNNY_DAY,GRUDGE,SYNTHESIS,,,
Optional Move 12,ICE_BEAM,EXPLOSION,CHARM,,,
Optional Move 13,LIGHT_SCREEN,FIRE_PUNCH,INGRAIN,,,
Optional Move 14,PROTECT,ICE_PUNCH,TICKLE,,,
Optional Move 15,RAIN_DANCE,THUNDER_PUNCH,TEETER_DANCE,,,
Optional Move 16,SAFEGUARD,DISABLE,BULLET_SEED,,,
Optional Move 17,FRUSTRATION,TOXIC,HIDDEN_POWER,,,
Optional Move 18,SOLAR_BEAM,HIDDEN_POWER,SUNNY_DAY,,,
Optional Move 19,EARTHQUAKE,SUNNY_DAY,PROTECT,,,
Optional Move 20,RETURN,TAUNT,FRUSTRATION,,,
Optional Move 21,DIG,PROTECT,SOLAR_BEAM,,,
Optional Move 22,PSYCHIC,RAIN_DANCE,RETURN,,,
Optional Move 23,SHADOW_BALL,GIGA_DRAIN,DOUBLE_TEAM,,,
Optional Move 24,DOUBLE_TEAM,FRUSTRATION,SLUDGE_BOMB,,,
Optional Move 25,REFLECT,THUNDERBOLT,FACADE,,,
Optional Move 26,FACADE,THUNDER,SECRET_POWER,,,
Optional Move 27,SECRET_POWER,RETURN,REST,,,
Optional Move 28,REST,PSYCHIC,ATTRACT,,,
Optional Move 29,SKILL_SWAP,DOUBLE_TEAM,ENERGY_BALL,,,
Optional Move 30,CHARGE_BEAM,SLUDGE_BOMB,ENDURE,,,
Optional Move 31,ENDURE,TORMENT,FLASH,,,
Optional Move 32,RECYCLE,FACADE,CAPTIVATE,,,
Optional Move 33,ROCK_POLISH,SECRET_POWER,SLEEP_TALK,,,
Optional Move 34,FLASH,REST,GRASS_KNOT,,,
Optional Move 35,GYRO_BALL,ATTRACT,SWAGGER,,,
Optional Move 36,STEALTH_ROCK,THIEF,SUBSTITUTE,,,
Optional Move 37,PSYCH_UP,SKILL_SWAP,,,,
Optional Move 38,ROCK_SLIDE,SNATCH,,,,
Optional Move 39,SLEEP_TALK,ENERGY_BALL,,,,
Optional Move 40,NATURAL_GIFT,ENDURE,,,,
Optional Move 41,DREAM_EATER,EMBARGO,,,,
Optional Move 42,GRASS_KNOT,PSYCH_UP,,,,
Optional Move 43,SWAGGER,CAPTIVATE,,,,
Optional Move 44,SUBSTITUTE,SLEEP_TALK,,,,
Optional Move 45,TRICK_ROOM,NATURAL_GIFT,,,,
Optional Move 46,,POISON_JAB,,,,
Optional Move 47,,SWAGGER,,,,
Optional Move 48,,SUBSTITUTE,,,,
Optional Move 49,,TRICK_ROOM,,,,
