Trainer 297,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SLOWPOKE,DARUMAKA,VOLTORB,NONE,NONE,NONE
Level,31,31,31,,,
Ability,GLUTTONY,HUSTLE,SOUNDPROOF,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ZEN_HEADBUTT,FIRE_PUNCH,ENERGY_BALL,,,
Move 2,SURF,UPROAR,CHARGE,,,
Move 3,AMNESIA,INCINERATE,SWIFT,,,
Move 4,CURSE,FIRE_FANG,CHARGE_BEAM,,,
Optional Move 1,TACKLE,EMBER,TACKLE,,,
Optional Move 2,GROWL,TACKLE,SONIC_BOOM,,,
Optional Move 3,WATER_GUN,ROLLOUT,EERIE_IMPULSE,,,
Optional Move 4,YAWN,BITE,SPARK,,,
Optional Move 5,CONFUSION,RAGE,ROLLOUT,,,
Optional Move 6,DISABLE,TAUNT,SCREECH,,,
Optional Move 7,WATER_PULSE,HEADBUTT,ELECTRO_BALL,,,
Optional Move 8,HEADBUTT,FACADE,SELF_DESTRUCT,,,
Optional Move 9,SAFEGUARD,WORK_UP,LIGHT_SCREEN,,,
Optional Move 10,BELLY_DRUM,ENCORE,TOXIC,,,
Optional Move 11,FUTURE_SIGHT,ENDURE,HIDDEN_POWER,,,
Optional Move 12,STOMP,FLAME_WHEEL,TAUNT,,,
Optional Move 13,MUD_SPORT,FOCUS_ENERGY,PROTECT,,,
Optional Move 14,SLEEP_TALK,FOCUS_PUNCH,RAIN_DANCE,,,
Optional Move 15,SNORE,HAMMER_ARM,FRUSTRATION,,,
Optional Move 16,ME_FIRST,SLEEP_TALK,THUNDERBOLT,,,
Optional Move 17,BLOCK,TAKE_DOWN,THUNDER,,,
Optional Move 18,CALM_MIND,YAWN,RETURN,,,
Optional Move 19,TOXIC,ROAR,DOUBLE_TEAM,,,
Optional Move 20,HAIL,TOXIC,SHOCK_WAVE,,,
Optional Move 21,HIDDEN_POWER,HIDDEN_POWER,TORMENT,,,
Optional Move 22,SUNNY_DAY,SUNNY_DAY,FACADE,,,
Optional Move 23,ICE_BEAM,PROTECT,SECRET_POWER,,,
Optional Move 24,BLIZZARD,FRUSTRATION,REST,,,
Optional Move 25,LIGHT_SCREEN,SOLAR_BEAM,THIEF,,,
Optional Move 26,PROTECT,RETURN,ENDURE,,,
Optional Move 27,FRUSTRATION,DIG,RECYCLE,,,
Optional Move 28,IRON_TAIL,BRICK_BREAK,FLASH,,,
Optional Move 29,EARTHQUAKE,DOUBLE_TEAM,THUNDER_WAVE,,,
Optional Move 30,RETURN,FLAMETHROWER,SLEEP_TALK,,,
Optional Move 31,DIG,FIRE_BLAST,NATURAL_GIFT,,,
Optional Move 32,SHADOW_BALL,ROCK_TOMB,SWAGGER,,,
Optional Move 33,DOUBLE_TEAM,SECRET_POWER,SUBSTITUTE,,,
Optional Move 34,FLAMETHROWER,REST,,,,
Optional Move 35,FIRE_BLAST,ATTRACT,,,,
Optional Move 36,FACADE,THIEF,,,,
Optional Move 37,SECRET_POWER,SNATCH,,,,
Optional Move 38,REST,FLING,,,,
Optional Move 39,ATTRACT,WILL_O_WISP,,,,
Optional Move 40,SKILL_SWAP,GYRO_BALL,,,,
Optional Move 41,BRINE,ROCK_SLIDE,,,,
Optional Move 42,ENDURE,GRASS_KNOT,,,,
Optional Move 43,RECYCLE,SWAGGER,,,,
Optional Move 44,FLASH,U_TURN,,,,
Optional Move 45,AVALANCHE,SUBSTITUTE,,,,
Optional Move 46,THUNDER_WAVE,,,,,
Optional Move 47,CAPTIVATE,,,,,
Optional Move 48,NATURAL_GIFT,,,,,
Optional Move 49,DREAM_EATER,,,,,
Optional Move 50,GRASS_KNOT,,,,,
Optional Move 51,SWAGGER,,,,,
Optional Move 52,SUBSTITUTE,,,,,
Optional Move 53,TRICK_ROOM,,,,,
