Trainer 3,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BUNNELBY,WOOPER,NONE,NONE,NONE,NONE
Level,4,4,,,,
Ability,PICKUP,DAMP,,,,
Held Item,NONE,NONE,,,,
Move 1,AGILITY,TAIL_WHIP,,,,
Move 2,TACKLE,WATER_GUN,,,,
Move 3,LEER,WATER_GUN,,,,
Move 4,MUD_SLAP,WATER_GUN,,,,
Optional Move 1,TOXIC,BODY_SLAM,,,,
Optional Move 2,BULK_UP,ANCIENT_POWER,,,,
Optional Move 3,HIDDEN_POWER,SAFEGUARD,,,,
Optional Move 4,PROTECT,CURSE,,,,
Optional Move 5,FRUSTRATION,STOCKPILE,,,,
Optional Move 6,IRON_TAIL,SWALLOW,,,,
Optional Move 7,RETURN,SPIT_UP,,,,
Optional Move 8,BRICK_BREAK,COUNTER,,,,
Optional Move 9,DOUBLE_TEAM,ENCORE,,,,
Optional Move 10,SLUDGE_BOMB,DOUBLE_KICK,,,,
Optional Move 11,SANDSTORM,RECOVER,,,,
Optional Move 12,ROCK_TOMB,WATER_PULSE,,,,
Optional Move 13,TORMENT,HAIL,,,,
Optional Move 14,SECRET_POWER,HIDDEN_POWER,,,,
Optional Move 15,REST,ICE_BEAM,,,,
Optional Move 16,ATTRACT,BLIZZARD,,,,
Optional Move 17,THIEF,PROTECT,,,,
Optional Move 18,FLING,FRUSTRATION,,,,
Optional Move 19,ENDURE,IRON_TAIL,,,,
Optional Move 20,PAYBACK,RETURN,,,,
Optional Move 21,RECYCLE,DIG,,,,
Optional Move 22,STONE_EDGE,DOUBLE_TEAM,,,,
Optional Move 23,ROCK_SLIDE,SLUDGE_BOMB,,,,
Optional Move 24,SLEEP_TALK,SANDSTORM,,,,
Optional Move 25,GRASS_KNOT,ROCK_TOMB,,,,
Optional Move 26,SWAGGER,FACADE,,,,
Optional Move 27,U_TURN,SECRET_POWER,,,,
Optional Move 28,SUBSTITUTE,REST,,,,
Optional Move 29,,ATTRACT,,,,
Optional Move 30,,ENDURE,,,,
Optional Move 31,,FLASH,,,,
Optional Move 32,,STONE_EDGE,,,,
Optional Move 33,,AVALANCHE,,,,
Optional Move 34,,STEALTH_ROCK,,,,
Optional Move 35,,CAPTIVATE,,,,
Optional Move 36,,ROCK_SLIDE,,,,
Optional Move 37,,SLEEP_TALK,,,,
Optional Move 38,,NATURAL_GIFT,,,,
Optional Move 39,,SWAGGER,,,,
Optional Move 40,,SUBSTITUTE,,,,
