Trainer 305,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HELIOPTILE,KLINK,REMORAID,GULPIN,YAMASK,MACHOP
Level,33,33,33,33,33,33
Ability,DRY_SKIN,PLUS,HUSTLE,LIQUID_OOZE,MUMMY,GUTS
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,VOLT_SWITCH,DISCHARGE,ICE_BEAM,SLUDGE_BOMB,HEX,STRENGTH
Move 2,PARABOLIC_CHARGE,CHARGE,SIGNAL_BEAM,AMNESIA,OMINOUS_WIND,KNOCK_OFF
Move 3,BULLDOZE,GEAR_GRIND,FOCUS_ENERGY,SLUDGE,CURSE,LOW_SWEEP
Move 4,RAZOR_WIND,VICE_GRIP,BUBBLE_BEAM,STOCKPILE,PROTECT,VITAL_THROW
Optional Move 1,MUD_SLAP,THUNDER_SHOCK,WATER_GUN,POUND,ASTONISH,LOW_KICK
Optional Move 2,TAIL_WHIP,BIND,HELPING_HAND,YAWN,HAZE,LEER
Optional Move 3,POUND,CHARGE_BEAM,PSYBEAM,POISON_GAS,DISABLE,FOCUS_ENERGY
Optional Move 4,THUNDER_SHOCK,AUTOTOMIZE,WATER_PULSE,ACID_SPRAY,NIGHT_SHADE,KARATE_CHOP
Optional Move 5,CHARGE,METAL_SOUND,AURORA_BEAM,ENCORE,WILL_O_WISP,FORESIGHT
Optional Move 6,QUICK_ATTACK,SCREECH,LOCK_ON,TOXIC,CRAFTY_SHIELD,REVENGE
Optional Move 7,THUNDER_WAVE,TOXIC,BULLET_SEED,SPIT_UP,ENDURE,WAKE_UP_SLAP
Optional Move 8,TOXIC,HIDDEN_POWER,OCTAZOOKA,SWALLOW,FAKE_TEARS,SEISMIC_TOSS
Optional Move 9,HIDDEN_POWER,PROTECT,SUPERSONIC,DREAM_EATER,HEAL_BLOCK,SCARY_FACE
Optional Move 10,LIGHT_SCREEN,FRUSTRATION,HAZE,ACID_ARMOR,IMPRISON,DUAL_CHOP
Optional Move 11,PROTECT,THUNDERBOLT,SCREECH,SMOG,MEMENTO,SUBMISSION
Optional Move 12,RAIN_DANCE,RETURN,THUNDER_WAVE,PAIN_SPLIT,NASTY_PLOT,LIGHT_SCREEN
Optional Move 13,FRUSTRATION,DOUBLE_TEAM,ROCK_BLAST,CURSE,NIGHTMARE,MEDITATE
Optional Move 14,IRON_TAIL,SHOCK_WAVE,SNORE,DESTINY_BOND,CALM_MIND,ROLLING_KICK
Optional Move 15,RETURN,SANDSTORM,FLAIL,WATER_PULSE,TOXIC,ENCORE
Optional Move 16,DIG,FACADE,WATER_SPOUT,BULLET_SEED,HIDDEN_POWER,SMELLING_SALTS
Optional Move 17,DOUBLE_TEAM,SECRET_POWER,TOXIC,HIDDEN_POWER,RAIN_DANCE,COUNTER
Optional Move 18,SHOCK_WAVE,REST,HIDDEN_POWER,SUNNY_DAY,SAFEGUARD,ROCK_SLIDE
Optional Move 19,SANDSTORM,ATTRACT,SUNNY_DAY,ICE_BEAM,FRUSTRATION,CLOSE_COMBAT
Optional Move 20,ROCK_TOMB,ENDURE,BLIZZARD,PROTECT,RETURN,FIRE_PUNCH
Optional Move 21,FACADE,RECYCLE,PROTECT,RAIN_DANCE,PSYCHIC,THUNDER_PUNCH
Optional Move 22,SECRET_POWER,ROCK_POLISH,RAIN_DANCE,GIGA_DRAIN,DOUBLE_TEAM,ICE_PUNCH
Optional Move 23,REST,THUNDER_WAVE,FRUSTRATION,FRUSTRATION,SHOCK_WAVE,BULLET_PUNCH
Optional Move 24,ATTRACT,SLEEP_TALK,RETURN,SOLAR_BEAM,FACADE,POWER_TRICK
Optional Move 25,CHARGE_BEAM,SWAGGER,PSYCHIC,RETURN,SECRET_POWER,FOCUS_PUNCH
Optional Move 26,ENDURE,SUBSTITUTE,DOUBLE_TEAM,SHADOW_BALL,REST,TOXIC
Optional Move 27,FLASH,FLASH_CANNON,FLAMETHROWER,DOUBLE_TEAM,ATTRACT,HIDDEN_POWER
Optional Move 28,DARK_PULSE,,FIRE_BLAST,SHOCK_WAVE,THIEF,SUNNY_DAY
