Trainer 316,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FLOETTE,HELIOLISK,INKAY,CLAUNCHER,QUILLADIN,NONE
Level,28,28,28,28,28,
Ability,FLOWER_VEIL,DRY_SKIN,CONTRARY,MEGA_LAUNCHER,OVERGROW,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,FAIRY_WIND,THUNDERBOLT,FOUL_PLAY,HONE_CLAWS,ROLLOUT,
Move 2,MAGICAL_LEAF,THUNDER,PLUCK,BUBBLE_BEAM,LEECH_SEED,
Move 3,RAZOR_LEAF,DISCHARGE,SWAGGER,VICE_GRIP,NEEDLE_ARM,
Move 4,VINE_WHIP,RAZOR_WIND,PSYBEAM,SMACK_DOWN,BITE,
Optional Move 1,TACKLE,EERIE_IMPULSE,PECK,SPLASH,GROWL,
Optional Move 2,LUCKY_CHANT,QUICK_ATTACK,TACKLE,WATER_GUN,VINE_WHIP,
Optional Move 3,WISH,CHARGE,CONSTRICT,WATER_SPORT,PIN_MISSILE,
Optional Move 4,GRASSY_TERRAIN,BULLDOZE,REFLECT,FLAIL,FOCUS_PUNCH,
Optional Move 5,CALM_MIND,VOLT_SWITCH,WRAP,BUBBLE,ROAR,
Optional Move 6,TOXIC,PARABOLIC_CHARGE,HYPNOSIS,AQUA_JET,TOXIC,
Optional Move 7,HIDDEN_POWER,THUNDER_WAVE,PSYWAVE,TOXIC,BULLET_SEED,
Optional Move 8,SUNNY_DAY,ELECTRIFY,PAYBACK,HIDDEN_POWER,HIDDEN_POWER,
Optional Move 9,LIGHT_SCREEN,MUD_SLAP,TOPSY_TURVY,ICE_BEAM,SUNNY_DAY,
Optional Move 10,PROTECT,TAIL_WHIP,SWITCHEROO,BLIZZARD,TAUNT,
Optional Move 11,RAIN_DANCE,POUND,CALM_MIND,PROTECT,PROTECT,
Optional Move 12,GIGA_DRAIN,THUNDER_SHOCK,TOXIC,RAIN_DANCE,RAIN_DANCE,
Optional Move 13,SAFEGUARD,TOXIC,HIDDEN_POWER,FRUSTRATION,GIGA_DRAIN,
Optional Move 14,FRUSTRATION,HIDDEN_POWER,SUNNY_DAY,IRON_TAIL,FRUSTRATION,
Optional Move 15,RETURN,SUNNY_DAY,TAUNT,RETURN,SOLAR_BEAM,
Optional Move 16,PSYCHIC,HYPER_BEAM,PROTECT,DOUBLE_TEAM,IRON_TAIL,
Optional Move 17,DOUBLE_TEAM,LIGHT_SCREEN,RAIN_DANCE,FACADE,RETURN,
Optional Move 18,FACADE,PROTECT,FRUSTRATION,SECRET_POWER,DIG,
Optional Move 19,SECRET_POWER,RAIN_DANCE,THUNDERBOLT,REST,BRICK_BREAK,
Optional Move 20,REST,FRUSTRATION,RETURN,ATTRACT,DOUBLE_TEAM,
Optional Move 21,ATTRACT,SOLAR_BEAM,PSYCHIC,THIEF,REFLECT,
Optional Move 22,SKILL_SWAP,IRON_TAIL,DOUBLE_TEAM,ENDURE,ROCK_TOMB,
Optional Move 23,ENERGY_BALL,RETURN,FLAMETHROWER,DRAGON_PULSE,AERIAL_ACE,
Optional Move 24,ENDURE,DIG,FIRE_BLAST,DARK_PULSE,FACADE,
Optional Move 25,FLASH,DOUBLE_TEAM,AERIAL_ACE,ROCK_SLIDE,SECRET_POWER,
Optional Move 26,CAPTIVATE,SHOCK_WAVE,TORMENT,SLEEP_TALK,REST,
Optional Move 27,SLEEP_TALK,SANDSTORM,FACADE,SWAGGER,ATTRACT,
Optional Move 28,GRASS_KNOT,ROCK_TOMB,SECRET_POWER,U_TURN,ENERGY_BALL,
Optional Move 29,SWAGGER,FACADE,REST,SUBSTITUTE,FLING,
Optional Move 30,SUBSTITUTE,SECRET_POWER,ATTRACT,FLASH_CANNON,ENDURE,
Optional Move 31,,REST,THIEF,,DRAIN_PUNCH,
Optional Move 32,,ATTRACT,SKILL_SWAP,,SHADOW_CLAW,
Optional Move 33,,FOCUS_BLAST,SNATCH,,PAYBACK,
Optional Move 34,,CHARGE_BEAM,FLING,,FLASH,
Optional Move 35,,ENDURE,ENDURE,,STONE_EDGE,
Optional Move 36,,DRAGON_PULSE,EMBARGO,,GYRO_BALL,
Optional Move 37,,GIGA_IMPACT,FLASH,,ROCK_SLIDE,
Optional Move 38,,FLASH,PSYCH_UP,,SLEEP_TALK,
Optional Move 39,,DARK_PULSE,ROCK_SLIDE,,POISON_JAB,
Optional Move 40,,ROCK_SLIDE,SLEEP_TALK,,GRASS_KNOT,
Optional Move 41,,SLEEP_TALK,SUBSTITUTE,,SWAGGER,
Optional Move 42,,GRASS_KNOT,TRICK_ROOM,,SUBSTITUTE,
Optional Move 43,,SWAGGER,,,,
Optional Move 44,,U_TURN,,,,
Optional Move 45,,SUBSTITUTE,,,,
