Trainer 327,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KIRLIA,VESPIQUEN,BUNEARY,SWINUB,PRINPLUP,NONE
Level,29,29,29,29,29,
Ability,SYNCHRONIZE,PRESSURE,RUN_AWAY,OBLIVIOUS,TORRENT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,PSYBEAM,POWER_GEM,JUMP_KICK,MUD_BOMB,PECK,
Move 2,CALM_MIND,SLASH,DEFENSE_CURL,MUD_SPORT,WATER_SPORT,
Move 3,MAGICAL_LEAF,BUG_BITE,POUND,ICY_WIND,BUBBLE_BEAM,
Move 4,CONFUSION,GUST,QUICK_ATTACK,ICE_SHARD,METAL_CLAW,
Optional Move 1,GROWL,STRUGGLE_BUG,SPLASH,TACKLE,TACKLE,
Optional Move 2,DISARMING_VOICE,SWEET_SCENT,FRUSTRATION,MUD_SLAP,GROWL,
Optional Move 3,DOUBLE_TEAM,POISON_STING,FORESIGHT,ODOR_SLEUTH,BUBBLE,
Optional Move 4,TELEPORT,CONFUSE_RAY,ENDURE,POWDER_SNOW,BIDE,
Optional Move 5,LUCKY_CHANT,FELL_STINGER,BABY_DOLL_EYES,ENDURE,FURY_ATTACK,
Optional Move 6,DRAINING_KISS,DESTINY_BOND,DOUBLE_KICK,FLAIL,WATER_PULSE,
Optional Move 7,LIFE_DEW,FURY_CUTTER,AFTER_YOU,MIST,TOXIC,
Optional Move 8,HYPNOSIS,AROMATIC_MIST,BATON_PASS,BITE,HAIL,
Optional Move 9,TOXIC,PURSUIT,FAKE_TEARS,BODY_SLAM,HIDDEN_POWER,
Optional Move 10,HIDDEN_POWER,FURY_SWIPES,FAKE_OUT,ROCK_SLIDE,ICE_BEAM,
Optional Move 11,SUNNY_DAY,AROMATHERAPY,ENCORE,ANCIENT_POWER,BLIZZARD,
Optional Move 12,TAUNT,DEFEND_ORDER,SWEET_KISS,MUD_SHOT,PROTECT,
Optional Move 13,HYPER_BEAM,HEAL_ORDER,DOUBLE_HIT,ICICLE_SPEAR,RAIN_DANCE,
Optional Move 14,LIGHT_SCREEN,HIDDEN_POWER,ATTRACT,DOUBLE_EDGE,FRUSTRATION,
Optional Move 15,PROTECT,SUNNY_DAY,LOW_KICK,FISSURE,RETURN,
Optional Move 16,RAIN_DANCE,TAUNT,SKY_UPPERCUT,CURSE,BRICK_BREAK,
Optional Move 17,SAFEGUARD,HYPER_BEAM,SWITCHEROO,ROAR,DOUBLE_TEAM,
Optional Move 18,FRUSTRATION,PROTECT,THUNDER_PUNCH,TOXIC,ROCK_TOMB,
Optional Move 19,THUNDERBOLT,RAIN_DANCE,ICE_PUNCH,HAIL,AERIAL_ACE,
Optional Move 20,RETURN,FRUSTRATION,FIRE_PUNCH,HIDDEN_POWER,FACADE,
Optional Move 21,SHADOW_BALL,RETURN,FLAIL,ICE_BEAM,SECRET_POWER,
Optional Move 22,REFLECT,DOUBLE_TEAM,FOCUS_PUNCH,PROTECT,REST,
Optional Move 23,SHOCK_WAVE,SLUDGE_BOMB,WATER_PULSE,RAIN_DANCE,ATTRACT,
Optional Move 24,TORMENT,AERIAL_ACE,TOXIC,FRUSTRATION,ROOST,
Optional Move 25,FACADE,FACADE,HIDDEN_POWER,RETURN,FLING,
Optional Move 26,SECRET_POWER,SECRET_POWER,SUNNY_DAY,DIG,ENDURE,
Optional Move 27,REST,REST,ICE_BEAM,DOUBLE_TEAM,SHADOW_CLAW,
Optional Move 28,ATTRACT,ATTRACT,PROTECT,SANDSTORM,PSYCH_UP,
Optional Move 29,THIEF,THIEF,RAIN_DANCE,ROCK_TOMB,CAPTIVATE,
Optional Move 30,SKILL_SWAP,ROOST,SOLAR_BEAM,FACADE,SLEEP_TALK,
Optional Move 31,SNATCH,FLING,IRON_TAIL,SECRET_POWER,NATURAL_GIFT,
Optional Move 32,FLING,ENDURE,THUNDERBOLT,REST,GRASS_KNOT,
Optional Move 33,CHARGE_BEAM,SILVER_WIND,RETURN,ATTRACT,SWAGGER,
Optional Move 34,ENDURE,GIGA_IMPACT,DIG,STONE_EDGE,PLUCK,
Optional Move 35,WILL_O_WISP,FLASH,SHADOW_BALL,AVALANCHE,SUBSTITUTE,
Optional Move 36,RECYCLE,X_SCISSOR,DOUBLE_TEAM,STEALTH_ROCK,,
Optional Move 37,FLASH,SLEEP_TALK,SHOCK_WAVE,CAPTIVATE,,
Optional Move 38,THUNDER_WAVE,NATURAL_GIFT,FACADE,SLEEP_TALK,,
Optional Move 39,PSYCH_UP,U_TURN,SECRET_POWER,NATURAL_GIFT,,
Optional Move 40,CAPTIVATE,SUBSTITUTE,REST,SWAGGER,,
Optional Move 41,SLEEP_TALK,,FLING,SUBSTITUTE,,
Optional Move 42,NATURAL_GIFT,,CHARGE_BEAM,,,
Optional Move 43,GRASS_KNOT,,DRAIN_PUNCH,,,
Optional Move 44,SWAGGER,,PAYBACK,,,
Optional Move 45,SUBSTITUTE,,THUNDER_WAVE,,,
Optional Move 46,TRICK_ROOM,,CAPTIVATE,,,
Optional Move 47,,,SLEEP_TALK,,,
Optional Move 48,,,NATURAL_GIFT,,,
Optional Move 49,,,GRASS_KNOT,,,
Optional Move 50,,,SWAGGER,,,
Optional Move 51,,,SUBSTITUTE,,,
