Trainer 328,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ILLUMISE,SNEASEL,GROWLITHE,NONE,NONE,NONE
Level,35,35,35,,,
Ability,OBLIVIOUS,INNER_FOCUS,INTIMIDATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ZEN_HEADBUTT,POISON_JAB,CRUNCH,,,
Move 2,STRUGGLE_BUG,BRICK_BREAK,HOWL,,,
Move 3,PLAY_NICE,METAL_CLAW,FIRE_FANG,,,
Move 4,SWEET_SCENT,TAUNT,RETALIATE,,,
Optional Move 1,TACKLE,LEER,EMBER,,,
Optional Move 2,CHARM,SCRATCH,LEER,,,
Optional Move 3,QUICK_ATTACK,QUICK_ATTACK,BITE,,,
Optional Move 4,MOONLIGHT,ICY_WIND,FLAME_WHEEL,,,
Optional Move 5,WISH,FURY_SWIPES,HELPING_HAND,,,
Optional Move 6,ENCORE,COUNTER,AGILITY,,,
Optional Move 7,FLATTER,SPITE,BODY_SLAM,,,
Optional Move 8,BATON_PASS,FORESIGHT,SAFEGUARD,,,
Optional Move 9,SILVER_WIND,REFLECT,THRASH,,,
Optional Move 10,GROWTH,BITE,FIRE_SPIN,,,
Optional Move 11,FOCUS_PUNCH,CRUSH_CLAW,HEAT_WAVE,,,
Optional Move 12,WATER_PULSE,FAKE_OUT,DOUBLE_EDGE,,,
Optional Move 13,TOXIC,DOUBLE_HIT,MORNING_SUN,,,
Optional Move 14,HIDDEN_POWER,PUNISHMENT,TOXIC,,,
Optional Move 15,SUNNY_DAY,PURSUIT,HIDDEN_POWER,,,
Optional Move 16,LIGHT_SCREEN,ICE_SHARD,SUNNY_DAY,,,
Optional Move 17,PROTECT,ICE_PUNCH,PROTECT,,,
Optional Move 18,RAIN_DANCE,ASSIST,FRUSTRATION,,,
Optional Move 19,GIGA_DRAIN,FOCUS_PUNCH,IRON_TAIL,,,
Optional Move 20,FRUSTRATION,WATER_PULSE,RETURN,,,
Optional Move 21,SOLAR_BEAM,CALM_MIND,DIG,,,
Optional Move 22,THUNDERBOLT,TOXIC,DOUBLE_TEAM,,,
Optional Move 23,THUNDER,HAIL,FIRE_BLAST,,,
Optional Move 24,RETURN,HIDDEN_POWER,FACADE,,,
Optional Move 25,SHADOW_BALL,SUNNY_DAY,SECRET_POWER,,,
Optional Move 26,BRICK_BREAK,ICE_BEAM,REST,,,
Optional Move 27,DOUBLE_TEAM,BLIZZARD,ATTRACT,,,
Optional Move 28,SHOCK_WAVE,PROTECT,THIEF,,,
Optional Move 29,AERIAL_ACE,RAIN_DANCE,OVERHEAT,,,
Optional Move 30,FACADE,FRUSTRATION,ENDURE,,,
Optional Move 31,SECRET_POWER,IRON_TAIL,WILL_O_WISP,,,
Optional Move 32,REST,RETURN,CAPTIVATE,,,
Optional Move 33,ATTRACT,DIG,SLEEP_TALK,,,
Optional Move 34,THIEF,SHADOW_BALL,NATURAL_GIFT,,,
Optional Move 35,ROOST,DOUBLE_TEAM,SWAGGER,,,
Optional Move 36,FLING,AERIAL_ACE,SUBSTITUTE,,,
Optional Move 37,CHARGE_BEAM,TORMENT,,,,
Optional Move 38,ENDURE,FACADE,,,,
Optional Move 39,FLASH,SECRET_POWER,,,,
Optional Move 40,THUNDER_WAVE,REST,,,,
Optional Move 41,PSYCH_UP,ATTRACT,,,,
Optional Move 42,CAPTIVATE,THIEF,,,,
Optional Move 43,SLEEP_TALK,SNATCH,,,,
Optional Move 44,NATURAL_GIFT,FALSE_SWIPE,,,,
Optional Move 45,SWAGGER,FLING,,,,
Optional Move 46,U_TURN,ENDURE,,,,
Optional Move 47,SUBSTITUTE,EMBARGO,,,,
Optional Move 48,,SHADOW_CLAW,,,,
Optional Move 49,,PAYBACK,,,,
Optional Move 50,,GIGA_IMPACT,,,,
Optional Move 51,,AVALANCHE,,,,
Optional Move 52,,SWORDS_DANCE,,,,
Optional Move 53,,CAPTIVATE,,,,
Optional Move 54,,DARK_PULSE,,,,
Optional Move 55,,X_SCISSOR,,,,
Optional Move 56,,SLEEP_TALK,,,,
Optional Move 57,,NATURAL_GIFT,,,,
Optional Move 58,,DREAM_EATER,,,,
Optional Move 59,,SWAGGER,,,,
Optional Move 60,,SUBSTITUTE,,,,
