Trainer 333,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BELDUM,METANG,KUBFU,NONE,NONE,NONE
Level,36,36,36,,,
Ability,CLEAR_BODY,CLEAR_BODY,INNER_FOCUS,,,
Held Item,NONE,NONE,NONE,,,
Move 1,TACKLE,ZEN_HEADBUTT,BRICK_BREAK,,,
Move 2,TAKE_DOWN,PURSUIT,IRON_HEAD,,,
Move 3,TACKLE,PSYCHIC,BULK_UP,,,
Move 4,TACKLE,FLASH_CANNON,HEADBUTT,,,
Optional Move 1,,METAL_CLAW,ROCK_SMASH,,,
Optional Move 2,,CONFUSION,LEER,,,
Optional Move 3,,BULLET_PUNCH,ENDURE,,,
Optional Move 4,,TACKLE,FOCUS_ENERGY,,,
Optional Move 5,,MAGNET_RISE,AERIAL_ACE,,,
Optional Move 6,,TAKE_DOWN,SCARY_FACE,,,
Optional Move 7,,MIRACLE_EYE,DETECT,,,
Optional Move 8,,FOCUS_PUNCH,TOXIC,,,
Optional Move 9,,TOXIC,HIDDEN_POWER,,,
Optional Move 10,,HIDDEN_POWER,PROTECT,,,
Optional Move 11,,SUNNY_DAY,FRUSTRATION,,,
Optional Move 12,,LIGHT_SCREEN,RETURN,,,
Optional Move 13,,PROTECT,DIG,,,
Optional Move 14,,RAIN_DANCE,DOUBLE_TEAM,,,
Optional Move 15,,FRUSTRATION,FACADE,,,
Optional Move 16,,EARTHQUAKE,SECRET_POWER,,,
Optional Move 17,,RETURN,REST,,,
Optional Move 18,,SHADOW_BALL,ATTRACT,,,
Optional Move 19,,BRICK_BREAK,SWORDS_DANCE,,,
Optional Move 20,,DOUBLE_TEAM,SLEEP_TALK,,,
Optional Move 21,,REFLECT,U_TURN,,,
Optional Move 22,,SLUDGE_BOMB,SUBSTITUTE,,,
Optional Move 23,,SANDSTORM,,,,
Optional Move 24,,ROCK_TOMB,,,,
Optional Move 25,,AERIAL_ACE,,,,
Optional Move 26,,FACADE,,,,
Optional Move 27,,SECRET_POWER,,,,
Optional Move 28,,REST,,,,
Optional Move 29,,ENDURE,,,,
Optional Move 30,,EXPLOSION,,,,
Optional Move 31,,GIGA_IMPACT,,,,
Optional Move 32,,ROCK_POLISH,,,,
Optional Move 33,,FLASH,,,,
Optional Move 34,,GYRO_BALL,,,,
Optional Move 35,,STEALTH_ROCK,,,,
Optional Move 36,,PSYCH_UP,,,,
Optional Move 37,,ROCK_SLIDE,,,,
Optional Move 38,,SLEEP_TALK,,,,
Optional Move 39,,NATURAL_GIFT,,,,
Optional Move 40,,GRASS_KNOT,,,,
Optional Move 41,,SWAGGER,,,,
Optional Move 42,,SUBSTITUTE,,,,
