Trainer 334,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,JANGMO_O,HAKAMO_O,CETODDLE,NONE,NONE,NONE
Level,36,36,36,,,
Ability,BULLETPROOF,BULLETPROOF,THICK_FAT,,,
Held Item,NONE,NONE,NONE,,,
Move 1,DRAGON_CLAW,SKY_UPPERCUT,BODY_SLAM,,,
Move 2,DRAGON_TAIL,DRAGON_TAIL,BOUNCE,,,
Move 3,WORK_UP,WORK_UP,GROWL,,,
Move 4,HEADBUTT,HEADBUTT,AVALANCHE,,,
Optional Move 1,TACKLE,AUTOTOMIZE,POWDER_SNOW,,,
Optional Move 2,LEER,TACKLE,TACKLE,,,
Optional Move 3,PROTECT,LEER,ECHOED_VOICE,,,
Optional Move 4,BIDE,PROTECT,ICE_SHARD,,,
Optional Move 5,SCARY_FACE,BIDE,REST,,,
Optional Move 6,SCREECH,SCARY_FACE,TAKE_DOWN,,,
Optional Move 7,IRON_DEFENSE,SCREECH,FLAIL,,,
Optional Move 8,FOCUS_PUNCH,IRON_DEFENSE,WATER_PULSE,,,
Optional Move 9,ROAR,FOCUS_PUNCH,TOXIC,,,
Optional Move 10,TOXIC,ROAR,HIDDEN_POWER,,,
Optional Move 11,BULK_UP,TOXIC,ICE_BEAM,,,
Optional Move 12,HIDDEN_POWER,BULK_UP,HYPER_BEAM,,,
Optional Move 13,TAUNT,HIDDEN_POWER,PROTECT,,,
Optional Move 14,SAFEGUARD,SUNNY_DAY,RAIN_DANCE,,,
Optional Move 15,FRUSTRATION,TAUNT,FRUSTRATION,,,
Optional Move 16,IRON_TAIL,SAFEGUARD,EARTHQUAKE,,,
Optional Move 17,EARTHQUAKE,FRUSTRATION,RETURN,,,
Optional Move 18,RETURN,IRON_TAIL,DOUBLE_TEAM,,,
Optional Move 19,BRICK_BREAK,EARTHQUAKE,FACADE,,,
Optional Move 20,DOUBLE_TEAM,RETURN,SECRET_POWER,,,
Optional Move 21,SANDSTORM,BRICK_BREAK,ATTRACT,,,
Optional Move 22,ROCK_TOMB,DOUBLE_TEAM,ENDURE,,,
Optional Move 23,FACADE,SANDSTORM,SLEEP_TALK,,,
Optional Move 24,SECRET_POWER,ROCK_TOMB,SUBSTITUTE,,,
Optional Move 25,REST,AERIAL_ACE,,,,
Optional Move 26,ATTRACT,FACADE,,,,
Optional Move 27,FOCUS_BLAST,SECRET_POWER,,,,
Optional Move 28,FALSE_SWIPE,REST,,,,
Optional Move 29,FLING,ATTRACT,,,,
Optional Move 30,ENDURE,FOCUS_BLAST,,,,
Optional Move 31,DRAGON_PULSE,FALSE_SWIPE,,,,
Optional Move 32,SHADOW_CLAW,FLING,,,,
Optional Move 33,PAYBACK,ENDURE,,,,
Optional Move 34,SWORDS_DANCE,DRAGON_PULSE,,,,
Optional Move 35,ROCK_SLIDE,DRAIN_PUNCH,,,,
Optional Move 36,X_SCISSOR,SHADOW_CLAW,,,,
Optional Move 37,SLEEP_TALK,PAYBACK,,,,
Optional Move 38,SWAGGER,SWORDS_DANCE,,,,
Optional Move 39,SUBSTITUTE,ROCK_SLIDE,,,,
Optional Move 40,,X_SCISSOR,,,,
Optional Move 41,,SLEEP_TALK,,,,
Optional Move 42,,SWAGGER,,,,
Optional Move 43,,SUBSTITUTE,,,,
