Trainer 34,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SEWADDLE,TYMPOLE,TEPIG,NONE,NONE,NONE
Level,8,8,8,,,
Ability,SWARM,SWIFT_SWIM,BLAZE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,STRING_SHOT,ACID,TAIL_WHIP,,,
Move 2,BUG_BITE,GROWL,EMBER,,,
Move 3,TACKLE,ECHOED_VOICE,TACKLE,,,
Move 4,BUG_BITE,BUBBLE,EMBER,,,
Optional Move 1,AGILITY,SUPERSONIC,BODY_SLAM,,,
Optional Move 2,AIR_SLASH,EARTH_POWER,COVET,,,
Optional Move 3,BATON_PASS,MIST,CURSE,,,
Optional Move 4,CAMOUFLAGE,MUD_BOMB,ENDEAVOR,,,
Optional Move 5,ME_FIRST,MUD_SPORT,MAGNITUDE,,,
Optional Move 6,MIND_READER,REFRESH,SLEEP_TALK,,,
Optional Move 7,RAZOR_WIND,SLEEP_TALK,SUPERPOWER,,,
Optional Move 8,SCREECH,SNORE,THRASH,,,
Optional Move 9,SILVER_WIND,WATER_PULSE,YAWN,,,
Optional Move 10,TOXIC,TOXIC,TOXIC,,,
Optional Move 11,HIDDEN_POWER,HAIL,HIDDEN_POWER,,,
Optional Move 12,SUNNY_DAY,HIDDEN_POWER,SUNNY_DAY,,,
Optional Move 13,LIGHT_SCREEN,PROTECT,TAUNT,,,
Optional Move 14,PROTECT,FRUSTRATION,PROTECT,,,
Optional Move 15,RAIN_DANCE,RETURN,FRUSTRATION,,,
Optional Move 16,GIGA_DRAIN,DOUBLE_TEAM,SOLAR_BEAM,,,
Optional Move 17,SAFEGUARD,SLUDGE_BOMB,RETURN,,,
Optional Move 18,FRUSTRATION,FACADE,DIG,,,
Optional Move 19,SOLAR_BEAM,SECRET_POWER,DOUBLE_TEAM,,,
Optional Move 20,RETURN,REST,FIRE_BLAST,,,
Optional Move 21,DOUBLE_TEAM,ATTRACT,ROCK_TOMB,,,
Optional Move 22,FACADE,ENDURE,FACADE,,,
Optional Move 23,SECRET_POWER,SWAGGER,SECRET_POWER,,,
Optional Move 24,REST,SUBSTITUTE,REST,,,
Optional Move 25,ATTRACT,,ATTRACT,,,
Optional Move 26,ENERGY_BALL,,OVERHEAT,,,
Optional Move 27,PAYBACK,,ENDURE,,,
Optional Move 28,FLASH,,WILL_O_WISP,,,
Optional Move 29,SLEEP_TALK,,GYRO_BALL,,,
Optional Move 30,DREAM_EATER,,GRASS_KNOT,,,
Optional Move 31,GRASS_KNOT,,SWAGGER,,,
Optional Move 32,SWAGGER,,SUBSTITUTE,,,
Optional Move 33,SUBSTITUTE,,,,,
