Trainer 340,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LUXIO,FLOATZEL,RIOLU,DUSKULL,GROTLE,NONE
Level,29,29,29,29,29,
Ability,RIVALRY,SWIFT_SWIM,STEADFAST,LEVITATE,OVERGROW,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,CHARGE,CRUNCH,METAL_CLAW,SHADOW_SNEAK,WITHDRAW,
Move 2,SPARK,ICE_FANG,WORK_UP,CONFUSE_RAY,RAZOR_LEAF,
Move 3,BITE,WATER_SPORT,FORCE_PALM,PURSUIT,BITE,
Move 4,TACKLE,AQUA_JET,ROCK_SMASH,ASTONISH,MEGA_DRAIN,
Optional Move 1,LEER,SONIC_BOOM,QUICK_ATTACK,LEER,TACKLE,
Optional Move 2,THUNDER_SHOCK,GROWL,ENDURE,NIGHT_SHADE,ABSORB,
Optional Move 3,ROAR,QUICK_ATTACK,FORESIGHT,DISABLE,CURSE,
Optional Move 4,TOXIC,WATER_GUN,FEINT,FORESIGHT,ROAR,
Optional Move 5,HIDDEN_POWER,PURSUIT,COUNTER,WILL_O_WISP,TOXIC,
Optional Move 6,SUNNY_DAY,SWIFT,SCREECH,IMPRISON,BULLET_SEED,
Optional Move 7,LIGHT_SCREEN,DOUBLE_HIT,CROSS_CHOP,DESTINY_BOND,HIDDEN_POWER,
Optional Move 8,PROTECT,FOCUS_PUNCH,DETECT,PAIN_SPLIT,SUNNY_DAY,
Optional Move 9,RAIN_DANCE,WATER_PULSE,BITE,GRUDGE,LIGHT_SCREEN,
Optional Move 10,FRUSTRATION,ROAR,MIND_READER,MEMENTO,PROTECT,
Optional Move 11,IRON_TAIL,TOXIC,SKY_UPPERCUT,FEINT_ATTACK,SAFEGUARD,
Optional Move 12,THUNDERBOLT,HAIL,HIGH_JUMP_KICK,OMINOUS_WIND,FRUSTRATION,
Optional Move 13,THUNDER,BULK_UP,AGILITY,CALM_MIND,SOLAR_BEAM,
Optional Move 14,RETURN,HIDDEN_POWER,VACUUM_WAVE,TOXIC,IRON_TAIL,
Optional Move 15,DOUBLE_TEAM,TAUNT,CRUNCH,HIDDEN_POWER,RETURN,
Optional Move 16,SHOCK_WAVE,ICE_BEAM,LOW_KICK,SUNNY_DAY,DOUBLE_TEAM,
Optional Move 17,FACADE,BLIZZARD,IRON_DEFENSE,TAUNT,REFLECT,
Optional Move 18,SECRET_POWER,HYPER_BEAM,BLAZE_KICK,ICE_BEAM,FACADE,
Optional Move 19,REST,PROTECT,BULLET_PUNCH,BLIZZARD,SECRET_POWER,
Optional Move 20,ATTRACT,RAIN_DANCE,FOLLOW_ME,PROTECT,REST,
Optional Move 21,THIEF,FRUSTRATION,FOCUS_PUNCH,RAIN_DANCE,ATTRACT,
Optional Move 22,CHARGE_BEAM,IRON_TAIL,TOXIC,FRUSTRATION,ENERGY_BALL,
Optional Move 23,ENDURE,RETURN,BULK_UP,RETURN,ENDURE,
Optional Move 24,FLASH,DIG,HIDDEN_POWER,PSYCHIC,FLASH,
Optional Move 25,CAPTIVATE,BRICK_BREAK,SUNNY_DAY,DOUBLE_TEAM,SWORDS_DANCE,
Optional Move 26,SLEEP_TALK,DOUBLE_TEAM,PROTECT,TORMENT,STEALTH_ROCK,
Optional Move 27,NATURAL_GIFT,ROCK_TOMB,RAIN_DANCE,FACADE,CAPTIVATE,
Optional Move 28,SUBSTITUTE,TORMENT,FRUSTRATION,SECRET_POWER,SLEEP_TALK,
Optional Move 29,,FACADE,IRON_TAIL,REST,NATURAL_GIFT,
Optional Move 30,,SECRET_POWER,EARTHQUAKE,ATTRACT,GRASS_KNOT,
Optional Move 31,,REST,RETURN,THIEF,SWAGGER,
Optional Move 32,,ATTRACT,DIG,SKILL_SWAP,SUBSTITUTE,
Optional Move 33,,THIEF,BRICK_BREAK,SNATCH,,
Optional Move 34,,FOCUS_BLAST,DOUBLE_TEAM,FLING,,
Optional Move 35,,BRINE,ROCK_TOMB,CHARGE_BEAM,,
Optional Move 36,,FLING,AERIAL_ACE,ENDURE,,
Optional Move 37,,ENDURE,FACADE,EMBARGO,,
Optional Move 38,,PAYBACK,SECRET_POWER,FLASH,,
Optional Move 39,,GIGA_IMPACT,REST,PSYCH_UP,,
Optional Move 40,,CAPTIVATE,ATTRACT,CAPTIVATE,,
Optional Move 41,,SLEEP_TALK,FOCUS_BLAST,DARK_PULSE,,
Optional Move 42,,NATURAL_GIFT,FLING,SLEEP_TALK,,
Optional Move 43,,SWAGGER,DRAIN_PUNCH,NATURAL_GIFT,,
Optional Move 44,,SUBSTITUTE,SHADOW_CLAW,DREAM_EATER,,
Optional Move 45,,,PAYBACK,SWAGGER,,
Optional Move 46,,,PSYCH_UP,SUBSTITUTE,,
Optional Move 47,,,CAPTIVATE,TRICK_ROOM,,
Optional Move 48,,,ROCK_SLIDE,,,
Optional Move 49,,,SLEEP_TALK,,,
Optional Move 50,,,NATURAL_GIFT,,,
Optional Move 51,,,POISON_JAB,,,
Optional Move 52,,,SWAGGER,,,
Optional Move 53,,,SUBSTITUTE,,,
