Trainer 341,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TRUMBEAK,SUDOWOODO,FORRETRESS,GLAMEOW,SOLROCK,NONE
Level,35,35,35,35,35,
Ability,KEEN_EYE,STURDY,STURDY,LIMBER,LEVITATE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,DRILL_PECK,STONE_EDGE,ZAP_CANNON,FEINT_ATTACK,STONE_EDGE,
Move 2,GROWL,LOW_KICK,BUG_BITE,FAKE_OUT,ROCK_SLIDE,
Move 3,PLUCK,COPYCAT,MIRROR_SHOT,SCRATCH,ROCK_THROW,
Move 4,ECHOED_VOICE,ROCK_SLIDE,SPIKES,HYPNOSIS,ZEN_HEADBUTT,
Optional Move 1,ROCK_BLAST,SLAM,AUTOTOMIZE,GROWL,FLARE_BLITZ,
Optional Move 2,PECK,HAMMER_ARM,HEAVY_SLAM,FURY_SWIPES,MORNING_SUN,
Optional Move 3,ROCK_SMASH,WOOD_HAMMER,MAGNET_RISE,CHARM,TACKLE,
Optional Move 4,SUPERSONIC,FAKE_TEARS,TOXIC_SPIKES,ASSIST,HARDEN,
Optional Move 5,ROOST,FLAIL,TACKLE,CAPTIVATE,CONFUSION,
Optional Move 6,FURY_ATTACK,ROCK_THROW,PROTECT,BITE,HYPNOSIS,
Optional Move 7,SCREECH,MIMIC,SELF_DESTRUCT,TAIL_WHIP,FIRE_SPIN,
Optional Move 8,TOXIC,BLOCK,TAKE_DOWN,QUICK_ATTACK,ROCK_POLISH,
Optional Move 9,HIDDEN_POWER,FEINT_ATTACK,RAPID_SPIN,SAND_ATTACK,PSYWAVE,
Optional Move 10,SUNNY_DAY,ROCK_TOMB,BIDE,FAKE_TEARS,EMBARGO,
Optional Move 11,PROTECT,TEARFUL_LOOK,NATURAL_GIFT,ASSURANCE,COSMIC_POWER,
Optional Move 12,FRUSTRATION,SUCKER_PUNCH,PAYBACK,FLAIL,PSYCHIC,
Optional Move 13,RETURN,SELF_DESTRUCT,TOXIC,WATER_PULSE,HEAL_BLOCK,
Optional Move 14,BRICK_BREAK,HEADBUTT,HIDDEN_POWER,TOXIC,CALM_MIND,
Optional Move 15,DOUBLE_TEAM,HARDEN,SUNNY_DAY,HIDDEN_POWER,TOXIC,
Optional Move 16,AERIAL_ACE,DEFENSE_CURL,HYPER_BEAM,SUNNY_DAY,HIDDEN_POWER,
Optional Move 17,FACADE,ROLLOUT,LIGHT_SCREEN,TAUNT,SUNNY_DAY,
Optional Move 18,SECRET_POWER,SAND_TOMB,GIGA_DRAIN,PROTECT,HYPER_BEAM,
Optional Move 19,REST,FOCUS_PUNCH,FRUSTRATION,RAIN_DANCE,LIGHT_SCREEN,
Optional Move 20,ATTRACT,CALM_MIND,SOLAR_BEAM,FRUSTRATION,PROTECT,
Optional Move 21,THIEF,TOXIC,EARTHQUAKE,IRON_TAIL,RAIN_DANCE,
Optional Move 22,STEEL_WING,HIDDEN_POWER,RETURN,THUNDERBOLT,SAFEGUARD,
Optional Move 23,ENDURE,SUNNY_DAY,DIG,THUNDER,FRUSTRATION,
Optional Move 24,SWORDS_DANCE,TAUNT,DOUBLE_TEAM,RETURN,EARTHQUAKE,
Optional Move 25,SLEEP_TALK,HYPER_BEAM,REFLECT,DIG,RETURN,
Optional Move 26,SWAGGER,PROTECT,SANDSTORM,SHADOW_BALL,SHADOW_BALL,
Optional Move 27,U_TURN,FRUSTRATION,ROCK_TOMB,DOUBLE_TEAM,DOUBLE_TEAM,
Optional Move 28,SUBSTITUTE,EARTHQUAKE,FACADE,SHOCK_WAVE,REFLECT,
Optional Move 29,,RETURN,SECRET_POWER,AERIAL_ACE,FLAMETHROWER,
Optional Move 30,,DIG,REST,TORMENT,SANDSTORM,
Optional Move 31,,BRICK_BREAK,ATTRACT,FACADE,FIRE_BLAST,
Optional Move 32,,DOUBLE_TEAM,ENDURE,SECRET_POWER,ROCK_TOMB,
Optional Move 33,,SANDSTORM,GIGA_IMPACT,REST,FACADE,
Optional Move 34,,TORMENT,ROCK_POLISH,THIEF,SECRET_POWER,
Optional Move 35,,FACADE,STONE_EDGE,SNATCH,REST,
Optional Move 36,,SECRET_POWER,THUNDER_WAVE,ENDURE,SKILL_SWAP,
Optional Move 37,,REST,STEALTH_ROCK,SHADOW_CLAW,OVERHEAT,
Optional Move 38,,ATTRACT,CAPTIVATE,PAYBACK,CHARGE_BEAM,
Optional Move 39,,THIEF,ROCK_SLIDE,FLASH,ENDURE,
Optional Move 40,,FLING,SLEEP_TALK,PSYCH_UP,WILL_O_WISP,
Optional Move 41,,ENDURE,POISON_JAB,SLEEP_TALK,RECYCLE,
Optional Move 42,,DRAIN_PUNCH,SWAGGER,NATURAL_GIFT,GIGA_IMPACT,
Optional Move 43,,EXPLOSION,SUBSTITUTE,DREAM_EATER,FLASH,
Optional Move 44,,ROCK_POLISH,FLASH_CANNON,SWAGGER,GYRO_BALL,
Optional Move 45,,STEALTH_ROCK,,U_TURN,SWORDS_DANCE,
Optional Move 46,,PSYCH_UP,,SUBSTITUTE,STEALTH_ROCK,
Optional Move 47,,CAPTIVATE,,,PSYCH_UP,
Optional Move 48,,SLEEP_TALK,,,SLEEP_TALK,
Optional Move 49,,NATURAL_GIFT,,,NATURAL_GIFT,
Optional Move 50,,GRASS_KNOT,,,DREAM_EATER,
Optional Move 51,,SWAGGER,,,GRASS_KNOT,
Optional Move 52,,SUBSTITUTE,,,SWAGGER,
Optional Move 53,,,,,SUBSTITUTE,
Optional Move 54,,,,,TRICK_ROOM,
