Trainer 342,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DROWZEE,PARASECT,SPINDA,DRIFLOON,NONE,NONE
Level,35,35,35,35,,
Ability,INSOMNIA,EFFECT_SPORE,OWN_TEMPO,AFTERMATH,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,WAKE_UP_SLAP,SPORE,PSYBEAM,SHADOW_BALL,,
Move 2,MEDITATE,CROSS_POISON,COPYCAT,HEX,,
Move 3,PSYBEAM,SLASH,DIZZY_PUNCH,OMINOUS_WIND,,
Move 4,HEADBUTT,ABSORB,SUCKER_PUNCH,GUST,,
Optional Move 1,HYPNOSIS,SCRATCH,TACKLE,MINIMIZE,,
Optional Move 2,POUND,STUN_SPORE,FEINT_ATTACK,ASTONISH,,
Optional Move 3,DISABLE,POISON_POWDER,HYPNOSIS,CONSTRICT,,
Optional Move 4,CONFUSION,FURY_CUTTER,TEETER_DANCE,FOCUS_ENERGY,,
Optional Move 5,POISON_GAS,TOXIC,ENCORE,PAYBACK,,
Optional Move 6,PSYCH_UP,BULLET_SEED,ROCK_SLIDE,STOCKPILE,,
Optional Move 7,BARRIER,HIDDEN_POWER,ASSIST,SWALLOW,,
Optional Move 8,ASSIST,SUNNY_DAY,DISABLE,SPIT_UP,,
Optional Move 9,ROLE_PLAY,HYPER_BEAM,BATON_PASS,SELF_DESTRUCT,,
Optional Move 10,FIRE_PUNCH,LIGHT_SCREEN,WISH,DESTINY_BOND,,
Optional Move 11,THUNDER_PUNCH,PROTECT,TRICK,MEMENTO,,
Optional Move 12,ICE_PUNCH,FRUSTRATION,SMELLING_SALTS,BODY_SLAM,,
Optional Move 13,FLATTER,SOLAR_BEAM,FAKE_OUT,DISABLE,,
Optional Move 14,PSYCHO_CUT,RETURN,ROLE_PLAY,HAZE,,
Optional Move 15,GUARD_SWAP,DIG,PSYCHO_CUT,HYPNOSIS,,
Optional Move 16,FOCUS_PUNCH,BRICK_BREAK,FOCUS_PUNCH,WEATHER_BALL,,
Optional Move 17,CALM_MIND,DOUBLE_TEAM,WATER_PULSE,CALM_MIND,,
Optional Move 18,TOXIC,SLUDGE_BOMB,CALM_MIND,TOXIC,,
Optional Move 19,HIDDEN_POWER,AERIAL_ACE,TOXIC,HIDDEN_POWER,,
Optional Move 20,SUNNY_DAY,FACADE,HIDDEN_POWER,SUNNY_DAY,,
Optional Move 21,TAUNT,SECRET_POWER,SUNNY_DAY,PROTECT,,
Optional Move 22,LIGHT_SCREEN,REST,PROTECT,RAIN_DANCE,,
Optional Move 23,PROTECT,ATTRACT,RAIN_DANCE,FRUSTRATION,,
Optional Move 24,RAIN_DANCE,THIEF,SAFEGUARD,THUNDERBOLT,,
Optional Move 25,SAFEGUARD,ENERGY_BALL,FRUSTRATION,THUNDER,,
Optional Move 26,FRUSTRATION,FALSE_SWIPE,RETURN,RETURN,,
Optional Move 27,RETURN,ENDURE,DIG,PSYCHIC,,
Optional Move 28,SHADOW_BALL,GIGA_IMPACT,PSYCHIC,DOUBLE_TEAM,,
Optional Move 29,BRICK_BREAK,FLASH,SHADOW_BALL,SHOCK_WAVE,,
Optional Move 30,DOUBLE_TEAM,SWORDS_DANCE,BRICK_BREAK,AERIAL_ACE,,
Optional Move 31,REFLECT,CAPTIVATE,DOUBLE_TEAM,FACADE,,
Optional Move 32,TORMENT,SLEEP_TALK,SHOCK_WAVE,SECRET_POWER,,
Optional Move 33,FACADE,NATURAL_GIFT,ROCK_TOMB,REST,,
Optional Move 34,SECRET_POWER,GRASS_KNOT,FACADE,ATTRACT,,
Optional Move 35,REST,SWAGGER,SECRET_POWER,THIEF,,
Optional Move 36,ATTRACT,SUBSTITUTE,REST,SKILL_SWAP,,
Optional Move 37,THIEF,,ATTRACT,ENDURE,,
Optional Move 38,SKILL_SWAP,,THIEF,WILL_O_WISP,,
Optional Move 39,SNATCH,,SKILL_SWAP,SILVER_WIND,,
Optional Move 40,FOCUS_BLAST,,SNATCH,EMBARGO,,
Optional Move 41,FLING,,FLING,RECYCLE,,
Optional Move 42,ENDURE,,ENDURE,FLASH,,
Optional Move 43,DRAIN_PUNCH,,DRAIN_PUNCH,THUNDER_WAVE,,
Optional Move 44,RECYCLE,,RECYCLE,GYRO_BALL,,
Optional Move 45,FLASH,,FLASH,CAPTIVATE,,
Optional Move 46,THUNDER_WAVE,,CAPTIVATE,SLEEP_TALK,,
Optional Move 47,CAPTIVATE,,SLEEP_TALK,NATURAL_GIFT,,
Optional Move 48,SLEEP_TALK,,NATURAL_GIFT,DREAM_EATER,,
Optional Move 49,NATURAL_GIFT,,DREAM_EATER,SWAGGER,,
Optional Move 50,DREAM_EATER,,SWAGGER,SUBSTITUTE,,
Optional Move 51,GRASS_KNOT,,SUBSTITUTE,TRICK_ROOM,,
Optional Move 52,SUBSTITUTE,,TRICK_ROOM,,,
Optional Move 53,TRICK_ROOM,,,,,
