Trainer 348,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,YANMA,PURUGLY,DITTO,CRANIDOS,NONE,NONE
Level,28,28,28,28,,
Ability,SPEED_BOOST,THICK_FAT,LIMBER,MOLD_BREAKER,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,UPROAR,SWAGGER,TRANSFORM,FOCUS_ENERGY,,
Move 2,DOUBLE_TEAM,FEINT_ATTACK,TRANSFORM,HEADBUTT,,
Move 3,FORESIGHT,SCRATCH,TRANSFORM,CHIP_AWAY,,
Move 4,DETECT,HYPNOSIS,TRANSFORM,ASSURANCE,,
Optional Move 1,TACKLE,FAKE_OUT,TOXIC,LEER,,
Optional Move 2,QUICK_ATTACK,GROWL,HIDDEN_POWER,PURSUIT,,
Optional Move 3,SONIC_BOOM,FURY_SWIPES,PROTECT,TAKE_DOWN,,
Optional Move 4,SUPERSONIC,CHARM,FRUSTRATION,SCARY_FACE,,
Optional Move 5,WHIRLWIND,WATER_PULSE,RETURN,CRUNCH,,
Optional Move 6,REVERSAL,ROAR,DOUBLE_TEAM,THRASH,,
Optional Move 7,LEECH_LIFE,TOXIC,FACADE,DOUBLE_EDGE,,
Optional Move 8,SIGNAL_BEAM,HIDDEN_POWER,SECRET_POWER,SLAM,,
Optional Move 9,SILVER_WIND,SUNNY_DAY,REST,STOMP,,
Optional Move 10,FEINT,TAUNT,ENDURE,WHIRLWIND,,
Optional Move 11,FEINT_ATTACK,HYPER_BEAM,SLEEP_TALK,HAMMER_ARM,,
Optional Move 12,TOXIC,PROTECT,NATURAL_GIFT,CURSE,,
Optional Move 13,HIDDEN_POWER,RAIN_DANCE,SWAGGER,ROAR,,
Optional Move 14,SUNNY_DAY,FRUSTRATION,SUBSTITUTE,TOXIC,,
Optional Move 15,PROTECT,IRON_TAIL,,HIDDEN_POWER,,
Optional Move 16,GIGA_DRAIN,THUNDERBOLT,,SUNNY_DAY,,
Optional Move 17,FRUSTRATION,THUNDER,,ICE_BEAM,,
Optional Move 18,SOLAR_BEAM,RETURN,,BLIZZARD,,
Optional Move 19,RETURN,DIG,,PROTECT,,
Optional Move 20,PSYCHIC,SHADOW_BALL,,RAIN_DANCE,,
Optional Move 21,SHADOW_BALL,DOUBLE_TEAM,,FRUSTRATION,,
Optional Move 22,AERIAL_ACE,SHOCK_WAVE,,IRON_TAIL,,
Optional Move 23,FACADE,AERIAL_ACE,,THUNDERBOLT,,
Optional Move 24,SECRET_POWER,TORMENT,,THUNDER,,
Optional Move 25,REST,FACADE,,EARTHQUAKE,,
Optional Move 26,ATTRACT,SECRET_POWER,,RETURN,,
Optional Move 27,THIEF,REST,,DIG,,
Optional Move 28,STEEL_WING,THIEF,,DOUBLE_TEAM,,
Optional Move 29,ROOST,SNATCH,,SHOCK_WAVE,,
Optional Move 30,ENDURE,ENDURE,,FLAMETHROWER,,
Optional Move 31,FLASH,SHADOW_CLAW,,SANDSTORM,,
Optional Move 32,SWORDS_DANCE,PAYBACK,,FIRE_BLAST,,
Optional Move 33,PSYCH_UP,GIGA_IMPACT,,ROCK_TOMB,,
Optional Move 34,CAPTIVATE,FLASH,,FACADE,,
Optional Move 35,SLEEP_TALK,PSYCH_UP,,SECRET_POWER,,
Optional Move 36,NATURAL_GIFT,SLEEP_TALK,,REST,,
Optional Move 37,DREAM_EATER,NATURAL_GIFT,,ATTRACT,,
Optional Move 38,SWAGGER,DREAM_EATER,,THIEF,,
Optional Move 39,SUBSTITUTE,U_TURN,,FLING,,
Optional Move 40,,SUBSTITUTE,,ENDURE,,
Optional Move 41,,,,DRAGON_PULSE,,
Optional Move 42,,,,PAYBACK,,
Optional Move 43,,,,ROCK_POLISH,,
Optional Move 44,,,,STONE_EDGE,,
Optional Move 45,,,,SWORDS_DANCE,,
Optional Move 46,,,,STEALTH_ROCK,,
Optional Move 47,,,,CAPTIVATE,,
Optional Move 48,,,,ROCK_SLIDE,,
Optional Move 49,,,,SLEEP_TALK,,
Optional Move 50,,,,NATURAL_GIFT,,
Optional Move 51,,,,SWAGGER,,
Optional Move 52,,,,SUBSTITUTE,,
