Trainer 352,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NOCTOWL,MASQUERAIN,GREEDENT,KABUTO,NONE,NONE
Level,28,28,28,28,,
Ability,INSOMNIA,INTIMIDATE,CHEEK_POUCH,SWIFT_SWIM,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,AIR_SLASH,BUG_BUZZ,BODY_SLAM,AQUA_JET,,
Move 2,EXTRASENSORY,BUBBLE,COVET,HARDEN,,
Move 3,GROWL,OMINOUS_WIND,BITE,MUD_SHOT,,
Move 4,TAKE_DOWN,AIR_CUTTER,REST,SCRATCH,,
Optional Move 1,ECHOED_VOICE,QUIVER_DANCE,TACKLE,ABSORB,,
Optional Move 2,PECK,WHIRLWIND,TAIL_WHIP,SAND_ATTACK,,
Optional Move 3,SKY_ATTACK,QUICK_ATTACK,STUFF_CHEEKS,LEER,,
Optional Move 4,TACKLE,SWEET_SCENT,STOCKPILE,ENDURE,,
Optional Move 5,CONFUSION,WATER_SPORT,SWALLOW,BUBBLE_BEAM,,
Optional Move 6,REFLECT,GUST,SPIT_UP,AURORA_BEAM,,
Optional Move 7,CALM_MIND,SCARY_FACE,TOXIC,RAPID_SPIN,,
Optional Move 8,TOXIC,STUN_SPORE,HIDDEN_POWER,DIG,,
Optional Move 9,HIDDEN_POWER,WATER_PULSE,SUNNY_DAY,FLAIL,,
Optional Move 10,SUNNY_DAY,TOXIC,HYPER_BEAM,KNOCK_OFF,,
Optional Move 11,HYPER_BEAM,HIDDEN_POWER,PROTECT,CONFUSE_RAY,,
Optional Move 12,PROTECT,SUNNY_DAY,RAIN_DANCE,ICY_WIND,,
Optional Move 13,RAIN_DANCE,ICE_BEAM,FRUSTRATION,SCREECH,,
Optional Move 14,FRUSTRATION,BLIZZARD,IRON_TAIL,WATER_PULSE,,
Optional Move 15,RETURN,HYPER_BEAM,EARTHQUAKE,TOXIC,,
Optional Move 16,PSYCHIC,PROTECT,RETURN,HAIL,,
Optional Move 17,SHADOW_BALL,RAIN_DANCE,DIG,HIDDEN_POWER,,
Optional Move 18,DOUBLE_TEAM,GIGA_DRAIN,DOUBLE_TEAM,ICE_BEAM,,
Optional Move 19,AERIAL_ACE,FRUSTRATION,FACADE,BLIZZARD,,
Optional Move 20,FACADE,SOLAR_BEAM,SECRET_POWER,RAIN_DANCE,,
Optional Move 21,SECRET_POWER,RETURN,ATTRACT,GIGA_DRAIN,,
Optional Move 22,REST,SHADOW_BALL,THIEF,FRUSTRATION,,
Optional Move 23,ATTRACT,DOUBLE_TEAM,FLING,RETURN,,
Optional Move 24,THIEF,AERIAL_ACE,ENDURE,DOUBLE_TEAM,,
Optional Move 25,STEEL_WING,FACADE,PAYBACK,SANDSTORM,,
Optional Move 26,SKILL_SWAP,SECRET_POWER,GIGA_IMPACT,ROCK_TOMB,,
Optional Move 27,ENDURE,REST,GYRO_BALL,AERIAL_ACE,,
Optional Move 28,SILVER_WIND,ATTRACT,SWORDS_DANCE,FACADE,,
Optional Move 29,RECYCLE,THIEF,SLEEP_TALK,SECRET_POWER,,
Optional Move 30,GIGA_IMPACT,ROOST,SUBSTITUTE,REST,,
Optional Move 31,PSYCH_UP,ENERGY_BALL,,ATTRACT,,
Optional Move 32,CAPTIVATE,ENDURE,,THIEF,,
Optional Move 33,SLEEP_TALK,GIGA_IMPACT,,ROCK_POLISH,,
Optional Move 34,NATURAL_GIFT,FLASH,,STEALTH_ROCK,,
Optional Move 35,SWAGGER,PSYCH_UP,,CAPTIVATE,,
Optional Move 36,PLUCK,CAPTIVATE,,ROCK_SLIDE,,
Optional Move 37,SUBSTITUTE,SLEEP_TALK,,SLEEP_TALK,,
Optional Move 38,,NATURAL_GIFT,,NATURAL_GIFT,,
Optional Move 39,,SWAGGER,,SWAGGER,,
Optional Move 40,,U_TURN,,SUBSTITUTE,,
Optional Move 41,,SUBSTITUTE,,,,
