Trainer 355,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SNEASEL,QWILFISH,MISDREAVUS,LAMPENT,NONE,NONE
Level,30,30,30,30,,
Ability,INNER_FOCUS,POISON_POINT,LEVITATE,FLASH_FIRE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,METAL_CLAW,HYDRO_PUMP,HEX,HEX,,
Move 2,TAUNT,BRINE,SPITE,CONFUSE_RAY,,
Move 3,ICY_WIND,TOXIC_SPIKES,PSYBEAM,FLAME_BURST,,
Move 4,SCRATCH,POISON_STING,CONFUSE_RAY,EMBER,,
Optional Move 1,LEER,TACKLE,GROWL,ASTONISH,,
Optional Move 2,QUICK_ATTACK,FELL_STINGER,PSYWAVE,SMOG,,
Optional Move 3,FURY_SWIPES,DESTINY_BOND,ASTONISH,MINIMIZE,,
Optional Move 4,COUNTER,WATER_GUN,MEAN_LOOK,FIRE_SPIN,,
Optional Move 5,SPITE,SPIKES,SCREECH,WILL_O_WISP,,
Optional Move 6,FORESIGHT,HARDEN,DESTINY_BOND,NIGHT_SHADE,,
Optional Move 7,REFLECT,MINIMIZE,PSYCH_UP,CALM_MIND,,
Optional Move 8,BITE,BUBBLE,IMPRISON,TOXIC,,
Optional Move 9,CRUSH_CLAW,ROLLOUT,MEMENTO,HIDDEN_POWER,,
Optional Move 10,FAKE_OUT,REVENGE,SUCKER_PUNCH,SUNNY_DAY,,
Optional Move 11,DOUBLE_HIT,FLAIL,SHADOW_SNEAK,TAUNT,,
Optional Move 12,PUNISHMENT,HAZE,CURSE,PROTECT,,
Optional Move 13,PURSUIT,BUBBLE_BEAM,OMINOUS_WIND,RAIN_DANCE,,
Optional Move 14,ICE_SHARD,SUPERSONIC,NASTY_PLOT,SAFEGUARD,,
Optional Move 15,ICE_PUNCH,ASTONISH,CALM_MIND,FRUSTRATION,,
Optional Move 16,ASSIST,SIGNAL_BEAM,TOXIC,SOLAR_BEAM,,
Optional Move 17,FOCUS_PUNCH,AQUA_JET,HIDDEN_POWER,RETURN,,
Optional Move 18,WATER_PULSE,WATER_PULSE,SUNNY_DAY,PSYCHIC,,
Optional Move 19,CALM_MIND,HAIL,TAUNT,DOUBLE_TEAM,,
Optional Move 20,TOXIC,HIDDEN_POWER,HYPER_BEAM,SHOCK_WAVE,,
Optional Move 21,HAIL,TAUNT,PROTECT,FLAMETHROWER,,
Optional Move 22,HIDDEN_POWER,ICE_BEAM,RAIN_DANCE,FIRE_BLAST,,
Optional Move 23,SUNNY_DAY,BLIZZARD,FRUSTRATION,FACADE,,
Optional Move 24,ICE_BEAM,PROTECT,THUNDERBOLT,SECRET_POWER,,
Optional Move 25,BLIZZARD,RAIN_DANCE,THUNDER,REST,,
Optional Move 26,PROTECT,FRUSTRATION,RETURN,ATTRACT,,
Optional Move 27,RAIN_DANCE,RETURN,PSYCHIC,THIEF,,
Optional Move 28,FRUSTRATION,SHADOW_BALL,DOUBLE_TEAM,ENERGY_BALL,,
Optional Move 29,IRON_TAIL,DOUBLE_TEAM,SHOCK_WAVE,ENDURE,,
Optional Move 30,RETURN,SHOCK_WAVE,TORMENT,EMBARGO,,
Optional Move 31,DIG,SLUDGE_BOMB,FACADE,PAYBACK,,
Optional Move 32,SHADOW_BALL,FACADE,SECRET_POWER,FLASH,,
Optional Move 33,BRICK_BREAK,SECRET_POWER,REST,PSYCH_UP,,
Optional Move 34,DOUBLE_TEAM,REST,ATTRACT,CAPTIVATE,,
Optional Move 35,AERIAL_ACE,ATTRACT,THIEF,DARK_PULSE,,
Optional Move 36,TORMENT,ENDURE,SKILL_SWAP,SLEEP_TALK,,
Optional Move 37,FACADE,EXPLOSION,SNATCH,DREAM_EATER,,
Optional Move 38,SECRET_POWER,PAYBACK,ENERGY_BALL,SWAGGER,,
Optional Move 39,REST,GIGA_IMPACT,CHARGE_BEAM,SUBSTITUTE,,
Optional Move 40,ATTRACT,THUNDER_WAVE,ENDURE,TRICK_ROOM,,
Optional Move 41,THIEF,GYRO_BALL,WILL_O_WISP,,,
Optional Move 42,SNATCH,SWORDS_DANCE,EMBARGO,,,
Optional Move 43,FALSE_SWIPE,CAPTIVATE,GIGA_IMPACT,,,
Optional Move 44,FLING,SLEEP_TALK,FLASH,,,
Optional Move 45,ENDURE,NATURAL_GIFT,THUNDER_WAVE,,,
Optional Move 46,EMBARGO,SWAGGER,CAPTIVATE,,,
Optional Move 47,SHADOW_CLAW,SUBSTITUTE,DARK_PULSE,,,
Optional Move 48,PAYBACK,,SLEEP_TALK,,,
Optional Move 49,GIGA_IMPACT,,NATURAL_GIFT,,,
Optional Move 50,AVALANCHE,,DREAM_EATER,,,
Optional Move 51,SWORDS_DANCE,,GRASS_KNOT,,,
Optional Move 52,CAPTIVATE,,SWAGGER,,,
Optional Move 53,DARK_PULSE,,SUBSTITUTE,,,
Optional Move 54,X_SCISSOR,,TRICK_ROOM,,,
Optional Move 55,SLEEP_TALK,,,,,
Optional Move 56,NATURAL_GIFT,,,,,
Optional Move 57,POISON_JAB,,,,,
Optional Move 58,DREAM_EATER,,,,,
Optional Move 59,SWAGGER,,,,,
Optional Move 60,SUBSTITUTE,,,,,
