Trainer 366,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FERROTHORN,PERRSERKER,PANGORO,SHIFTRY,QWILFISH,BEEDRILL
Level,32,32,32,32,32,32
Ability,IRON_BARBS,BATTLE_ARMOR,IRON_FIST,CHLOROPHYLL,POISON_POINT,ADAPTABILITY
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,POWER_WHIP,IRON_HEAD,BULLET_PUNCH,LEAF_BLADE,BRINE,ASSURANCE
Move 2,ROCK_CLIMB,IRON_DEFENSE,LOW_SWEEP,HURRICANE,HARDEN,VENOSHOCK
Move 3,IRON_DEFENSE,METAL_CLAW,NIGHT_SLASH,NASTY_PLOT,BITE,PURSUIT
Move 4,MIRROR_SHOT,FAKE_OUT,VITAL_THROW,SUCKER_PUNCH,BARB_BARRAGE,TWINEEDLE
Optional Move 1,TACKLE,METAL_BURST,TACKLE,LEAF_TORNADO,POISON_STING,FURY_ATTACK
Optional Move 2,HARDEN,GROWL,LEER,RAZOR_LEAF,TACKLE,RAGE
Optional Move 3,METAL_CLAW,HONE_CLAWS,ARM_THRUST,AIR_CUTTER,FELL_STINGER,FOCUS_ENERGY
Optional Move 4,PIN_MISSILE,SCRATCH,TAUNT,TORMENT,HYDRO_PUMP,TOXIC_SPIKES
Optional Move 5,ROLLOUT,PAY_DAY,HAMMER_ARM,FAKE_OUT,DESTINY_BOND,PIN_MISSILE
Optional Move 6,CURSE,TAUNT,ENTRAINMENT,SWAGGER,WATER_GUN,TOXIC
Optional Move 7,INGRAIN,SWAGGER,WORK_UP,WHIRLWIND,SPIKES,HIDDEN_POWER
Optional Move 8,TOXIC,FURY_SWIPES,KARATE_CHOP,SYNTHESIS,MINIMIZE,SUNNY_DAY
Optional Move 9,BULLET_SEED,TOXIC,COMET_PUNCH,EXPLOSION,BUBBLE,HYPER_BEAM
Optional Move 10,HIDDEN_POWER,HIDDEN_POWER,CIRCLE_THROW,GROWTH,ROLLOUT,PROTECT
Optional Move 11,SUNNY_DAY,SUNNY_DAY,SLASH,ROLLOUT,REVENGE,GIGA_DRAIN
Optional Move 12,PROTECT,HYPER_BEAM,FOCUS_PUNCH,MEGA_DRAIN,TOXIC_SPIKES,FRUSTRATION
Optional Move 13,GIGA_DRAIN,PROTECT,DRAGON_CLAW,PAYBACK,FLAIL,SOLAR_BEAM
Optional Move 14,FRUSTRATION,RAIN_DANCE,ROAR,NATURE_POWER,HAZE,RETURN
Optional Move 15,SOLAR_BEAM,FRUSTRATION,TOXIC,SUNNY_DAY,BUBBLE_BEAM,BRICK_BREAK
Optional Move 16,THUNDERBOLT,IRON_TAIL,BULK_UP,EXTRASENSORY,SUPERSONIC,DOUBLE_TEAM
Optional Move 17,RETURN,THUNDERBOLT,HIDDEN_POWER,TACKLE,ASTONISH,SLUDGE_BOMB
Optional Move 18,DOUBLE_TEAM,THUNDER,SUNNY_DAY,HARDEN,SIGNAL_BEAM,AERIAL_ACE
Optional Move 19,SANDSTORM,RETURN,HYPER_BEAM,ABSORB,AQUA_JET,FACADE
Optional Move 20,AERIAL_ACE,DIG,PROTECT,ASTONISH,WATER_PULSE,SECRET_POWER
Optional Move 21,FACADE,SHADOW_BALL,RAIN_DANCE,FEINT_ATTACK,HAIL,REST
Optional Move 22,SECRET_POWER,BRICK_BREAK,FRUSTRATION,TOXIC,HIDDEN_POWER,ATTRACT
Optional Move 23,REST,DOUBLE_TEAM,EARTHQUAKE,BULLET_SEED,TAUNT,THIEF
Optional Move 24,ATTRACT,AERIAL_ACE,RETURN,HIDDEN_POWER,ICE_BEAM,ROOST
Optional Move 25,ENERGY_BALL,FACADE,DIG,TAUNT,BLIZZARD,FALSE_SWIPE
Optional Move 26,ENDURE,SECRET_POWER,BRICK_BREAK,HYPER_BEAM,PROTECT,ENDURE
Optional Move 27,SHADOW_CLAW,REST,DOUBLE_TEAM,PROTECT,RAIN_DANCE,SILVER_WIND
Optional Move 28,GIGA_IMPACT,ATTRACT,SLUDGE_BOMB,RAIN_DANCE,FRUSTRATION,PAYBACK
Optional Move 29,ROCK_POLISH,THIEF,ROCK_TOMB,GIGA_DRAIN,RETURN,GIGA_IMPACT
Optional Move 30,FLASH,FALSE_SWIPE,AERIAL_ACE,FRUSTRATION,SHADOW_BALL,FLASH
Optional Move 31,THUNDER_WAVE,FLING,TORMENT,SOLAR_BEAM,DOUBLE_TEAM,SWORDS_DANCE
Optional Move 32,SWORDS_DANCE,ENDURE,FACADE,RETURN,SHOCK_WAVE,CAPTIVATE
Optional Move 33,SLEEP_TALK,PAYBACK,SECRET_POWER,DIG,SLUDGE_BOMB,X_SCISSOR
Optional Move 34,POISON_JAB,GIGA_IMPACT,REST,SHADOW_BALL,FACADE,SLEEP_TALK
Optional Move 35,GRASS_KNOT,GYRO_BALL,ATTRACT,BRICK_BREAK,SECRET_POWER,NATURAL_GIFT
Optional Move 36,SWAGGER,SWORDS_DANCE,THIEF,DOUBLE_TEAM,REST,SWAGGER
Optional Move 37,SUBSTITUTE,STEALTH_ROCK,SNATCH,ROCK_TOMB,ATTRACT,U_TURN
Optional Move 38,,DARK_PULSE,FOCUS_BLAST,AERIAL_ACE,ENDURE,SUBSTITUTE
Optional Move 39,,X_SCISSOR,FALSE_SWIPE,FACADE,EXPLOSION,
Optional Move 40,,SLEEP_TALK,FLING,SECRET_POWER,PAYBACK,
Optional Move 41,,U_TURN,ENDURE,REST,GIGA_IMPACT,
Optional Move 42,,SUBSTITUTE,DRAIN_PUNCH,ATTRACT,THUNDER_WAVE,
Optional Move 43,,FLASH_CANNON,EMBARGO,THIEF,GYRO_BALL,
Optional Move 44,,,SHADOW_CLAW,FOCUS_BLAST,SWORDS_DANCE,
Optional Move 45,,,PAYBACK,ENERGY_BALL,CAPTIVATE,
Optional Move 46,,,GIGA_IMPACT,FALSE_SWIPE,SLEEP_TALK,
Optional Move 47,,,STONE_EDGE,FLING,NATURAL_GIFT,
Optional Move 48,,,SWORDS_DANCE,ENDURE,SWAGGER,
Optional Move 49,,,DARK_PULSE,WILL_O_WISP,SUBSTITUTE,
Optional Move 50,,,ROCK_SLIDE,SILVER_WIND,,
Optional Move 51,,,X_SCISSOR,EMBARGO,,
Optional Move 52,,,SLEEP_TALK,GIGA_IMPACT,,
Optional Move 53,,,POISON_JAB,FLASH,,
Optional Move 54,,,GRASS_KNOT,SWORDS_DANCE,,
Optional Move 55,,,SWAGGER,PSYCH_UP,,
Optional Move 56,,,SUBSTITUTE,CAPTIVATE,,
Optional Move 57,,,,DARK_PULSE,,
Optional Move 58,,,,ROCK_SLIDE,,
Optional Move 59,,,,X_SCISSOR,,
Optional Move 60,,,,SLEEP_TALK,,
Optional Move 61,,,,NATURAL_GIFT,,
Optional Move 62,,,,GRASS_KNOT,,
Optional Move 63,,,,SUBSTITUTE,,
