Trainer 378,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MUDBRAY,FARFETCHD,VANILLISH,NONE,NONE,NONE
Level,34,34,34,,,
Ability,OWN_TEMPO,KEEN_EYE,ICE_BODY,,,
Held Item,NONE,NONE,NONE,,,
Move 1,HIGH_HORSEPOWER,POISON_JAB,UPROAR,,,
Move 2,STRENGTH,SLASH,MIRROR_SHOT,,,
Move 3,ROCK_SMASH,NIGHT_SLASH,ACID_ARMOR,,,
Move 4,IRON_DEFENSE,BRAVE_BIRD,ICY_WIND,,,
Optional Move 1,MUD_SLAP,PECK,ASTONISH,,,
Optional Move 2,MUD_SPORT,SAND_ATTACK,HARDEN,,,
Optional Move 3,ROTOTILLER,LEER,TAUNT,,,
Optional Move 4,DOUBLE_KICK,FURY_CUTTER,MIST,,,
Optional Move 5,BULLDOZE,FURY_ATTACK,ICICLE_SPEAR,,,
Optional Move 6,STOMP,AERIAL_ACE,AVALANCHE,,,
Optional Move 7,BIDE,CUT,HAIL,,,
Optional Move 8,COUNTER,KNOCK_OFF,WATER_PULSE,,,
Optional Move 9,HEAVY_SLAM,AIR_CUTTER,TOXIC,,,
Optional Move 10,ROAR,STEEL_WING,HIDDEN_POWER,,,
Optional Move 11,TOXIC,FORESIGHT,LIGHT_SCREEN,,,
Optional Move 12,HIDDEN_POWER,MIRROR_MOVE,PROTECT,,,
Optional Move 13,PROTECT,GUST,RAIN_DANCE,,,
Optional Move 14,FRUSTRATION,QUICK_ATTACK,FRUSTRATION,,,
Optional Move 15,RETURN,FLAIL,RETURN,,,
Optional Move 16,DOUBLE_TEAM,FEATHER_DANCE,DOUBLE_TEAM,,,
Optional Move 17,SANDSTORM,CURSE,FACADE,,,
Optional Move 18,ROCK_TOMB,COVET,SECRET_POWER,,,
Optional Move 19,FACADE,MUD_SLAP,REST,,,
Optional Move 20,SECRET_POWER,TOXIC,ATTRACT,,,
Optional Move 21,REST,HIDDEN_POWER,ENDURE,,,
Optional Move 22,ATTRACT,SUNNY_DAY,EXPLOSION,,,
Optional Move 23,ENDURE,PROTECT,SLEEP_TALK,,,
Optional Move 24,PAYBACK,FRUSTRATION,NATURAL_GIFT,,,
Optional Move 25,STONE_EDGE,IRON_TAIL,SWAGGER,,,
Optional Move 26,STEALTH_ROCK,RETURN,SUBSTITUTE,,,
Optional Move 27,ROCK_SLIDE,DOUBLE_TEAM,FLASH_CANNON,,,
Optional Move 28,SLEEP_TALK,FACADE,,,,
Optional Move 29,SWAGGER,SECRET_POWER,,,,
Optional Move 30,SUBSTITUTE,REST,,,,
Optional Move 31,,ATTRACT,,,,
Optional Move 32,,THIEF,,,,
Optional Move 33,,ROOST,,,,
Optional Move 34,,ENDURE,,,,
Optional Move 35,,PSYCH_UP,,,,
Optional Move 36,,CAPTIVATE,,,,
Optional Move 37,,SLEEP_TALK,,,,
Optional Move 38,,NATURAL_GIFT,,,,
Optional Move 39,,SWAGGER,,,,
Optional Move 40,,PLUCK,,,,
Optional Move 41,,U_TURN,,,,
Optional Move 42,,SUBSTITUTE,,,,
