Trainer 379,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BOLDORE,DUSTOX,POLIWHIRL,SABLEYE,VULLABY,NONE
Level,34,34,34,34,34,
Ability,STURDY,SHIELD_DUST,WATER_ABSORB,KEEN_EYE,BIG_PECKS,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,ROCK_SLIDE,SILVER_WIND,BODY_SLAM,KNOCK_OFF,KNOCK_OFF,
Move 2,MUD_SLAP,TOXIC,MUD_SHOT,SHADOW_CLAW,PLUCK,
Move 3,IRON_DEFENSE,VENOSHOCK,WATER_SPORT,FEINT_ATTACK,FEINT_ATTACK,
Move 4,POWER_GEM,PSYBEAM,BUBBLE_BEAM,SHADOW_SNEAK,IRON_DEFENSE,
Optional Move 1,SAND_ATTACK,GUST,WATER_GUN,LEER,GUST,
Optional Move 2,TACKLE,CONFUSION,HYPNOSIS,SCRATCH,LEER,
Optional Move 3,HARDEN,POISON_POWDER,POUND,FORESIGHT,FURY_ATTACK,
Optional Move 4,STEALTH_ROCK,MOONLIGHT,BUBBLE,ASTONISH,FLATTER,
Optional Move 5,HEADBUTT,LIGHT_SCREEN,DOUBLE_SLAP,NIGHT_SHADE,TAILWIND,
Optional Move 6,SMACK_DOWN,WHIRLWIND,RAIN_DANCE,DISABLE,PUNISHMENT,
Optional Move 7,ROCK_BLAST,HIDDEN_POWER,FOCUS_PUNCH,FAKE_OUT,FAKE_TEARS,
Optional Move 8,TOXIC,SUNNY_DAY,WATER_PULSE,DETECT,MEAN_LOOK,
Optional Move 9,HIDDEN_POWER,HYPER_BEAM,TOXIC,CONFUSE_RAY,ROOST,
Optional Move 10,PROTECT,GIGA_DRAIN,HAIL,FURY_SWIPES,SCARY_FACE,
Optional Move 11,FRUSTRATION,FRUSTRATION,HIDDEN_POWER,PUNISHMENT,STEEL_WING,
Optional Move 12,EARTHQUAKE,SOLAR_BEAM,ICE_BEAM,PSYCH_UP,TOXIC,
Optional Move 13,RETURN,RETURN,BLIZZARD,RECOVER,HIDDEN_POWER,
Optional Move 14,DOUBLE_TEAM,PSYCHIC,PROTECT,MOONLIGHT,SUNNY_DAY,
Optional Move 15,ROCK_TOMB,SHADOW_BALL,FRUSTRATION,NASTY_PLOT,TAUNT,
Optional Move 16,FACADE,DOUBLE_TEAM,EARTHQUAKE,FLATTER,PROTECT,
Optional Move 17,SECRET_POWER,SLUDGE_BOMB,RETURN,FEINT,RAIN_DANCE,
Optional Move 18,REST,AERIAL_ACE,DIG,FOCUS_PUNCH,FRUSTRATION,
Optional Move 19,ATTRACT,FACADE,PSYCHIC,CALM_MIND,RETURN,
Optional Move 20,ENDURE,SECRET_POWER,BRICK_BREAK,TOXIC,SHADOW_BALL,
Optional Move 21,ROCK_POLISH,REST,DOUBLE_TEAM,BULK_UP,DOUBLE_TEAM,
Optional Move 22,SLEEP_TALK,ATTRACT,FACADE,HIDDEN_POWER,ROCK_TOMB,
Optional Move 23,SWAGGER,THIEF,SECRET_POWER,SUNNY_DAY,TORMENT,
Optional Move 24,SUBSTITUTE,ROOST,REST,TAUNT,FACADE,
Optional Move 25,FLASH_CANNON,ENERGY_BALL,ATTRACT,HYPER_BEAM,SECRET_POWER,
Optional Move 26,,ENDURE,THIEF,LIGHT_SCREEN,REST,
Optional Move 27,,GIGA_IMPACT,FLING,PROTECT,THIEF,
Optional Move 28,,FLASH,ENDURE,RAIN_DANCE,SNATCH,
Optional Move 29,,CAPTIVATE,PSYCH_UP,GIGA_DRAIN,ENDURE,
Optional Move 30,,SLEEP_TALK,CAPTIVATE,FRUSTRATION,PAYBACK,
Optional Move 31,,NATURAL_GIFT,SLEEP_TALK,RETURN,PSYCH_UP,
Optional Move 32,,SWAGGER,NATURAL_GIFT,DIG,SLEEP_TALK,
Optional Move 33,,U_TURN,SWAGGER,PSYCHIC,SWAGGER,
Optional Move 34,,SUBSTITUTE,SUBSTITUTE,BRICK_BREAK,U_TURN,
Optional Move 35,,,,DOUBLE_TEAM,SUBSTITUTE,
Optional Move 36,,,,REFLECT,,
Optional Move 37,,,,SHOCK_WAVE,,
Optional Move 38,,,,ROCK_TOMB,,
Optional Move 39,,,,AERIAL_ACE,,
Optional Move 40,,,,TORMENT,,
Optional Move 41,,,,FACADE,,
Optional Move 42,,,,SECRET_POWER,,
Optional Move 43,,,,REST,,
Optional Move 44,,,,ATTRACT,,
Optional Move 45,,,,THIEF,,
Optional Move 46,,,,SKILL_SWAP,,
Optional Move 47,,,,SNATCH,,
Optional Move 48,,,,ENERGY_BALL,,
Optional Move 49,,,,FLING,,
Optional Move 50,,,,ENDURE,,
Optional Move 51,,,,DRAIN_PUNCH,,
Optional Move 52,,,,WILL_O_WISP,,
Optional Move 53,,,,EMBARGO,,
Optional Move 54,,,,PAYBACK,,
Optional Move 55,,,,GIGA_IMPACT,,
Optional Move 56,,,,FLASH,,
Optional Move 57,,,,THUNDER_WAVE,,
Optional Move 58,,,,GYRO_BALL,,
Optional Move 59,,,,CAPTIVATE,,
Optional Move 60,,,,DARK_PULSE,,
Optional Move 61,,,,X_SCISSOR,,
Optional Move 62,,,,SLEEP_TALK,,
Optional Move 63,,,,NATURAL_GIFT,,
Optional Move 64,,,,POISON_JAB,,
Optional Move 65,,,,DREAM_EATER,,
Optional Move 66,,,,SWAGGER,,
Optional Move 67,,,,SUBSTITUTE,,
