Trainer 38,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,WEEDLE,PARAS,SPINARAK,WURMPLE,NONE,NONE
Level,7,7,7,7,,
Ability,SHIELD_DUST,EFFECT_SPORE,SWARM,SHIELD_DUST,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,STRING_SHOT,STUN_SPORE,ABSORB,STRING_SHOT,,
Move 2,POISON_STING,SCRATCH,STRING_SHOT,TACKLE,,
Move 3,POISON_STING,POISON_POWDER,POISON_STING,POISON_STING,,
Move 4,POISON_STING,SCRATCH,CONSTRICT,TACKLE,,
Optional Move 1,,FALSE_SWIPE,PSYBEAM,,,
Optional Move 2,,SCREECH,DISABLE,,,
Optional Move 3,,COUNTER,SONIC_BOOM,,,
Optional Move 4,,PSYBEAM,BATON_PASS,,,
Optional Move 5,,FLAIL,PURSUIT,,,
Optional Move 6,,SWEET_SCENT,SIGNAL_BEAM,,,
Optional Move 7,,LIGHT_SCREEN,TOXIC_SPIKES,,,
Optional Move 8,,PURSUIT,TOXIC,,,
Optional Move 9,,METAL_CLAW,HIDDEN_POWER,,,
Optional Move 10,,BUG_BITE,SUNNY_DAY,,,
Optional Move 11,,CROSS_POISON,PROTECT,,,
Optional Move 12,,AGILITY,GIGA_DRAIN,,,
Optional Move 13,,TOXIC,FRUSTRATION,,,
Optional Move 14,,BULLET_SEED,SOLAR_BEAM,,,
Optional Move 15,,HIDDEN_POWER,RETURN,,,
Optional Move 16,,SUNNY_DAY,DIG,,,
Optional Move 17,,PROTECT,DOUBLE_TEAM,,,
Optional Move 18,,FRUSTRATION,SLUDGE_BOMB,,,
Optional Move 19,,SOLAR_BEAM,FACADE,,,
Optional Move 20,,RETURN,SECRET_POWER,,,
Optional Move 21,,DIG,REST,,,
Optional Move 22,,BRICK_BREAK,ATTRACT,,,
Optional Move 23,,DOUBLE_TEAM,THIEF,,,
Optional Move 24,,SLUDGE_BOMB,ENDURE,,,
Optional Move 25,,AERIAL_ACE,FLASH,,,
Optional Move 26,,FACADE,CAPTIVATE,,,
Optional Move 27,,SECRET_POWER,X_SCISSOR,,,
Optional Move 28,,REST,SLEEP_TALK,,,
Optional Move 29,,ATTRACT,NATURAL_GIFT,,,
Optional Move 30,,THIEF,SWAGGER,,,
Optional Move 31,,ENERGY_BALL,SUBSTITUTE,,,
Optional Move 32,,ENDURE,,,,
Optional Move 33,,FLASH,,,,
Optional Move 34,,SWORDS_DANCE,,,,
Optional Move 35,,CAPTIVATE,,,,
Optional Move 36,,SLEEP_TALK,,,,
Optional Move 37,,NATURAL_GIFT,,,,
Optional Move 38,,GRASS_KNOT,,,,
Optional Move 39,,SWAGGER,,,,
Optional Move 40,,SUBSTITUTE,,,,
