Trainer 404,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TORKOAL,MAGMAR,MAGCARGO,HEATMOR,NONE,NONE
Level,38,38,38,38,,
Ability,WHITE_SMOKE,FLAME_BODY,MAGMA_ARMOR,GLUTTONY,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,FLAMETHROWER,LAVA_PLUME,LAVA_PLUME,INCINERATE,,
Move 2,BODY_SLAM,LEER,EARTH_POWER,FLAME_BURST,,
Move 3,LAVA_PLUME,FIRE_PUNCH,FLAME_BURST,SLASH,,
Move 4,IRON_DEFENSE,FLAME_BURST,ROCK_SLIDE,BUG_BITE,,
Optional Move 1,SMOG,SMOG,SHELL_SMASH,LICK,,
Optional Move 2,EMBER,EMBER,YAWN,TACKLE,,
Optional Move 3,WITHDRAW,SMOKESCREEN,SMOG,HONE_CLAWS,,
Optional Move 4,RAPID_SPIN,FEINT_ATTACK,EMBER,ODOR_SLEUTH,,
Optional Move 5,SMOKESCREEN,CLEAR_SMOG,ROCK_THROW,FURY_SWIPES,,
Optional Move 6,FIRE_SPIN,FIRE_SPIN,HARDEN,BIND,,
Optional Move 7,CLEAR_SMOG,FLAME_WHEEL,INCINERATE,SNATCH,,
Optional Move 8,FLAME_WHEEL,CONFUSE_RAY,CLEAR_SMOG,FIRE_SPIN,,
Optional Move 9,PROTECT,SCARY_FACE,ANCIENT_POWER,STOCKPILE,,
Optional Move 10,CURSE,FOCUS_PUNCH,AMNESIA,SWALLOW,,
Optional Move 11,ENDURE,ROAR,TOXIC,SPIT_UP,,
Optional Move 12,SLEEP_TALK,TOXIC,HIDDEN_POWER,BODY_SLAM,,
Optional Move 13,YAWN,HIDDEN_POWER,SUNNY_DAY,CURSE,,
Optional Move 14,EARTHQUAKE,TAUNT,HYPER_BEAM,FEINT_ATTACK,,
Optional Move 15,FISSURE,PROTECT,LIGHT_SCREEN,HEAT_WAVE,,
Optional Move 16,SKULL_BASH,FRUSTRATION,PROTECT,NIGHT_SLASH,,
Optional Move 17,TOXIC,IRON_TAIL,FRUSTRATION,PURSUIT,,
Optional Move 18,HIDDEN_POWER,RETURN,SOLAR_BEAM,SLEEP_TALK,,
Optional Move 19,SUNNY_DAY,PSYCHIC,EARTHQUAKE,SUCKER_PUNCH,,
Optional Move 20,HYPER_BEAM,BRICK_BREAK,RETURN,TICKLE,,
Optional Move 21,FRUSTRATION,DOUBLE_TEAM,DOUBLE_TEAM,WRAP,,
Optional Move 22,SOLAR_BEAM,FACADE,REFLECT,FOCUS_PUNCH,,
Optional Move 23,IRON_TAIL,SECRET_POWER,SANDSTORM,TOXIC,,
Optional Move 24,RETURN,REST,FIRE_BLAST,HIDDEN_POWER,,
Optional Move 25,DOUBLE_TEAM,ATTRACT,ROCK_TOMB,SUNNY_DAY,,
Optional Move 26,SLUDGE_BOMB,THIEF,FACADE,TAUNT,,
Optional Move 27,SANDSTORM,OVERHEAT,SECRET_POWER,PROTECT,,
Optional Move 28,FIRE_BLAST,FOCUS_BLAST,REST,RAIN_DANCE,,
Optional Move 29,ROCK_TOMB,FLING,ATTRACT,GIGA_DRAIN,,
Optional Move 30,FACADE,ENDURE,OVERHEAT,FRUSTRATION,,
Optional Move 31,SECRET_POWER,WILL_O_WISP,ENDURE,SOLAR_BEAM,,
Optional Move 32,REST,GIGA_IMPACT,WILL_O_WISP,RETURN,,
Optional Move 33,ATTRACT,CAPTIVATE,EXPLOSION,DIG,,
Optional Move 34,OVERHEAT,SLEEP_TALK,GIGA_IMPACT,DOUBLE_TEAM,,
Optional Move 35,WILL_O_WISP,NATURAL_GIFT,ROCK_POLISH,FIRE_BLAST,,
Optional Move 36,EXPLOSION,POISON_JAB,STONE_EDGE,ROCK_TOMB,,
Optional Move 37,GIGA_IMPACT,SWAGGER,GYRO_BALL,AERIAL_ACE,,
Optional Move 38,STONE_EDGE,SUBSTITUTE,STEALTH_ROCK,FACADE,,
Optional Move 39,GYRO_BALL,,CAPTIVATE,SECRET_POWER,,
Optional Move 40,STEALTH_ROCK,,SLEEP_TALK,REST,,
Optional Move 41,CAPTIVATE,,NATURAL_GIFT,ATTRACT,,
Optional Move 42,ROCK_SLIDE,,SWAGGER,THIEF,,
Optional Move 43,NATURAL_GIFT,,SUBSTITUTE,OVERHEAT,,
Optional Move 44,SWAGGER,,,FOCUS_BLAST,,
Optional Move 45,SUBSTITUTE,,,FLING,,
Optional Move 46,,,,ENDURE,,
Optional Move 47,,,,DRAIN_PUNCH,,
Optional Move 48,,,,WILL_O_WISP,,
Optional Move 49,,,,SHADOW_CLAW,,
Optional Move 50,,,,RECYCLE,,
Optional Move 51,,,,GIGA_IMPACT,,
Optional Move 52,,,,SWAGGER,,
Optional Move 53,,,,SUBSTITUTE,,
