Trainer 407,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PYROAR,SALAZZLE,RAPIDASH,NONE,NONE,NONE
Level,38,38,38,,,
Ability,RIVALRY,CORROSION,RUN_AWAY,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FLAMETHROWER,FIRE_LASH,MEGAHORN,,,
Move 2,WORK_UP,INCINERATE,SMART_STRIKE,,,
Move 3,HEADBUTT,FLAME_BURST,POISON_JAB,,,
Move 4,FIRE_FANG,VENOSHOCK,FLAME_WHEEL,,,
Optional Move 1,HYPER_BEAM,CAPTIVATE,FURY_ATTACK,,,
Optional Move 2,TACKLE,KNOCK_OFF,TACKLE,,,
Optional Move 3,LEER,ENCORE,QUICK_ATTACK,,,
Optional Move 4,EMBER,TORMENT,GROWL,,,
Optional Move 5,NOBLE_ROAR,SWAGGER,TAIL_WHIP,,,
Optional Move 6,TAKE_DOWN,DISABLE,EMBER,,,
Optional Move 7,ENDEAVOR,SCRATCH,FLAME_CHARGE,,,
Optional Move 8,ECHOED_VOICE,ENDEAVOR,STOMP,,,
Optional Move 9,ROAR,POUND,AGILITY,,,
Optional Move 10,TOXIC,POISON_GAS,FIRE_SPIN,,,
Optional Move 11,HIDDEN_POWER,SMOG,TAKE_DOWN,,,
Optional Move 12,SUNNY_DAY,EMBER,TOXIC,,,
Optional Move 13,TAUNT,SWEET_SCENT,HIDDEN_POWER,,,
Optional Move 14,PROTECT,DRAGON_RAGE,SUNNY_DAY,,,
Optional Move 15,RAIN_DANCE,POISON_FANG,HYPER_BEAM,,,
Optional Move 16,FRUSTRATION,DOUBLE_SLAP,PROTECT,,,
Optional Move 17,SOLAR_BEAM,NASTY_PLOT,FRUSTRATION,,,
Optional Move 18,IRON_TAIL,DRAGON_CLAW,SOLAR_BEAM,,,
Optional Move 19,RETURN,HIDDEN_POWER,IRON_TAIL,,,
Optional Move 20,DIG,SUNNY_DAY,RETURN,,,
Optional Move 21,DOUBLE_TEAM,TAUNT,DOUBLE_TEAM,,,
Optional Move 22,FIRE_BLAST,HYPER_BEAM,FLAMETHROWER,,,
Optional Move 23,FACADE,PROTECT,FACADE,,,
Optional Move 24,SECRET_POWER,FRUSTRATION,SECRET_POWER,,,
Optional Move 25,REST,IRON_TAIL,REST,,,
Optional Move 26,ATTRACT,RETURN,ATTRACT,,,
Optional Move 27,THIEF,DOUBLE_TEAM,OVERHEAT,,,
Optional Move 28,SNATCH,SLUDGE_BOMB,ENDURE,,,
Optional Move 29,ENDURE,FIRE_BLAST,WILL_O_WISP,,,
Optional Move 30,WILL_O_WISP,FACADE,GIGA_IMPACT,,,
Optional Move 31,PAYBACK,SECRET_POWER,SWORDS_DANCE,,,
Optional Move 32,GIGA_IMPACT,REST,CAPTIVATE,,,
Optional Move 33,DARK_PULSE,ATTRACT,SLEEP_TALK,,,
Optional Move 34,SLEEP_TALK,THIEF,NATURAL_GIFT,,,
Optional Move 35,SWAGGER,SNATCH,SWAGGER,,,
Optional Move 36,SUBSTITUTE,OVERHEAT,SUBSTITUTE,,,
Optional Move 37,,FLING,,,,
Optional Move 38,,ENDURE,,,,
Optional Move 39,,WILL_O_WISP,,,,
Optional Move 40,,SHADOW_CLAW,,,,
Optional Move 41,,PAYBACK,,,,
Optional Move 42,,GIGA_IMPACT,,,,
Optional Move 43,,THUNDER_WAVE,,,,
Optional Move 44,,SLEEP_TALK,,,,
Optional Move 45,,POISON_JAB,,,,
Optional Move 46,,SUBSTITUTE,,,,
