Trainer 414,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,WOBBUFFET,FURRET,DUGTRIO,PELIPPER,LARVESTA,NONE
Level,38,38,38,38,38,
Ability,SHADOW_TAG,RUN_AWAY,SAND_VEIL,KEEN_EYE,FLAME_BODY,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,AMNESIA,AGILITY,EARTH_POWER,HYDRO_PUMP,LEECH_LIFE,
Move 2,CHARM,SLAM,TRI_ATTACK,BRINE,STRUGGLE_BUG,
Move 3,ENCORE,SUCKER_PUNCH,BULLDOZE,AGILITY,BUG_BITE,
Move 4,MIRROR_COAT,QUICK_ATTACK,IRON_HEAD,HURRICANE,FLAME_WHEEL,
Optional Move 1,DESTINY_BOND,COIL,SAND_TOMB,PROTECT,EMBER,
Optional Move 2,SAFEGUARD,SCRATCH,NIGHT_SLASH,SOAK,STRING_SHOT,
Optional Move 3,COUNTER,FORESIGHT,SAND_ATTACK,QUICK_ATTACK,ABSORB,
Optional Move 4,SPLASH,DEFENSE_CURL,SCRATCH,AIR_SLASH,FLAME_CHARGE,
Optional Move 5,,FURY_SWIPES,GROWL,GROWL,SCREECH,
Optional Move 6,,HELPING_HAND,ASTONISH,WATER_GUN,TAKE_DOWN,
Optional Move 7,,FOLLOW_ME,ROTOTILLER,TAILWIND,ENDURE,
Optional Move 8,,REST,MUD_SLAP,SUPERSONIC,FORESIGHT,
Optional Move 9,,FOCUS_PUNCH,MAGNITUDE,WATER_SPORT,HARDEN,
Optional Move 10,,WATER_PULSE,SUCKER_PUNCH,WING_ATTACK,MAGNET_RISE,
Optional Move 11,,TOXIC,MUD_BOMB,WATER_PULSE,MORNING_SUN,
Optional Move 12,,HIDDEN_POWER,SANDSTORM,PAYBACK,ZEN_HEADBUTT,
Optional Move 13,,SUNNY_DAY,SLASH,MIST,CALM_MIND,
Optional Move 14,,ICE_BEAM,DIG,STOCKPILE,TOXIC,
Optional Move 15,,BLIZZARD,TOXIC,SWALLOW,HIDDEN_POWER,
Optional Move 16,,HYPER_BEAM,HIDDEN_POWER,SPIT_UP,SUNNY_DAY,
Optional Move 17,,PROTECT,SUNNY_DAY,FLING,LIGHT_SCREEN,
Optional Move 18,,RAIN_DANCE,HYPER_BEAM,TOXIC,PROTECT,
Optional Move 19,,FRUSTRATION,PROTECT,HAIL,SAFEGUARD,
Optional Move 20,,SOLAR_BEAM,FRUSTRATION,HIDDEN_POWER,FRUSTRATION,
Optional Move 21,,IRON_TAIL,RETURN,ICE_BEAM,SOLAR_BEAM,
Optional Move 22,,THUNDERBOLT,DOUBLE_TEAM,BLIZZARD,RETURN,
Optional Move 23,,THUNDER,SLUDGE_BOMB,HYPER_BEAM,PSYCHIC,
Optional Move 24,,RETURN,ROCK_TOMB,RAIN_DANCE,DOUBLE_TEAM,
Optional Move 25,,DIG,FACADE,FRUSTRATION,FLAMETHROWER,
Optional Move 26,,SHADOW_BALL,SECRET_POWER,RETURN,FIRE_BLAST,
Optional Move 27,,BRICK_BREAK,REST,DOUBLE_TEAM,FACADE,
Optional Move 28,,DOUBLE_TEAM,ATTRACT,SHOCK_WAVE,SECRET_POWER,
Optional Move 29,,SHOCK_WAVE,THIEF,AERIAL_ACE,REST,
Optional Move 30,,FLAMETHROWER,ENDURE,FACADE,ATTRACT,
Optional Move 31,,FIRE_BLAST,SHADOW_CLAW,SECRET_POWER,OVERHEAT,
Optional Move 32,,FACADE,GIGA_IMPACT,REST,WILL_O_WISP,
Optional Move 33,,SECRET_POWER,STONE_EDGE,ATTRACT,SLEEP_TALK,
Optional Move 34,,ATTRACT,SWORDS_DANCE,THIEF,SWAGGER,
Optional Move 35,,THIEF,STEALTH_ROCK,STEEL_WING,SUBSTITUTE,
Optional Move 36,,FOCUS_BLAST,CAPTIVATE,ENDURE,,
Optional Move 37,,FLING,ROCK_SLIDE,GIGA_IMPACT,,
Optional Move 38,,CHARGE_BEAM,SLEEP_TALK,CAPTIVATE,,
Optional Move 39,,ENDURE,NATURAL_GIFT,SLEEP_TALK,,
Optional Move 40,,SHADOW_CLAW,SWAGGER,NATURAL_GIFT,,
Optional Move 41,,GIGA_IMPACT,SUBSTITUTE,SWAGGER,,
Optional Move 42,,CAPTIVATE,,PLUCK,,
Optional Move 43,,SLEEP_TALK,,U_TURN,,
Optional Move 44,,NATURAL_GIFT,,SUBSTITUTE,,
Optional Move 45,,GRASS_KNOT,,,,
Optional Move 46,,SWAGGER,,,,
Optional Move 47,,U_TURN,,,,
Optional Move 48,,SUBSTITUTE,,,,
