Trainer 420,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PYUKUMUKU,PERRSERKER,FEAROW,SANDSLASH,NONE,NONE
Level,40,40,40,40,,
Ability,INNARDS_OUT,BATTLE_ARMOR,KEEN_EYE,SAND_VEIL,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,WATER_SPORT,IRON_HEAD,DRILL_RUN,CRUSH_CLAW,,
Move 2,BATON_PASS,IRON_DEFENSE,FOCUS_ENERGY,RAPID_SPIN,,
Move 3,HARDEN,METAL_CLAW,AERIAL_ACE,SLASH,,
Move 4,MUD_SPORT,HONE_CLAWS,FURY_ATTACK,DIG,,
Optional Move 1,BIDE,METAL_BURST,PLUCK,SCRATCH,,
Optional Move 2,HELPING_HAND,FAKE_OUT,PECK,DEFENSE_CURL,,
Optional Move 3,TAUNT,GROWL,GROWL,POISON_STING,,
Optional Move 4,SAFEGUARD,SCRATCH,LEER,SAND_ATTACK,,
Optional Move 5,COUNTER,PAY_DAY,PURSUIT,ROLLOUT,,
Optional Move 6,PURIFY,TAUNT,MIRROR_MOVE,FURY_CUTTER,,
Optional Move 7,CURSE,SWAGGER,ASSURANCE,MAGNITUDE,,
Optional Move 8,GASTRO_ACID,FURY_SWIPES,AGILITY,BULLDOZE,,
Optional Move 9,PAIN_SPLIT,SCREECH,ROOST,SWIFT,,
Optional Move 10,HAIL,TOXIC,TOXIC,FURY_SWIPES,,
Optional Move 11,LIGHT_SCREEN,HIDDEN_POWER,HIDDEN_POWER,SAND_TOMB,,
Optional Move 12,RAIN_DANCE,SUNNY_DAY,SUNNY_DAY,FOCUS_PUNCH,,
Optional Move 13,REFLECT,HYPER_BEAM,HYPER_BEAM,TOXIC,,
Optional Move 14,RECYCLE,PROTECT,PROTECT,HIDDEN_POWER,,
Optional Move 15,PSYCH_UP,RAIN_DANCE,RAIN_DANCE,SUNNY_DAY,,
Optional Move 16,,FRUSTRATION,FRUSTRATION,HYPER_BEAM,,
Optional Move 17,,IRON_TAIL,RETURN,PROTECT,,
Optional Move 18,,THUNDERBOLT,DOUBLE_TEAM,SAFEGUARD,,
Optional Move 19,,THUNDER,FACADE,FRUSTRATION,,
Optional Move 20,,RETURN,SECRET_POWER,IRON_TAIL,,
Optional Move 21,,DIG,REST,RETURN,,
Optional Move 22,,SHADOW_BALL,ATTRACT,BRICK_BREAK,,
Optional Move 23,,BRICK_BREAK,THIEF,DOUBLE_TEAM,,
Optional Move 24,,DOUBLE_TEAM,STEEL_WING,ROCK_TOMB,,
Optional Move 25,,AERIAL_ACE,FALSE_SWIPE,AERIAL_ACE,,
Optional Move 26,,FACADE,ENDURE,FACADE,,
Optional Move 27,,SECRET_POWER,GIGA_IMPACT,SECRET_POWER,,
Optional Move 28,,REST,CAPTIVATE,REST,,
Optional Move 29,,ATTRACT,SLEEP_TALK,ATTRACT,,
Optional Move 30,,THIEF,NATURAL_GIFT,THIEF,,
Optional Move 31,,FALSE_SWIPE,SWAGGER,FOCUS_BLAST,,
Optional Move 32,,FLING,U_TURN,FALSE_SWIPE,,
Optional Move 33,,ENDURE,SUBSTITUTE,FLING,,
Optional Move 34,,PAYBACK,,ENDURE,,
Optional Move 35,,GIGA_IMPACT,,SHADOW_CLAW,,
Optional Move 36,,GYRO_BALL,,GIGA_IMPACT,,
Optional Move 37,,SWORDS_DANCE,,STONE_EDGE,,
Optional Move 38,,STEALTH_ROCK,,STEALTH_ROCK,,
Optional Move 39,,DARK_PULSE,,CAPTIVATE,,
Optional Move 40,,X_SCISSOR,,ROCK_SLIDE,,
Optional Move 41,,SLEEP_TALK,,X_SCISSOR,,
Optional Move 42,,U_TURN,,SLEEP_TALK,,
Optional Move 43,,SUBSTITUTE,,NATURAL_GIFT,,
Optional Move 44,,FLASH_CANNON,,POISON_JAB,,
Optional Move 45,,,,SWAGGER,,
Optional Move 46,,,,SUBSTITUTE,,
