Trainer 423,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VULPIX,LICKITUNG,BERGMITE,NONE,NONE,NONE
Level,40,40,40,,,
Ability,SNOW_CLOAK,OWN_TEMPO,OWN_TEMPO,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ICE_BEAM,KNOCK_OFF,CRUNCH,,,
Move 2,EXTRASENSORY,SLAM,BLIZZARD,,,
Move 3,MIST,CHIP_AWAY,ICE_FANG,,,
Move 4,AURORA_BEAM,STOMP,IRON_DEFENSE,,,
Optional Move 1,EMBER,LICK,RAPID_SPIN,,,
Optional Move 2,TAIL_WHIP,DEFENSE_CURL,HARDEN,,,
Optional Move 3,DISABLE,SUPERSONIC,TACKLE,,,
Optional Move 4,ROAR,WRAP,BITE,,,
Optional Move 5,QUICK_ATTACK,ROLLOUT,POWDER_SNOW,,,
Optional Move 6,BABY_DOLL_EYES,DISABLE,ICY_WIND,,,
Optional Move 7,SPITE,MAGNITUDE,CURSE,,,
Optional Move 8,INCINERATE,BODY_SLAM,PROTECT,,,
Optional Move 9,CONFUSE_RAY,CURSE,SHARPEN,,,
Optional Move 10,PAYBACK,SMELLING_SALTS,TAKE_DOWN,,,
Optional Move 11,WILL_O_WISP,SLEEP_TALK,AVALANCHE,,,
Optional Move 12,FEINT_ATTACK,SNORE,ICE_BALL,,,
Optional Move 13,HEX,SUBSTITUTE,RECOVER,,,
Optional Move 14,FIRE_SPIN,AMNESIA,TOXIC,,,
Optional Move 15,FLAME_BURST,HAMMER_ARM,HAIL,,,
Optional Move 16,FLAMETHROWER,MUDDY_WATER,HIDDEN_POWER,,,
Optional Move 17,IMPRISON,FOCUS_PUNCH,ICE_BEAM,,,
Optional Move 18,SAFEGUARD,WATER_PULSE,RAIN_DANCE,,,
Optional Move 19,HYPNOSIS,TOXIC,SAFEGUARD,,,
Optional Move 20,FLAIL,HIDDEN_POWER,FRUSTRATION,,,
Optional Move 21,HOWL,SUNNY_DAY,RETURN,,,
Optional Move 22,PSYCH_UP,ICE_BEAM,DOUBLE_TEAM,,,
Optional Move 23,HEAT_WAVE,BLIZZARD,ROCK_TOMB,,,
Optional Move 24,FLARE_BLITZ,HYPER_BEAM,FACADE,,,
Optional Move 25,ENERGY_BALL,PROTECT,SECRET_POWER,,,
Optional Move 26,POWER_SWAP,RAIN_DANCE,REST,,,
Optional Move 27,TOXIC,FRUSTRATION,ATTRACT,,,
Optional Move 28,HIDDEN_POWER,SOLAR_BEAM,ENDURE,,,
Optional Move 29,SUNNY_DAY,IRON_TAIL,ROCK_POLISH,,,
Optional Move 30,BLIZZARD,THUNDERBOLT,FLASH,,,
Optional Move 31,PROTECT,THUNDER,STONE_EDGE,,,
Optional Move 32,FRUSTRATION,EARTHQUAKE,GYRO_BALL,,,
Optional Move 33,IRON_TAIL,RETURN,ROCK_SLIDE,,,
Optional Move 34,RETURN,DIG,SLEEP_TALK,,,
Optional Move 35,DIG,SHADOW_BALL,SWAGGER,,,
Optional Move 36,DOUBLE_TEAM,BRICK_BREAK,SUBSTITUTE,,,
Optional Move 37,FACADE,DOUBLE_TEAM,FLASH_CANNON,,,
Optional Move 38,SECRET_POWER,SHOCK_WAVE,,,,
Optional Move 39,REST,FLAMETHROWER,,,,
Optional Move 40,ATTRACT,SANDSTORM,,,,
Optional Move 41,OVERHEAT,FIRE_BLAST,,,,
Optional Move 42,ENDURE,ROCK_TOMB,,,,
Optional Move 43,DARK_PULSE,FACADE,,,,
Optional Move 44,SLEEP_TALK,SECRET_POWER,,,,
Optional Move 45,NATURAL_GIFT,REST,,,,
Optional Move 46,SWAGGER,ATTRACT,,,,
Optional Move 47,SUBSTITUTE,THIEF,,,,
Optional Move 48,,FLING,,,,
Optional Move 49,,ENDURE,,,,
Optional Move 50,,GIGA_IMPACT,,,,
Optional Move 51,,SWORDS_DANCE,,,,
Optional Move 52,,PSYCH_UP,,,,
Optional Move 53,,CAPTIVATE,,,,
Optional Move 54,,ROCK_SLIDE,,,,
Optional Move 55,,NATURAL_GIFT,,,,
Optional Move 56,,DREAM_EATER,,,,
Optional Move 57,,SWAGGER,,,,
