Trainer 424,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SNORUNT,DOUBLADE,VANILLITE,NONE,NONE,NONE
Level,40,40,40,,,
Ability,INNER_FOCUS,NO_GUARD,ICE_BODY,,,
Held Item,NONE,NONE,NONE,,,
Move 1,DOUBLE_TEAM,NIGHT_SLASH,ICE_BEAM,,,
Move 2,ICE_FANG,SLASH,UPROAR,,,
Move 3,HEADBUTT,RETALIATE,MIRROR_SHOT,,,
Move 4,FROST_BREATH,SHADOW_SNEAK,ACID_ARMOR,,,
Optional Move 1,POWDER_SNOW,TACKLE,ASTONISH,,,
Optional Move 2,ASTONISH,FURY_CUTTER,HARDEN,,,
Optional Move 3,LEER,AUTOTOMIZE,ICICLE_SPEAR,,,
Optional Move 4,ICE_SHARD,SWORDS_DANCE,MIST,,,
Optional Move 5,ICY_WIND,METAL_SOUND,TAUNT,,,
Optional Move 6,PROTECT,PURSUIT,ICY_WIND,,,
Optional Move 7,BITE,AERIAL_ACE,AVALANCHE,,,
Optional Move 8,BLOCK,IRON_DEFENSE,HAIL,,,
Optional Move 9,SPIKES,TOXIC,MIRROR_COAT,,,
Optional Move 10,ROLLOUT,HIDDEN_POWER,ICE_SHARD,,,
Optional Move 11,DISABLE,PROTECT,IMPRISON,,,
Optional Move 12,BIDE,RAIN_DANCE,IRON_DEFENSE,,,
Optional Move 13,WEATHER_BALL,FRUSTRATION,MAGNET_RISE,,,
Optional Move 14,WATER_PULSE,RETURN,NATURAL_GIFT,,,
Optional Move 15,TOXIC,BRICK_BREAK,POWDER_SNOW,,,
Optional Move 16,HIDDEN_POWER,DOUBLE_TEAM,WATER_PULSE,,,
Optional Move 17,ICE_BEAM,REFLECT,TOXIC,,,
Optional Move 18,LIGHT_SCREEN,SHOCK_WAVE,HIDDEN_POWER,,,
Optional Move 19,RAIN_DANCE,FACADE,LIGHT_SCREEN,,,
Optional Move 20,SAFEGUARD,SECRET_POWER,PROTECT,,,
Optional Move 21,FRUSTRATION,REST,RAIN_DANCE,,,
Optional Move 22,RETURN,ATTRACT,FRUSTRATION,,,
Optional Move 23,SHADOW_BALL,FALSE_SWIPE,RETURN,,,
Optional Move 24,FACADE,ENDURE,DOUBLE_TEAM,,,
Optional Move 25,SECRET_POWER,SHADOW_CLAW,FACADE,,,
Optional Move 26,REST,GYRO_BALL,SECRET_POWER,,,
Optional Move 27,ATTRACT,ROCK_SLIDE,REST,,,
Optional Move 28,ENDURE,SLEEP_TALK,ATTRACT,,,
Optional Move 29,FLASH,SWAGGER,ENDURE,,,
Optional Move 30,AVALANCHE,SUBSTITUTE,EXPLOSION,,,
Optional Move 31,CAPTIVATE,FLASH_CANNON,SLEEP_TALK,,,
Optional Move 32,SLEEP_TALK,,SWAGGER,,,
Optional Move 33,NATURAL_GIFT,,SUBSTITUTE,,,
Optional Move 34,SWAGGER,,FLASH_CANNON,,,
Optional Move 35,SUBSTITUTE,,,,,
