Trainer 436,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ROTOM_FROST,CETITAN,BEARTIC,NONE,NONE,NONE
Level,42,42,42,,,
Ability,LEVITATE,THICK_FAT,SNOW_CLOAK,,,
Held Item,NONE,NONE,NONE,,,
Move 1,DISCHARGE,BODY_SLAM,ICICLE_CRASH,,,
Move 2,UPROAR,BOUNCE,THRASH,,,
Move 3,SHOCK_WAVE,AMNESIA,SUPERPOWER,,,
Move 4,TRICK,AVALANCHE,SWAGGER,,,
Optional Move 1,ASTONISH,POWDER_SNOW,AQUA_JET,,,
Optional Move 2,DOUBLE_TEAM,TACKLE,CHARM,,,
Optional Move 3,CHARGE,GROWL,POWDER_SNOW,,,
Optional Move 4,THUNDER_WAVE,ECHOED_VOICE,GROWL,,,
Optional Move 5,THUNDER_SHOCK,ICE_SHARD,ENDURE,,,
Optional Move 6,CONFUSE_RAY,REST,FURY_SWIPES,,,
Optional Move 7,OMINOUS_WIND,TAKE_DOWN,SHEER_COLD,,,
Optional Move 8,ELECTRO_BALL,FLAIL,BIDE,,,
Optional Move 9,SUBSTITUTE,WATER_PULSE,ICY_WIND,,,
Optional Move 10,HEX,TOXIC,PLAY_NICE,,,
Optional Move 11,TOXIC,HIDDEN_POWER,BRINE,,,
Optional Move 12,HIDDEN_POWER,ICE_BEAM,FROST_BREATH,,,
Optional Move 13,SUNNY_DAY,HYPER_BEAM,SLASH,,,
Optional Move 14,LIGHT_SCREEN,PROTECT,FLAIL,,,
Optional Move 15,PROTECT,RAIN_DANCE,REST,,,
Optional Move 16,RAIN_DANCE,FRUSTRATION,HAIL,,,
Optional Move 17,FRUSTRATION,EARTHQUAKE,BLIZZARD,,,
Optional Move 18,THUNDERBOLT,RETURN,FOCUS_PUNCH,,,
Optional Move 19,THUNDER,DOUBLE_TEAM,WATER_PULSE,,,
Optional Move 20,RETURN,FACADE,ROAR,,,
Optional Move 21,SHADOW_BALL,SECRET_POWER,TOXIC,,,
Optional Move 22,REFLECT,ATTRACT,BULK_UP,,,
Optional Move 23,FACADE,ENDURE,HIDDEN_POWER,,,
Optional Move 24,SECRET_POWER,GIGA_IMPACT,TAUNT,,,
Optional Move 25,REST,SLEEP_TALK,ICE_BEAM,,,
Optional Move 26,THIEF,SUBSTITUTE,HYPER_BEAM,,,
Optional Move 27,SNATCH,,PROTECT,,,
Optional Move 28,CHARGE_BEAM,,RAIN_DANCE,,,
Optional Move 29,ENDURE,,FRUSTRATION,,,
Optional Move 30,WILL_O_WISP,,EARTHQUAKE,,,
Optional Move 31,FLASH,,RETURN,,,
Optional Move 32,DARK_PULSE,,DIG,,,
Optional Move 33,SLEEP_TALK,,BRICK_BREAK,,,
Optional Move 34,NATURAL_GIFT,,DOUBLE_TEAM,,,
Optional Move 35,DREAM_EATER,,ROCK_TOMB,,,
Optional Move 36,SWAGGER,,AERIAL_ACE,,,
Optional Move 37,,,FACADE,,,
Optional Move 38,,,SECRET_POWER,,,
Optional Move 39,,,ATTRACT,,,
Optional Move 40,,,THIEF,,,
Optional Move 41,,,FOCUS_BLAST,,,
Optional Move 42,,,FLING,,,
Optional Move 43,,,SHADOW_CLAW,,,
Optional Move 44,,,GIGA_IMPACT,,,
Optional Move 45,,,STONE_EDGE,,,
Optional Move 46,,,AVALANCHE,,,
Optional Move 47,,,SWORDS_DANCE,,,
Optional Move 48,,,ROCK_SLIDE,,,
Optional Move 49,,,X_SCISSOR,,,
Optional Move 50,,,SLEEP_TALK,,,
Optional Move 51,,,GRASS_KNOT,,,
Optional Move 52,,,SUBSTITUTE,,,
