Trainer 442,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GALVANTULA,ZEBSTRIKA,ELECTABUZZ,LUXRAY,MAGNETON,NONE
Level,43,43,43,43,43,
Ability,COMPOUND_EYES,LIGHTNING_ROD,STATIC,RIVALRY,MAGNET_PULL,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SIGNAL_BEAM,DISCHARGE,DISCHARGE,CHARGE,FLASH_CANNON,
Move 2,AGILITY,CHARGE,CHARGE,SPARK,TRI_ATTACK,
Move 3,SLASH,SPARK,THUNDER_PUNCH,THUNDER_FANG,ZAP_CANNON,
Move 4,ELECTROWEB,STOMP,SHOCK_WAVE,VOLT_SWITCH,LIGHT_SCREEN,
Optional Move 1,STICKY_WEB,ION_DELUGE,QUICK_ATTACK,ELECTRIC_TERRAIN,ELECTRIC_TERRAIN,
Optional Move 2,ABSORB,QUICK_ATTACK,LEER,TACKLE,THUNDER_SHOCK,
Optional Move 3,FURY_CUTTER,TAIL_WHIP,THUNDER_SHOCK,LEER,TACKLE,
Optional Move 4,BUG_BITE,THUNDER_WAVE,SWIFT,THUNDER_SHOCK,SUPERSONIC,
Optional Move 5,STRING_SHOT,SHOCK_WAVE,THUNDER_WAVE,BITE,THUNDER_WAVE,
Optional Move 6,SPIDER_WEB,FLAME_CHARGE,ELECTRO_BALL,ROAR,MAGNET_BOMB,
Optional Move 7,THUNDER_WAVE,PURSUIT,LOW_KICK,TOXIC,SONIC_BOOM,
Optional Move 8,ELECTRO_BALL,AGILITY,SCREECH,HIDDEN_POWER,ELECTRO_BALL,
Optional Move 9,SCREECH,ROAR,LIGHT_SCREEN,SUNNY_DAY,SPARK,
Optional Move 10,SUCKER_PUNCH,TOXIC,FOCUS_PUNCH,HYPER_BEAM,MIRROR_SHOT,
Optional Move 11,GASTRO_ACID,HIDDEN_POWER,TOXIC,LIGHT_SCREEN,SCREECH,
Optional Move 12,TOXIC,SUNNY_DAY,BULK_UP,PROTECT,GYRO_BALL,
Optional Move 13,HIDDEN_POWER,HYPER_BEAM,HIDDEN_POWER,RAIN_DANCE,METAL_SOUND,
Optional Move 14,HYPER_BEAM,LIGHT_SCREEN,TAUNT,FRUSTRATION,MAGNET_RISE,
Optional Move 15,LIGHT_SCREEN,PROTECT,HYPER_BEAM,IRON_TAIL,DISCHARGE,
Optional Move 16,PROTECT,RAIN_DANCE,PROTECT,THUNDERBOLT,TOXIC,
Optional Move 17,RAIN_DANCE,FRUSTRATION,RAIN_DANCE,THUNDER,HIDDEN_POWER,
Optional Move 18,FRUSTRATION,THUNDERBOLT,FRUSTRATION,RETURN,SUNNY_DAY,
Optional Move 19,THUNDERBOLT,THUNDER,IRON_TAIL,DOUBLE_TEAM,HYPER_BEAM,
Optional Move 20,THUNDER,RETURN,RETURN,SHOCK_WAVE,PROTECT,
Optional Move 21,RETURN,DOUBLE_TEAM,PSYCHIC,FACADE,RAIN_DANCE,
Optional Move 22,DOUBLE_TEAM,FACADE,BRICK_BREAK,SECRET_POWER,FRUSTRATION,
Optional Move 23,SHOCK_WAVE,SECRET_POWER,DOUBLE_TEAM,REST,THUNDERBOLT,
Optional Move 24,FACADE,REST,FACADE,ATTRACT,THUNDER,
Optional Move 25,SECRET_POWER,ATTRACT,SECRET_POWER,THIEF,RETURN,
Optional Move 26,REST,SNATCH,REST,CHARGE_BEAM,DOUBLE_TEAM,
Optional Move 27,ATTRACT,OVERHEAT,ATTRACT,ENDURE,REFLECT,
Optional Move 28,THIEF,CHARGE_BEAM,THIEF,GIGA_IMPACT,SHOCK_WAVE,
Optional Move 29,ENERGY_BALL,ENDURE,FOCUS_BLAST,FLASH,SANDSTORM,
Optional Move 30,CHARGE_BEAM,GIGA_IMPACT,FLING,CAPTIVATE,FACADE,
Optional Move 31,ENDURE,FLASH,CHARGE_BEAM,SLEEP_TALK,SECRET_POWER,
Optional Move 32,GIGA_IMPACT,SLEEP_TALK,ENDURE,NATURAL_GIFT,REST,
Optional Move 33,FLASH,SWAGGER,FLASH,SUBSTITUTE,CHARGE_BEAM,
Optional Move 34,X_SCISSOR,SUBSTITUTE,CAPTIVATE,,ENDURE,
Optional Move 35,SLEEP_TALK,,SLEEP_TALK,,EXPLOSION,
Optional Move 36,POISON_JAB,,NATURAL_GIFT,,RECYCLE,
Optional Move 37,SWAGGER,,SWAGGER,,FLASH,
Optional Move 38,SUBSTITUTE,,SUBSTITUTE,,SLEEP_TALK,
Optional Move 39,,,,,NATURAL_GIFT,
Optional Move 40,,,,,SWAGGER,
Optional Move 41,,,,,SUBSTITUTE,
