Trainer 448,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MAUSHOLD,RABSCA,BEHEEYEM,TORKOAL,NONE,NONE
Level,43,43,43,43,,
Ability,FRIEND_GUARD,SYNCHRONIZE,TELEPATHY,WHITE_SMOKE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,HYPER_VOICE,EXTRASENSORY,SYNCHRONOISE,FLAMETHROWER,,
Move 2,PLAY_ROUGH,LUNGE,HEAL_BLOCK,BODY_SLAM,,
Move 3,FOLLOW_ME,BUG_BITE,ZEN_HEADBUTT,LAVA_PLUME,,
Move 4,POUND,STRUGGLE_BUG,PSYBEAM,IRON_DEFENSE,,
Optional Move 1,BABY_DOLL_EYES,REVIVAL_BLESSING,PSYCHIC_TERRAIN,SMOG,,
Optional Move 2,TIDY_UP,PSYCH_UP,CONFUSION,EMBER,,
Optional Move 3,ECHOED_VOICE,SAFEGUARD,GROWL,WITHDRAW,,
Optional Move 4,HELPING_HAND,CONFUSION,IMPRISON,RAPID_SPIN,,
Optional Move 5,SUPER_FANG,DEFENSE_CURL,TELEPORT,SMOKESCREEN,,
Optional Move 6,DOUBLE_HIT,TACKLE,WONDER_ROOM,FIRE_SPIN,,
Optional Move 7,BULLET_SEED,SAND_ATTACK,MIRACLE_EYE,CLEAR_SMOG,,
Optional Move 8,ENCORE,ROLLOUT,HIDDEN_POWER,FLAME_WHEEL,,
Optional Move 9,CHARM,PSYBEAM,HEADBUTT,PROTECT,,
Optional Move 10,BEAT_UP,TAKE_DOWN,SIMPLE_BEAM,CURSE,,
Optional Move 11,WATER_PULSE,GUARD_SWAP,PSYCH_UP,FLAIL,,
Optional Move 12,TOXIC,POWER_SWAP,GUARD_SPLIT,ENDURE,,
Optional Move 13,HIDDEN_POWER,SPEED_SWAP,POWER_SPLIT,SLEEP_TALK,,
Optional Move 14,SUNNY_DAY,CALM_MIND,TOXIC,YAWN,,
Optional Move 15,TAUNT,TOXIC,HYPER_BEAM,EARTHQUAKE,,
Optional Move 16,HYPER_BEAM,HIDDEN_POWER,LIGHT_SCREEN,FISSURE,,
Optional Move 17,PROTECT,SUNNY_DAY,PROTECT,SKULL_BASH,,
Optional Move 18,RAIN_DANCE,HYPER_BEAM,RAIN_DANCE,TOXIC,,
Optional Move 19,FRUSTRATION,LIGHT_SCREEN,SAFEGUARD,HIDDEN_POWER,,
Optional Move 20,RETURN,PROTECT,FRUSTRATION,SUNNY_DAY,,
Optional Move 21,DIG,RAIN_DANCE,THUNDERBOLT,HYPER_BEAM,,
Optional Move 22,DOUBLE_TEAM,FRUSTRATION,RETURN,FRUSTRATION,,
Optional Move 23,AERIAL_ACE,RETURN,SHADOW_BALL,SOLAR_BEAM,,
Optional Move 24,FACADE,DIG,DOUBLE_TEAM,IRON_TAIL,,
Optional Move 25,SECRET_POWER,SHADOW_BALL,REFLECT,RETURN,,
Optional Move 26,REST,DOUBLE_TEAM,SHOCK_WAVE,DOUBLE_TEAM,,
Optional Move 27,THIEF,REFLECT,ROCK_TOMB,SLUDGE_BOMB,,
Optional Move 28,ENDURE,SLUDGE_BOMB,FACADE,SANDSTORM,,
Optional Move 29,SHADOW_CLAW,SANDSTORM,SECRET_POWER,FIRE_BLAST,,
Optional Move 30,GIGA_IMPACT,ROCK_TOMB,REST,ROCK_TOMB,,
Optional Move 31,THUNDER_WAVE,FACADE,ATTRACT,FACADE,,
Optional Move 32,SLEEP_TALK,SECRET_POWER,THIEF,SECRET_POWER,,
Optional Move 33,GRASS_KNOT,REST,STEEL_WING,REST,,
Optional Move 34,U_TURN,ATTRACT,SKILL_SWAP,ATTRACT,,
Optional Move 35,SUBSTITUTE,THIEF,SNATCH,OVERHEAT,,
Optional Move 36,,SKILL_SWAP,ENERGY_BALL,WILL_O_WISP,,
Optional Move 37,,ENERGY_BALL,CHARGE_BEAM,EXPLOSION,,
Optional Move 38,,FLING,ENDURE,GIGA_IMPACT,,
Optional Move 39,,ENDURE,EMBARGO,STONE_EDGE,,
Optional Move 40,,GIGA_IMPACT,RECYCLE,GYRO_BALL,,
Optional Move 41,,X_SCISSOR,GIGA_IMPACT,STEALTH_ROCK,,
Optional Move 42,,SLEEP_TALK,FLASH,CAPTIVATE,,
Optional Move 43,,SUBSTITUTE,THUNDER_WAVE,ROCK_SLIDE,,
Optional Move 44,,TRICK_ROOM,DARK_PULSE,NATURAL_GIFT,,
Optional Move 45,,,ROCK_SLIDE,SWAGGER,,
Optional Move 46,,,SLEEP_TALK,SUBSTITUTE,,
Optional Move 47,,,DREAM_EATER,,,
Optional Move 48,,,SWAGGER,,,
Optional Move 49,,,SUBSTITUTE,,,
Optional Move 50,,,FLASH_CANNON,,,
Optional Move 51,,,TRICK_ROOM,,,
