Trainer 456,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RATICATE,PUPITAR,CARKOL,DUGTRIO,MAROWAK,NONE
Level,50,50,50,50,50,
Ability,RUN_AWAY,SHED_SKIN,STEAM_ENGINE,SAND_VEIL,CURSED_BODY,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,HYPER_FANG,EARTHQUAKE,INCINERATE,EARTHQUAKE,SHADOW_BONE,
Move 2,CRUNCH,THRASH,ANCIENT_POWER,TRI_ATTACK,THRASH,
Move 3,FOCUS_ENERGY,IRON_DEFENSE,SMACK_DOWN,EARTH_POWER,STOMPING_TANTRUM,
Move 4,SUCKER_PUNCH,STONE_EDGE,ROCK_POLISH,SANDSTORM,FLAME_WHEEL,
Optional Move 1,SCARY_FACE,TACKLE,FLAME_CHARGE,SAND_TOMB,MUD_SLAP,
Optional Move 2,SWORDS_DANCE,LEER,TACKLE,NIGHT_SLASH,GROWL,
Optional Move 3,TACKLE,ROCK_THROW,SMOKESCREEN,SAND_ATTACK,TAIL_WHIP,
Optional Move 4,TAIL_WHIP,PAYBACK,RAPID_SPIN,SCRATCH,FALSE_SWIPE,
Optional Move 5,QUICK_ATTACK,BITE,STEALTH_ROCK,GROWL,BONE_CLUB,
Optional Move 6,BITE,SANDSTORM,HEAT_CRASH,ASTONISH,HEADBUTT,
Optional Move 7,PURSUIT,SCREECH,ROCK_BLAST,ROTOTILLER,LEER,
Optional Move 8,ASSURANCE,CHIP_AWAY,TOXIC,MUD_SLAP,RAGE,
Optional Move 9,SUPER_FANG,ROCK_SLIDE,HIDDEN_POWER,MAGNITUDE,FLING,
Optional Move 10,DOUBLE_EDGE,SCARY_FACE,SUNNY_DAY,BULLDOZE,FOCUS_ENERGY,
Optional Move 11,ENDEAVOR,STOMPING_TANTRUM,PROTECT,SUCKER_PUNCH,BONEMERANG,
Optional Move 12,ROAR,DARK_PULSE,FRUSTRATION,MUD_BOMB,RETALIATE,
Optional Move 13,TOXIC,CRUNCH,RETURN,SLASH,ENDEAVOR,
Optional Move 14,HIDDEN_POWER,TOXIC,DIG,DIG,BONE_RUSH,
Optional Move 15,SUNNY_DAY,HIDDEN_POWER,DOUBLE_TEAM,TOXIC,FOCUS_PUNCH,
Optional Move 16,TAUNT,SUNNY_DAY,REFLECT,HIDDEN_POWER,TOXIC,
Optional Move 17,ICE_BEAM,TAUNT,FLAMETHROWER,SUNNY_DAY,HIDDEN_POWER,
Optional Move 18,BLIZZARD,PROTECT,SANDSTORM,HYPER_BEAM,SUNNY_DAY,
Optional Move 19,HYPER_BEAM,RAIN_DANCE,FIRE_BLAST,PROTECT,ICE_BEAM,
Optional Move 20,PROTECT,FRUSTRATION,ROCK_TOMB,FRUSTRATION,BLIZZARD,
Optional Move 21,RAIN_DANCE,IRON_TAIL,FACADE,RETURN,HYPER_BEAM,
Optional Move 22,FRUSTRATION,RETURN,SECRET_POWER,DOUBLE_TEAM,PROTECT,
Optional Move 23,IRON_TAIL,DIG,REST,SLUDGE_BOMB,FRUSTRATION,
Optional Move 24,THUNDERBOLT,BRICK_BREAK,ATTRACT,ROCK_TOMB,IRON_TAIL,
Optional Move 25,THUNDER,DOUBLE_TEAM,OVERHEAT,FACADE,EARTHQUAKE,
Optional Move 26,RETURN,ROCK_TOMB,ENDURE,SECRET_POWER,RETURN,
Optional Move 27,DIG,AERIAL_ACE,WILL_O_WISP,REST,DIG,
Optional Move 28,SHADOW_BALL,TORMENT,STONE_EDGE,ATTRACT,BRICK_BREAK,
Optional Move 29,DOUBLE_TEAM,FACADE,GYRO_BALL,THIEF,DOUBLE_TEAM,
Optional Move 30,SHOCK_WAVE,SECRET_POWER,ROCK_SLIDE,ENDURE,FLAMETHROWER,
Optional Move 31,FACADE,REST,SLEEP_TALK,SHADOW_CLAW,SANDSTORM,
Optional Move 32,SECRET_POWER,ATTRACT,SUBSTITUTE,GIGA_IMPACT,FIRE_BLAST,
Optional Move 33,REST,ENDURE,,STONE_EDGE,ROCK_TOMB,
Optional Move 34,ATTRACT,GIGA_IMPACT,,SWORDS_DANCE,AERIAL_ACE,
Optional Move 35,THIEF,ROCK_POLISH,,STEALTH_ROCK,FACADE,
Optional Move 36,CHARGE_BEAM,STEALTH_ROCK,,CAPTIVATE,SECRET_POWER,
Optional Move 37,ENDURE,CAPTIVATE,,ROCK_SLIDE,REST,
Optional Move 38,GIGA_IMPACT,SLEEP_TALK,,SLEEP_TALK,ATTRACT,
Optional Move 39,THUNDER_WAVE,NATURAL_GIFT,,NATURAL_GIFT,THIEF,
Optional Move 40,CAPTIVATE,SWAGGER,,SWAGGER,FOCUS_BLAST,
Optional Move 41,SLEEP_TALK,SUBSTITUTE,,SUBSTITUTE,ENDURE,
Optional Move 42,NATURAL_GIFT,,,,GIGA_IMPACT,
Optional Move 43,GRASS_KNOT,,,,STONE_EDGE,
Optional Move 44,SWAGGER,,,,SWORDS_DANCE,
Optional Move 45,PLUCK,,,,STEALTH_ROCK,
Optional Move 46,U_TURN,,,,CAPTIVATE,
Optional Move 47,SUBSTITUTE,,,,ROCK_SLIDE,
Optional Move 48,,,,,SLEEP_TALK,
Optional Move 49,,,,,NATURAL_GIFT,
Optional Move 50,,,,,SWAGGER,
Optional Move 51,,,,,SUBSTITUTE,
