Trainer 459,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,COMBUSKEN,SWOOBAT,QUAGSIRE,TANGELA,WIGGLYTUFF,NONE
Level,50,50,50,50,50,
Ability,BLAZE,UNAWARE,DAMP,CHLOROPHYLL,CUTE_CHARM,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,FLAMETHROWER,FUTURE_SIGHT,EARTHQUAKE,POWER_WHIP,HYPER_VOICE,
Move 2,BULK_UP,ASSURANCE,AMNESIA,KNOCK_OFF,PLAY_ROUGH,
Move 3,BLAZE_KICK,PSYCHIC,AQUA_TAIL,ANCIENT_POWER,STOCKPILE,
Move 4,DOUBLE_KICK,AIR_SLASH,HAZE,GIGA_DRAIN,REST,
Optional Move 1,FEATHER_DANCE,GUST,WATER_GUN,ABSORB,SWEET_KISS,
Optional Move 2,SCRATCH,ATTRACT,TAIL_WHIP,BIND,DISARMING_VOICE,
Optional Move 3,GROWL,CONFUSION,RAIN_DANCE,INGRAIN,DISABLE,
Optional Move 4,EMBER,ENDEAVOR,MUD_SHOT,CONSTRICT,CHARM,
Optional Move 5,QUICK_ATTACK,ODOR_SLEUTH,MUD_SPORT,VINE_WHIP,ECHOED_VOICE,
Optional Move 6,SAND_ATTACK,HEART_STAMP,SLAM,GROWTH,COVET,
Optional Move 7,DETECT,AIR_CUTTER,MUD_BOMB,STUN_SPORE,SWALLOW,
Optional Move 8,FLAME_CHARGE,IMPRISON,YAWN,MEGA_DRAIN,SPIT_UP,
Optional Move 9,PECK,AMNESIA,MIST,POISON_POWDER,ROUND,
Optional Move 10,AERIAL_ACE,CALM_MIND,MUDDY_WATER,SLEEP_POWDER,BODY_SLAM,
Optional Move 11,BOUNCE,TOXIC,TOXIC,NATURAL_GIFT,MIMIC,
Optional Move 12,SLASH,HIDDEN_POWER,FOCUS_PUNCH,SLAM,GYRO_BALL,
Optional Move 13,FOCUS_ENERGY,TAUNT,WATER_PULSE,TICKLE,DOUBLE_EDGE,
Optional Move 14,MIRROR_MOVE,HYPER_BEAM,HAIL,WRING_OUT,SING,
Optional Move 15,REVERSAL,LIGHT_SCREEN,HIDDEN_POWER,FLAIL,POUND,
Optional Move 16,FOCUS_PUNCH,PROTECT,ICE_BEAM,CONFUSION,COPYCAT,
Optional Move 17,TOXIC,RAIN_DANCE,BLIZZARD,REFLECT,DEFENSE_CURL,
Optional Move 18,HIDDEN_POWER,GIGA_DRAIN,HYPER_BEAM,AMNESIA,DOUBLE_SLAP,
Optional Move 19,SUNNY_DAY,SAFEGUARD,PROTECT,LEECH_SEED,FOCUS_PUNCH,
Optional Move 20,PROTECT,FRUSTRATION,SAFEGUARD,NATURE_POWER,WATER_PULSE,
Optional Move 21,FRUSTRATION,RETURN,FRUSTRATION,ENDEAVOR,CALM_MIND,
Optional Move 22,RETURN,SHADOW_BALL,IRON_TAIL,LEAF_STORM,TOXIC,
Optional Move 23,DIG,DOUBLE_TEAM,RETURN,POWER_SWAP,HIDDEN_POWER,
Optional Move 24,BRICK_BREAK,REFLECT,DIG,TOXIC,SUNNY_DAY,
Optional Move 25,DOUBLE_TEAM,SHOCK_WAVE,BRICK_BREAK,BULLET_SEED,TAUNT,
Optional Move 26,FIRE_BLAST,AERIAL_ACE,DOUBLE_TEAM,HIDDEN_POWER,ICE_BEAM,
Optional Move 27,ROCK_TOMB,TORMENT,SLUDGE_BOMB,SUNNY_DAY,BLIZZARD,
Optional Move 28,FACADE,FACADE,SANDSTORM,HYPER_BEAM,HYPER_BEAM,
Optional Move 29,SECRET_POWER,SECRET_POWER,ROCK_TOMB,PROTECT,LIGHT_SCREEN,
Optional Move 30,REST,REST,FACADE,FRUSTRATION,PROTECT,
Optional Move 31,ATTRACT,THIEF,SECRET_POWER,SOLAR_BEAM,RAIN_DANCE,
Optional Move 32,THIEF,SKILL_SWAP,REST,RETURN,SAFEGUARD,
Optional Move 33,OVERHEAT,ROOST,ATTRACT,DOUBLE_TEAM,FRUSTRATION,
Optional Move 34,FOCUS_BLAST,ENERGY_BALL,THIEF,SHOCK_WAVE,SOLAR_BEAM,
Optional Move 35,FLING,ENDURE,FOCUS_BLAST,SLUDGE_BOMB,THUNDERBOLT,
Optional Move 36,ENDURE,EMBARGO,FLING,FACADE,THUNDER,
Optional Move 37,WILL_O_WISP,GIGA_IMPACT,ENDURE,SECRET_POWER,RETURN,
Optional Move 38,SHADOW_CLAW,FLASH,DRAIN_PUNCH,REST,DIG,
Optional Move 39,SWORDS_DANCE,THUNDER_WAVE,GIGA_IMPACT,ATTRACT,PSYCHIC,
Optional Move 40,CAPTIVATE,GYRO_BALL,FLASH,THIEF,SHADOW_BALL,
Optional Move 41,ROCK_SLIDE,PSYCH_UP,STONE_EDGE,ENERGY_BALL,BRICK_BREAK,
Optional Move 42,SLEEP_TALK,CAPTIVATE,AVALANCHE,ENDURE,DOUBLE_TEAM,
Optional Move 43,NATURAL_GIFT,SLEEP_TALK,STEALTH_ROCK,GIGA_IMPACT,REFLECT,
Optional Move 44,POISON_JAB,DREAM_EATER,CAPTIVATE,FLASH,SHOCK_WAVE,
Optional Move 45,SWAGGER,SWAGGER,ROCK_SLIDE,SWORDS_DANCE,FLAMETHROWER,
Optional Move 46,SUBSTITUTE,U_TURN,SLEEP_TALK,PSYCH_UP,SANDSTORM,
