Trainer 475,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NOSEPASS,CACTURNE,MILTANK,HITMONCHAN,NONE,NONE
Level,48,48,48,48,,
Ability,STURDY,SAND_VEIL,THICK_FAT,KEEN_EYE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,STONE_EDGE,ENERGY_BALL,BODY_SLAM,FOCUS_PUNCH,,
Move 2,EARTH_POWER,REVENGE,PLAY_ROUGH,MEGA_PUNCH,,
Move 3,ZAP_CANNON,SPIKY_SHIELD,ZEN_HEADBUTT,ICE_PUNCH,,
Move 4,SANDSTORM,SUCKER_PUNCH,GROWL,AGILITY,,
Optional Move 1,TACKLE,DESTINY_BOND,TACKLE,DRAIN_PUNCH,,
Optional Move 2,HARDEN,POISON_STING,DEFENSE_CURL,COMET_PUNCH,,
Optional Move 3,BLOCK,LEER,ROLLOUT,FEINT,,
Optional Move 4,ROCK_THROW,ABSORB,STOMP,VACUUM_WAVE,,
Optional Move 5,THUNDER_WAVE,GROWTH,BIDE,BULLET_PUNCH,,
Optional Move 6,REST,LEECH_SEED,MILK_DRINK,TACKLE,,
Optional Move 7,SPARK,SAND_ATTACK,HEADBUTT,HELPING_HAND,,
Optional Move 8,ROCK_SLIDE,NEEDLE_ARM,HEAL_BELL,FAKE_OUT,,
Optional Move 9,POWER_GEM,FEINT_ATTACK,CAPTIVATE,FOCUS_ENERGY,,
Optional Move 10,ROCK_BLAST,INGRAIN,GYRO_BALL,CLOSE_COMBAT,,
Optional Move 11,DISCHARGE,PAYBACK,PRESENT,COUNTER,,
Optional Move 12,LOCK_ON,SPIKES,REVERSAL,REVENGE,,
Optional Move 13,MAGNITUDE,PIN_MISSILE,SEISMIC_TOSS,PURSUIT,,
Optional Move 14,ROLLOUT,FOCUS_PUNCH,ENDURE,MACH_PUNCH,,
Optional Move 15,EXPLOSION,TOXIC,PSYCH_UP,POWER_UP_PUNCH,,
Optional Move 16,DOUBLE_EDGE,BULLET_SEED,CURSE,QUICK_GUARD,,
Optional Move 17,HEAD_SMASH,HIDDEN_POWER,HELPING_HAND,DETECT,,
Optional Move 18,TOXIC,SUNNY_DAY,SLEEP_TALK,THUNDER_PUNCH,,
Optional Move 19,HIDDEN_POWER,TAUNT,DIZZY_PUNCH,FIRE_PUNCH,,
Optional Move 20,SUNNY_DAY,HYPER_BEAM,HAMMER_ARM,SKY_UPPERCUT,,
Optional Move 21,TAUNT,PROTECT,DOUBLE_EDGE,TOXIC,,
Optional Move 22,PROTECT,RAIN_DANCE,PUNISHMENT,BULK_UP,,
Optional Move 23,FRUSTRATION,GIGA_DRAIN,FOCUS_PUNCH,HIDDEN_POWER,,
Optional Move 24,THUNDERBOLT,FRUSTRATION,WATER_PULSE,SUNNY_DAY,,
Optional Move 25,THUNDER,SOLAR_BEAM,TOXIC,TAUNT,,
Optional Move 26,EARTHQUAKE,RETURN,HIDDEN_POWER,PROTECT,,
Optional Move 27,RETURN,DIG,SUNNY_DAY,RAIN_DANCE,,
Optional Move 28,DOUBLE_TEAM,SHADOW_BALL,ICE_BEAM,FRUSTRATION,,
Optional Move 29,SHOCK_WAVE,BRICK_BREAK,BLIZZARD,EARTHQUAKE,,
Optional Move 30,ROCK_TOMB,DOUBLE_TEAM,HYPER_BEAM,RETURN,,
Optional Move 31,TORMENT,FACADE,PROTECT,BRICK_BREAK,,
Optional Move 32,FACADE,SECRET_POWER,RAIN_DANCE,DOUBLE_TEAM,,
Optional Move 33,SECRET_POWER,REST,FRUSTRATION,ROCK_TOMB,,
Optional Move 34,ATTRACT,ATTRACT,SOLAR_BEAM,FACADE,,
Optional Move 35,ENDURE,THIEF,IRON_TAIL,SECRET_POWER,,
Optional Move 36,ROCK_POLISH,FOCUS_BLAST,THUNDERBOLT,REST,,
Optional Move 37,STEALTH_ROCK,FLING,THUNDER,ATTRACT,,
Optional Move 38,CAPTIVATE,ENDURE,EARTHQUAKE,THIEF,,
Optional Move 39,SLEEP_TALK,DRAIN_PUNCH,RETURN,FOCUS_BLAST,,
Optional Move 40,NATURAL_GIFT,EMBARGO,SHADOW_BALL,FLING,,
Optional Move 41,SWAGGER,GIGA_IMPACT,BRICK_BREAK,ENDURE,,
Optional Move 42,SUBSTITUTE,FLASH,DOUBLE_TEAM,GIGA_IMPACT,,
Optional Move 43,FLASH_CANNON,SWORDS_DANCE,SHOCK_WAVE,STONE_EDGE,,
Optional Move 44,,CAPTIVATE,SANDSTORM,SWORDS_DANCE,,
Optional Move 45,,DARK_PULSE,ROCK_TOMB,CAPTIVATE,,
Optional Move 46,,SLEEP_TALK,FACADE,ROCK_SLIDE,,
Optional Move 47,,NATURAL_GIFT,SECRET_POWER,SLEEP_TALK,,
Optional Move 48,,POISON_JAB,REST,NATURAL_GIFT,,
Optional Move 49,,GRASS_KNOT,ATTRACT,POISON_JAB,,
Optional Move 50,,SWAGGER,FOCUS_BLAST,SWAGGER,,
Optional Move 51,,SUBSTITUTE,FLING,SUBSTITUTE,,
Optional Move 52,,,GIGA_IMPACT,,,
Optional Move 53,,,THUNDER_WAVE,,,
Optional Move 54,,,STEALTH_ROCK,,,
Optional Move 55,,,ROCK_SLIDE,,,
Optional Move 56,,,NATURAL_GIFT,,,
Optional Move 57,,,SWAGGER,,,
Optional Move 58,,,SUBSTITUTE,,,
