Trainer 479,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CORVISQUIRE,POIPOLE,NIDORINO,LAMPENT,NONE,NONE
Level,46,46,46,46,,
Ability,KEEN_EYE,BEAST_BOOST,POISON_POINT,FLASH_FIRE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,DRILL_PECK,POISON_JAB,FOCUS_ENERGY,SHADOW_BALL,,
Move 2,HONE_CLAWS,DRAGON_PULSE,HORN_ATTACK,HEX,,
Move 3,PLUCK,FELL_STINGER,PECK,CONFUSE_RAY,,
Move 4,PECK,NASTY_PLOT,POISON_STING,INFERNO,,
Optional Move 1,LEER,PECK,LEER,ASTONISH,,
Optional Move 2,POWER_TRIP,GROWL,FURY_ATTACK,SMOG,,
Optional Move 3,FURY_ATTACK,HELPING_HAND,DOUBLE_KICK,EMBER,,
Optional Move 4,TAUNT,ACID,TOXIC_SPIKES,MINIMIZE,,
Optional Move 5,SCARY_FACE,FURY_ATTACK,HELPING_HAND,FIRE_SPIN,,
Optional Move 6,SWAGGER,CHARM,WATER_PULSE,WILL_O_WISP,,
Optional Move 7,BRAVE_BIRD,VENOSHOCK,HIDDEN_POWER,FLAME_BURST,,
Optional Move 8,TOXIC,VENOM_DRENCH,SUNNY_DAY,NIGHT_SHADE,,
Optional Move 9,HIDDEN_POWER,HIDDEN_POWER,ICE_BEAM,IMPRISON,,
Optional Move 10,SUNNY_DAY,PROTECT,BLIZZARD,CURSE,,
Optional Move 11,PROTECT,FRUSTRATION,PROTECT,CALM_MIND,,
Optional Move 12,FRUSTRATION,IRON_TAIL,RAIN_DANCE,TOXIC,,
Optional Move 13,RETURN,RETURN,FRUSTRATION,HIDDEN_POWER,,
Optional Move 14,DOUBLE_TEAM,SLUDGE_BOMB,IRON_TAIL,SUNNY_DAY,,
Optional Move 15,AERIAL_ACE,FACADE,THUNDERBOLT,TAUNT,,
Optional Move 16,FACADE,SECRET_POWER,THUNDER,PROTECT,,
Optional Move 17,SECRET_POWER,REST,RETURN,RAIN_DANCE,,
Optional Move 18,REST,SNATCH,DIG,SAFEGUARD,,
Optional Move 19,ATTRACT,ENDURE,DOUBLE_TEAM,FRUSTRATION,,
Optional Move 20,THIEF,SLEEP_TALK,SHOCK_WAVE,SOLAR_BEAM,,
Optional Move 21,ROOST,SUBSTITUTE,SLUDGE_BOMB,RETURN,,
Optional Move 22,ENDURE,,FACADE,PSYCHIC,,
Optional Move 23,PAYBACK,,SECRET_POWER,DOUBLE_TEAM,,
Optional Move 24,SLEEP_TALK,,REST,SHOCK_WAVE,,
Optional Move 25,U_TURN,,ATTRACT,FLAMETHROWER,,
Optional Move 26,SUBSTITUTE,,THIEF,FIRE_BLAST,,
Optional Move 27,,,ENDURE,FACADE,,
Optional Move 28,,,SHADOW_CLAW,SECRET_POWER,,
Optional Move 29,,,SLEEP_TALK,REST,,
Optional Move 30,,,NATURAL_GIFT,ATTRACT,,
Optional Move 31,,,SWAGGER,THIEF,,
Optional Move 32,,,SUBSTITUTE,ENERGY_BALL,,
Optional Move 33,,,,ENDURE,,
Optional Move 34,,,,EMBARGO,,
Optional Move 35,,,,PAYBACK,,
Optional Move 36,,,,FLASH,,
Optional Move 37,,,,PSYCH_UP,,
Optional Move 38,,,,CAPTIVATE,,
Optional Move 39,,,,DARK_PULSE,,
Optional Move 40,,,,SLEEP_TALK,,
Optional Move 41,,,,DREAM_EATER,,
Optional Move 42,,,,SWAGGER,,
Optional Move 43,,,,SUBSTITUTE,,
Optional Move 44,,,,TRICK_ROOM,,
