Trainer 48,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,COTTONEE,PARAS,RELLOR,NONE,NONE,NONE
Level,8,8,8,,,
Ability,PRANKSTER,EFFECT_SPORE,COMPOUND_EYES,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FAIRY_WIND,STUN_SPORE,STRUGGLE_BUG,,,
Move 2,HELPING_HAND,SCRATCH,TACKLE,,,
Move 3,STUN_SPORE,POISON_POWDER,DEFENSE_CURL,,,
Move 4,ABSORB,SCRATCH,SAND_ATTACK,,,
Optional Move 1,BEAT_UP,FALSE_SWIPE,TOXIC,,,
Optional Move 2,ENCORE,SCREECH,HIDDEN_POWER,,,
Optional Move 3,FAKE_TEARS,COUNTER,PROTECT,,,
Optional Move 4,GRASS_WHISTLE,PSYBEAM,FRUSTRATION,,,
Optional Move 5,MEMENTO,FLAIL,RETURN,,,
Optional Move 6,NATURAL_GIFT,SWEET_SCENT,DOUBLE_TEAM,,,
Optional Move 7,SWITCHEROO,LIGHT_SCREEN,SLUDGE_BOMB,,,
Optional Move 8,TICKLE,PURSUIT,ROCK_TOMB,,,
Optional Move 9,WORRY_SEED,METAL_CLAW,FACADE,,,
Optional Move 10,TOXIC,BUG_BITE,SECRET_POWER,,,
Optional Move 11,HIDDEN_POWER,CROSS_POISON,REST,,,
Optional Move 12,TAUNT,AGILITY,ATTRACT,,,
Optional Move 13,PROTECT,TOXIC,THIEF,,,
Optional Move 14,SAFEGUARD,BULLET_SEED,FLING,,,
Optional Move 15,FRUSTRATION,HIDDEN_POWER,ENDURE,,,
Optional Move 16,RETURN,SUNNY_DAY,X_SCISSOR,,,
Optional Move 17,DOUBLE_TEAM,PROTECT,SLEEP_TALK,,,
Optional Move 18,FACADE,FRUSTRATION,SUBSTITUTE,,,
Optional Move 19,SECRET_POWER,SOLAR_BEAM,,,,
Optional Move 20,REST,RETURN,,,,
Optional Move 21,ATTRACT,DIG,,,,
Optional Move 22,ENDURE,BRICK_BREAK,,,,
Optional Move 23,FLASH,DOUBLE_TEAM,,,,
Optional Move 24,CAPTIVATE,SLUDGE_BOMB,,,,
Optional Move 25,SLEEP_TALK,AERIAL_ACE,,,,
Optional Move 26,DREAM_EATER,FACADE,,,,
Optional Move 27,GRASS_KNOT,SECRET_POWER,,,,
Optional Move 28,SWAGGER,REST,,,,
Optional Move 29,SUBSTITUTE,ATTRACT,,,,
Optional Move 30,,THIEF,,,,
Optional Move 31,,ENERGY_BALL,,,,
Optional Move 32,,ENDURE,,,,
Optional Move 33,,FLASH,,,,
Optional Move 34,,SWORDS_DANCE,,,,
Optional Move 35,,CAPTIVATE,,,,
Optional Move 36,,SLEEP_TALK,,,,
Optional Move 37,,NATURAL_GIFT,,,,
Optional Move 38,,GRASS_KNOT,,,,
Optional Move 39,,SWAGGER,,,,
Optional Move 40,,SUBSTITUTE,,,,
