Trainer 491,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NOSEPASS,WIGGLYTUFF,FLETCHINDER,ROSELIA,MACHOKE,EELEKTRIK
Level,49,49,49,49,49,49
Ability,STURDY,CUTE_CHARM,FLAME_BODY,NATURAL_CURE,GUTS,LEVITATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,STONE_EDGE,HYPER_VOICE,AGILITY,PETAL_BLIZZARD,STRENGTH,THUNDERBOLT
Move 2,EARTH_POWER,PLAY_ROUGH,AERIAL_ACE,GIGA_DRAIN,KNOCK_OFF,CRUNCH
Move 3,ZAP_CANNON,BODY_SLAM,ACROBATICS,MAGICAL_LEAF,LOW_SWEEP,THUNDER_WAVE
Move 4,SANDSTORM,REST,FLAME_CHARGE,POISON_STING,VITAL_THROW,DISCHARGE
Optional Move 1,TACKLE,SWEET_KISS,EMBER,ABSORB,LOW_KICK,HEADBUTT
Optional Move 2,HARDEN,DISARMING_VOICE,FEINT,GROWTH,LEER,SPARK
Optional Move 3,BLOCK,DISABLE,PECK,STUN_SPORE,FOCUS_ENERGY,CHARGE_BEAM
Optional Move 4,ROCK_THROW,CHARM,GROWL,WORRY_SEED,REVENGE,BIND
Optional Move 5,THUNDER_WAVE,ECHOED_VOICE,QUICK_ATTACK,MEGA_DRAIN,KARATE_CHOP,ACID
Optional Move 6,REST,COVET,TACKLE,LEECH_SEED,FORESIGHT,ACID_SPRAY
Optional Move 7,SPARK,STOCKPILE,FLAIL,GRASS_WHISTLE,WAKE_UP_SLAP,TOXIC
Optional Move 8,ROCK_SLIDE,SWALLOW,RAZOR_WIND,TOXIC_SPIKES,SEISMIC_TOSS,HIDDEN_POWER
Optional Move 9,POWER_GEM,SPIT_UP,NATURAL_GIFT,SWEET_SCENT,DUAL_CHOP,LIGHT_SCREEN
Optional Move 10,ROCK_BLAST,ROUND,ROOST,SYNTHESIS,SCARY_FACE,PROTECT
Optional Move 11,DISCHARGE,MIMIC,TAILWIND,TOXIC,SUBMISSION,RAIN_DANCE
Optional Move 12,LOCK_ON,GYRO_BALL,ME_FIRST,INGRAIN,BULK_UP,GIGA_DRAIN
Optional Move 13,MAGNITUDE,DOUBLE_EDGE,TOXIC,AROMATHERAPY,FOCUS_PUNCH,FRUSTRATION
