Trainer 494,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SHIINOTIC,SUNFLORA,LINOONE,DUGTRIO,MAROWAK,SWOOBAT
Level,49,49,49,49,49,49
Ability,ILLUMINATE,CHLOROPHYLL,PICKUP,SAND_VEIL,CURSED_BODY,UNAWARE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,GIGA_DRAIN,PETAL_DANCE,PLAY_ROUGH,EARTHQUAKE,SHADOW_BONE,FUTURE_SIGHT
Move 2,MOONBLAST,GIGA_DRAIN,SLASH,TRI_ATTACK,THRASH,ASSURANCE
Move 3,INGRAIN,RAZOR_LEAF,HEADBUTT,EARTH_POWER,STOMPING_TANTRUM,PSYCHIC
Move 4,DAZZLING_GLEAM,SUNNY_DAY,REST,SANDSTORM,FLAME_WHEEL,AIR_SLASH
Optional Move 1,ABSORB,FLOWER_SHIELD,SWITCHEROO,SAND_TOMB,MUD_SLAP,GUST
Optional Move 2,ASTONISH,ABSORB,PIN_MISSILE,NIGHT_SLASH,GROWL,ATTRACT
Optional Move 3,CONFUSE_RAY,POUND,BABY_DOLL_EYES,SAND_ATTACK,TAIL_WHIP,CONFUSION
Optional Move 4,FLASH,GROWTH,TACKLE,SCRATCH,FALSE_SWIPE,ENDEAVOR
Optional Move 5,MEGA_DRAIN,INGRAIN,GROWL,GROWL,BONE_CLUB,ODOR_SLEUTH
Optional Move 6,MOONLIGHT,GRASS_WHISTLE,SAND_ATTACK,ASTONISH,HEADBUTT,HEART_STAMP
Optional Move 7,SLEEP_POWDER,MEGA_DRAIN,TAIL_WHIP,ROTOTILLER,LEER,AIR_CUTTER
Optional Move 8,STRENGTH_SAP,LEECH_SEED,ROTOTILLER,MUD_SLAP,RAGE,IMPRISON
Optional Move 9,SPORE,WORRY_SEED,ODOR_SLEUTH,MAGNITUDE,FLING,AMNESIA
Optional Move 10,TOXIC,BULLET_SEED,HONE_CLAWS,BULLDOZE,FOCUS_ENERGY,CALM_MIND
Optional Move 11,HIDDEN_POWER,NATURAL_GIFT,COVET,SUCKER_PUNCH,BONEMERANG,TOXIC
Optional Move 12,SUNNY_DAY,SOLAR_BEAM,MUD_SPORT,MUD_BOMB,RETALIATE,HIDDEN_POWER
Optional Move 13,HYPER_BEAM,DOUBLE_EDGE,FURY_SWIPES,SLASH,ENDEAVOR,TAUNT
Optional Move 14,LIGHT_SCREEN,LEAF_STORM,BESTOW,DIG,BONE_RUSH,HYPER_BEAM
Optional Move 15,PROTECT,TOXIC,TAKE_DOWN,TOXIC,FOCUS_PUNCH,LIGHT_SCREEN
Optional Move 16,RAIN_DANCE,HIDDEN_POWER,FLAIL,HIDDEN_POWER,TOXIC,PROTECT
Optional Move 17,SAFEGUARD,HYPER_BEAM,FLING,SUNNY_DAY,HIDDEN_POWER,RAIN_DANCE
Optional Move 18,FRUSTRATION,LIGHT_SCREEN,DOUBLE_EDGE,HYPER_BEAM,SUNNY_DAY,GIGA_DRAIN
Optional Move 19,SOLAR_BEAM,PROTECT,BELLY_DRUM,PROTECT,ICE_BEAM,SAFEGUARD
Optional Move 20,RETURN,SAFEGUARD,WATER_PULSE,FRUSTRATION,BLIZZARD,FRUSTRATION
Optional Move 21,DOUBLE_TEAM,FRUSTRATION,ROAR,RETURN,HYPER_BEAM,RETURN
Optional Move 22,FACADE,RETURN,TOXIC,DOUBLE_TEAM,PROTECT,SHADOW_BALL
Optional Move 23,SECRET_POWER,DOUBLE_TEAM,HIDDEN_POWER,SLUDGE_BOMB,FRUSTRATION,DOUBLE_TEAM
Optional Move 24,REST,SLUDGE_BOMB,SUNNY_DAY,ROCK_TOMB,IRON_TAIL,REFLECT
Optional Move 25,ATTRACT,FACADE,ICE_BEAM,FACADE,EARTHQUAKE,SHOCK_WAVE
Optional Move 26,ENERGY_BALL,SECRET_POWER,BLIZZARD,SECRET_POWER,RETURN,AERIAL_ACE
Optional Move 27,CHARGE_BEAM,REST,HYPER_BEAM,REST,DIG,TORMENT
Optional Move 28,ENDURE,ATTRACT,PROTECT,ATTRACT,BRICK_BREAK,FACADE
Optional Move 29,DRAIN_PUNCH,ENERGY_BALL,RAIN_DANCE,THIEF,DOUBLE_TEAM,SECRET_POWER
Optional Move 30,RECYCLE,ENDURE,FRUSTRATION,ENDURE,FLAMETHROWER,REST
Optional Move 31,GIGA_IMPACT,GIGA_IMPACT,IRON_TAIL,SHADOW_CLAW,SANDSTORM,THIEF
Optional Move 32,THUNDER_WAVE,FLASH,THUNDERBOLT,GIGA_IMPACT,FIRE_BLAST,SKILL_SWAP
Optional Move 33,SLEEP_TALK,SWORDS_DANCE,THUNDER,STONE_EDGE,ROCK_TOMB,ROOST
Optional Move 34,GRASS_KNOT,CAPTIVATE,RETURN,SWORDS_DANCE,AERIAL_ACE,ENERGY_BALL
Optional Move 35,SWAGGER,SLEEP_TALK,DIG,STEALTH_ROCK,FACADE,ENDURE
Optional Move 36,SUBSTITUTE,GRASS_KNOT,SHADOW_BALL,CAPTIVATE,SECRET_POWER,EMBARGO
