Trainer 495,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CARKOL,GRANBULL,SUDOWOODO,AROMATISSE,EMOLGA,SNEASEL
Level,50,50,50,50,50,50
Ability,STEAM_ENGINE,INTIMIDATE,STURDY,HEALER,STATIC,INNER_FOCUS
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,INCINERATE,OUTRAGE,STONE_EDGE,MOONBLAST,DISCHARGE,POISON_JAB
Move 2,ANCIENT_POWER,CHARM,COPYCAT,PSYCHIC,VOLT_SWITCH,BRICK_BREAK
Move 3,SMACK_DOWN,FIRE_FANG,WOOD_HAMMER,DRAINING_KISS,SPARK,SLASH
Move 4,ROCK_POLISH,PLAY_ROUGH,ROCK_SLIDE,CALM_MIND,ACROBATICS,HONE_CLAWS
Optional Move 1,FLAME_CHARGE,ICE_FANG,SLAM,AROMATIC_MIST,NUZZLE,LEER
Optional Move 2,TACKLE,THUNDER_FANG,HAMMER_ARM,HEAL_PULSE,TAIL_WHIP,SCRATCH
Optional Move 3,SMOKESCREEN,TACKLE,FAKE_TEARS,FAIRY_WIND,THUNDER_SHOCK,TAUNT
Optional Move 4,RAPID_SPIN,SCARY_FACE,FLAIL,SWEET_SCENT,QUICK_ATTACK,QUICK_ATTACK
Optional Move 5,STEALTH_ROCK,TAIL_WHIP,ROCK_THROW,SWEET_KISS,DOUBLE_TEAM,METAL_CLAW
Optional Move 6,HEAT_CRASH,BITE,LOW_KICK,ECHOED_VOICE,CHARGE,ICY_WIND
Optional Move 7,ROCK_BLAST,LICK,MIMIC,ODOR_SLEUTH,PURSUIT,FURY_SWIPES
Optional Move 8,TOXIC,HEADBUTT,BLOCK,AROMATHERAPY,SHOCK_WAVE,BEAT_UP
Optional Move 9,HIDDEN_POWER,ROAR,FEINT_ATTACK,ATTRACT,ELECTRO_BALL,AGILITY
Optional Move 10,SUNNY_DAY,RAGE,ROCK_TOMB,FLAIL,ENCORE,COUNTER
Optional Move 11,PROTECT,FOCUS_PUNCH,TEARFUL_LOOK,DISARMING_VOICE,LIGHT_SCREEN,SPITE
Optional Move 12,FRUSTRATION,WATER_PULSE,SUCKER_PUNCH,MISTY_TERRAIN,AGILITY,FORESIGHT
Optional Move 13,RETURN,TOXIC,COUNTER,CHARM,AIR_SLASH,REFLECT
Optional Move 14,DIG,BULK_UP,DOUBLE_EDGE,SKILL_SWAP,ASTONISH,BITE
Optional Move 15,DOUBLE_TEAM,HIDDEN_POWER,HEAD_SMASH,TOXIC,BATON_PASS,CRUSH_CLAW
Optional Move 16,REFLECT,SUNNY_DAY,SELF_DESTRUCT,HIDDEN_POWER,CHARM,FAKE_OUT
Optional Move 17,FLAMETHROWER,TAUNT,HEADBUTT,SUNNY_DAY,COVET,DOUBLE_HIT
Optional Move 18,SANDSTORM,HYPER_BEAM,HARDEN,HYPER_BEAM,IRON_TAIL,PUNISHMENT
Optional Move 19,FIRE_BLAST,PROTECT,DEFENSE_CURL,LIGHT_SCREEN,ROOST,PURSUIT
Optional Move 20,ROCK_TOMB,RAIN_DANCE,ROLLOUT,PROTECT,TICKLE,ICE_SHARD
Optional Move 21,FACADE,FRUSTRATION,SAND_TOMB,RAIN_DANCE,TOXIC,ICE_PUNCH
Optional Move 22,SECRET_POWER,SOLAR_BEAM,FOCUS_PUNCH,FRUSTRATION,HIDDEN_POWER,ASSIST
Optional Move 23,REST,IRON_TAIL,CALM_MIND,THUNDERBOLT,TAUNT,FOCUS_PUNCH
Optional Move 24,ATTRACT,THUNDERBOLT,TOXIC,THUNDER,PROTECT,WATER_PULSE
Optional Move 25,OVERHEAT,THUNDER,HIDDEN_POWER,RETURN,RAIN_DANCE,CALM_MIND
Optional Move 26,ENDURE,EARTHQUAKE,SUNNY_DAY,DOUBLE_TEAM,FRUSTRATION,TOXIC
Optional Move 27,WILL_O_WISP,RETURN,TAUNT,TORMENT,SOLAR_BEAM,HAIL
Optional Move 28,STONE_EDGE,DIG,HYPER_BEAM,FACADE,THUNDERBOLT,HIDDEN_POWER
Optional Move 29,GYRO_BALL,SHADOW_BALL,PROTECT,SECRET_POWER,THUNDER,SUNNY_DAY
Optional Move 30,ROCK_SLIDE,BRICK_BREAK,FRUSTRATION,REST,RETURN,ICE_BEAM
Optional Move 31,SLEEP_TALK,DOUBLE_TEAM,EARTHQUAKE,ENERGY_BALL,AERIAL_ACE,BLIZZARD
Optional Move 32,SUBSTITUTE,REFLECT,RETURN,CHARGE_BEAM,FACADE,PROTECT
Optional Move 33,,SHOCK_WAVE,DIG,ENDURE,SECRET_POWER,RAIN_DANCE
Optional Move 34,,FLAMETHROWER,BRICK_BREAK,DRAIN_PUNCH,REST,FRUSTRATION
Optional Move 35,,SLUDGE_BOMB,DOUBLE_TEAM,GIGA_IMPACT,ATTRACT,IRON_TAIL
Optional Move 36,,FIRE_BLAST,SANDSTORM,FLASH,ENERGY_BALL,RETURN
