Trainer 50,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SEEDOT,LEDYBA,SPEWPA,NONE,NONE,NONE
Level,8,8,8,,,
Ability,CHLOROPHYLL,SWARM,SHED_SKIN,,,
Held Item,NONE,NONE,NONE,,,
Move 1,HARDEN,SUPERSONIC,HARDEN,,,
Move 2,TACKLE,SWIFT,PROTECT,,,
Move 3,ASTONISH,TACKLE,HARDEN,,,
Move 4,ABSORB,SWIFT,HARDEN,,,
Optional Move 1,BIDE,PSYBEAM,,,,
Optional Move 2,LEECH_SEED,BIDE,,,,
Optional Move 3,AMNESIA,SCREECH,,,,
Optional Move 4,QUICK_ATTACK,ENCORE,,,,
Optional Move 5,RAZOR_WIND,KNOCK_OFF,,,,
Optional Move 6,TAKE_DOWN,BUG_BITE,,,,
Optional Move 7,FALSE_SWIPE,FOCUS_PUNCH,,,,
Optional Move 8,WORRY_SEED,TOXIC,,,,
Optional Move 9,NASTY_PLOT,HIDDEN_POWER,,,,
Optional Move 10,POWER_SWAP,SUNNY_DAY,,,,
Optional Move 11,TOXIC,PROTECT,,,,
Optional Move 12,BULLET_SEED,GIGA_DRAIN,,,,
Optional Move 13,HIDDEN_POWER,FRUSTRATION,,,,
Optional Move 14,PROTECT,SOLAR_BEAM,,,,
Optional Move 15,GIGA_DRAIN,RETURN,,,,
Optional Move 16,FRUSTRATION,DIG,,,,
Optional Move 17,SOLAR_BEAM,BRICK_BREAK,,,,
Optional Move 18,RETURN,DOUBLE_TEAM,,,,
Optional Move 19,DIG,AERIAL_ACE,,,,
Optional Move 20,SHADOW_BALL,FACADE,,,,
Optional Move 21,DOUBLE_TEAM,SECRET_POWER,,,,
Optional Move 22,FACADE,REST,,,,
Optional Move 23,SECRET_POWER,ATTRACT,,,,
Optional Move 24,REST,THIEF,,,,
Optional Move 25,ATTRACT,ROOST,,,,
Optional Move 26,ENERGY_BALL,FLING,,,,
Optional Move 27,ENDURE,ENDURE,,,,
Optional Move 28,FLASH,DRAIN_PUNCH,,,,
Optional Move 29,CAPTIVATE,FLASH,,,,
Optional Move 30,SLEEP_TALK,SWORDS_DANCE,,,,
Optional Move 31,NATURAL_GIFT,CAPTIVATE,,,,
Optional Move 32,GRASS_KNOT,SLEEP_TALK,,,,
Optional Move 33,SWAGGER,NATURAL_GIFT,,,,
Optional Move 34,SUBSTITUTE,SWAGGER,,,,
Optional Move 35,,U_TURN,,,,
Optional Move 36,,SUBSTITUTE,,,,
