Trainer 502,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TORKOAL,CHERRIM,HITMONLEE,SLIGGOO,GIRAFARIG,MASQUERAIN
Level,51,51,51,51,51,51
Ability,WHITE_SMOKE,FLOWER_GIFT,LIMBER,SAP_SIPPER,INNER_FOCUS,INTIMIDATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,HEAT_WAVE,PETAL_DANCE,HIGH_JUMP_KICK,DRAGON_PULSE,PSYCHIC,BUG_BUZZ
Move 2,BODY_SLAM,PETAL_BLIZZARD,MEGA_KICK,ACID_ARMOR,CRUNCH,AIR_SLASH
Move 3,FLAMETHROWER,MAGICAL_LEAF,FOCUS_ENERGY,WATER_PULSE,ZEN_HEADBUTT,QUIVER_DANCE
Move 4,IRON_DEFENSE,SUNNY_DAY,WIDE_GUARD,IRON_HEAD,STOMP,WATER_SPORT
Optional Move 1,SMOG,FLOWER_SHIELD,BRICK_BREAK,ACID_SPRAY,POWER_SWAP,WHIRLWIND
Optional Move 2,EMBER,MORNING_SUN,DOUBLE_KICK,ABSORB,GUARD_SWAP,OMINOUS_WIND
Optional Move 3,WITHDRAW,TACKLE,FEINT,TACKLE,ASTONISH,BUBBLE
Optional Move 4,RAPID_SPIN,LEAFAGE,LOW_SWEEP,WATER_GUN,TACKLE,QUICK_ATTACK
Optional Move 5,SMOKESCREEN,GROWTH,TACKLE,DRAGON_BREATH,GROWL,SWEET_SCENT
Optional Move 6,FIRE_SPIN,LEECH_SEED,HELPING_HAND,BUBBLE,CONFUSION,GUST
Optional Move 7,CLEAR_SMOG,HELPING_HAND,FAKE_OUT,PROTECT,ODOR_SLEUTH,SCARY_FACE
Optional Move 8,FLAME_WHEEL,TAKE_DOWN,REVERSAL,BIDE,ASSURANCE,AIR_CUTTER
Optional Move 9,PROTECT,WORRY_SEED,CLOSE_COMBAT,FLAIL,PSYBEAM,STUN_SPORE
Optional Move 10,LAVA_PLUME,LUCKY_CHANT,REVENGE,RAIN_DANCE,AGILITY,SILVER_WIND
Optional Move 11,CURSE,SOLAR_BEAM,MEDITATE,BODY_SLAM,DOUBLE_HIT,WATER_PULSE
Optional Move 12,FLAIL,TOXIC,ROLLING_KICK,CURSE,BATON_PASS,TOXIC
Optional Move 13,AMNESIA,BULLET_SEED,JUMP_KICK,MUDDY_WATER,NASTY_PLOT,HIDDEN_POWER
Optional Move 14,ENDURE,HIDDEN_POWER,LOW_KICK,TOXIC,TAKE_DOWN,SUNNY_DAY
Optional Move 15,SLEEP_TALK,HYPER_BEAM,ENDURE,HIDDEN_POWER,AMNESIA,ICE_BEAM
Optional Move 16,YAWN,PROTECT,MIND_READER,SUNNY_DAY,FORESIGHT,BLIZZARD
Optional Move 17,EARTHQUAKE,GIGA_DRAIN,BLAZE_KICK,ICE_BEAM,FUTURE_SIGHT,HYPER_BEAM
Optional Move 18,FISSURE,SAFEGUARD,FORESIGHT,BLIZZARD,BEAT_UP,PROTECT
Optional Move 19,SKULL_BASH,FRUSTRATION,FOCUS_PUNCH,FRUSTRATION,PSYCH_UP,RAIN_DANCE
Optional Move 20,TOXIC,RETURN,TOXIC,IRON_TAIL,WISH,GIGA_DRAIN
Optional Move 21,HIDDEN_POWER,DOUBLE_TEAM,BULK_UP,THUNDERBOLT,MAGIC_COAT,FRUSTRATION
Optional Move 22,SUNNY_DAY,FACADE,HIDDEN_POWER,THUNDER,DOUBLE_KICK,SOLAR_BEAM
Optional Move 23,HYPER_BEAM,SECRET_POWER,SUNNY_DAY,RETURN,MIRROR_COAT,RETURN
Optional Move 24,FRUSTRATION,REST,TAUNT,DOUBLE_TEAM,RAZOR_WIND,SHADOW_BALL
Optional Move 25,SOLAR_BEAM,ATTRACT,PROTECT,SHOCK_WAVE,CALM_MIND,DOUBLE_TEAM
Optional Move 26,IRON_TAIL,ENERGY_BALL,RAIN_DANCE,SLUDGE_BOMB,TOXIC,AERIAL_ACE
Optional Move 27,RETURN,ENDURE,FRUSTRATION,FACADE,HIDDEN_POWER,FACADE
Optional Move 28,DOUBLE_TEAM,GIGA_IMPACT,EARTHQUAKE,SECRET_POWER,SUNNY_DAY,SECRET_POWER
Optional Move 29,SLUDGE_BOMB,FLASH,RETURN,REST,HYPER_BEAM,REST
Optional Move 30,SANDSTORM,SWORDS_DANCE,DOUBLE_TEAM,ATTRACT,LIGHT_SCREEN,ATTRACT
Optional Move 31,FIRE_BLAST,CAPTIVATE,ROCK_TOMB,ENDURE,PROTECT,THIEF
Optional Move 32,ROCK_TOMB,SLEEP_TALK,FACADE,ROCK_SLIDE,RAIN_DANCE,ROOST
Optional Move 33,FACADE,NATURAL_GIFT,SECRET_POWER,SLEEP_TALK,FRUSTRATION,ENERGY_BALL
Optional Move 34,SECRET_POWER,GRASS_KNOT,REST,SWAGGER,IRON_TAIL,ENDURE
Optional Move 35,REST,SWAGGER,ATTRACT,SUBSTITUTE,THUNDERBOLT,GIGA_IMPACT
Optional Move 36,ATTRACT,SUBSTITUTE,THIEF,,THUNDER,FLASH
Optional Move 37,OVERHEAT,,FOCUS_BLAST,,EARTHQUAKE,PSYCH_UP
Optional Move 38,WILL_O_WISP,,FLING,,RETURN,CAPTIVATE
Optional Move 39,EXPLOSION,,GIGA_IMPACT,,SHADOW_BALL,SLEEP_TALK
Optional Move 40,GIGA_IMPACT,,STONE_EDGE,,DOUBLE_TEAM,NATURAL_GIFT
Optional Move 41,STONE_EDGE,,SWORDS_DANCE,,REFLECT,SWAGGER
Optional Move 42,GYRO_BALL,,CAPTIVATE,,SHOCK_WAVE,U_TURN
Optional Move 43,STEALTH_ROCK,,ROCK_SLIDE,,FACADE,SUBSTITUTE
Optional Move 44,CAPTIVATE,,SLEEP_TALK,,SECRET_POWER,
Optional Move 45,ROCK_SLIDE,,NATURAL_GIFT,,REST,
Optional Move 46,NATURAL_GIFT,,POISON_JAB,,ATTRACT,
Optional Move 47,SWAGGER,,SWAGGER,,THIEF,
Optional Move 48,SUBSTITUTE,,SUBSTITUTE,,SKILL_SWAP,
Optional Move 49,,,,,ENERGY_BALL,
Optional Move 50,,,,,CHARGE_BEAM,
Optional Move 51,,,,,ENDURE,
Optional Move 52,,,,,RECYCLE,
Optional Move 53,,,,,GIGA_IMPACT,
Optional Move 54,,,,,FLASH,
Optional Move 55,,,,,THUNDER_WAVE,
Optional Move 56,,,,,CAPTIVATE,
Optional Move 57,,,,,SLEEP_TALK,
Optional Move 58,,,,,NATURAL_GIFT,
Optional Move 59,,,,,DREAM_EATER,
Optional Move 60,,,,,GRASS_KNOT,
Optional Move 61,,,,,SWAGGER,
Optional Move 62,,,,,SUBSTITUTE,
Optional Move 63,,,,,TRICK_ROOM,
