Trainer 513,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,WOBBUFFET,GOTHITELLE,ESPEON,REUNICLUS,SIGILYPH,NONE
Level,50,50,50,50,50,
Ability,SHADOW_TAG,FRISK,SYNCHRONIZE,OVERCOAT,WONDER_SKIN,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,AMNESIA,FUTURE_SIGHT,FUTURE_SIGHT,FUTURE_SIGHT,SYNCHRONOISE,
Move 2,CHARM,HEAL_BLOCK,LAST_RESORT,REFLECT,COSMIC_POWER,
Move 3,ENCORE,FEINT_ATTACK,COVET,HAMMER_ARM,PSYCHIC,
Move 4,MIRROR_COAT,PSYCHIC,BITE,PSYCHIC,AIR_SLASH,
Optional Move 1,DESTINY_BOND,POUND,CONFUSION,DIZZY_PUNCH,GUST,
Optional Move 2,SAFEGUARD,CONFUSION,COPYCAT,PROTECT,CONFUSION,
Optional Move 3,COUNTER,PLAY_NICE,BATON_PASS,CONFUSION,MIRACLE_EYE,
Optional Move 4,SPLASH,TICKLE,TAKE_DOWN,RECOVER,HYPNOSIS,
Optional Move 5,,PSYBEAM,CHARM,ENDEAVOR,PSYWAVE,
Optional Move 6,,DOUBLE_SLAP,DOUBLE_EDGE,PSYWAVE,AIR_CUTTER,
Optional Move 7,,FAKE_TEARS,HELPING_HAND,ROLLOUT,PSYBEAM,
Optional Move 8,,EMBARGO,TACKLE,SNATCH,WHIRLWIND,
Optional Move 9,,PSYSHOCK,GROWL,PSYBEAM,GRAVITY,
Optional Move 10,,HYPNOSIS,TAIL_WHIP,HIDDEN_POWER,TAILWIND,
Optional Move 11,,CHARM,SAND_ATTACK,CHARM,MIRROR_MOVE,
Optional Move 12,,PSYCH_UP,QUICK_ATTACK,LIGHT_SCREEN,LIGHT_SCREEN,
Optional Move 13,,FLATTER,BABY_DOLL_EYES,PSYSHOCK,REFLECT,
Optional Move 14,,TELEKINESIS,SWIFT,ALLY_SWITCH,ANCIENT_POWER,
Optional Move 15,,CALM_MIND,PSYBEAM,PAIN_SPLIT,PSYCHO_SHIFT,
Optional Move 16,,TOXIC,MORNING_SUN,SKILL_SWAP,ROOST,
