Trainer 519,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HITMONLEE,HITMONCHAN,HITMONTOP,NONE,NONE,NONE
Level,60,60,60,,,
Ability,LIMBER,KEEN_EYE,INTIMIDATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,HIGH_JUMP_KICK,FOCUS_PUNCH,SUCKER_PUNCH,,,
Move 2,MEGA_KICK,MEGA_PUNCH,REVENGE,,,
Move 3,FOCUS_ENERGY,AGILITY,ROLLING_KICK,,,
Move 4,WIDE_GUARD,ICE_PUNCH,FOCUS_ENERGY,,,
Optional Move 1,BRICK_BREAK,DRAIN_PUNCH,TRIPLE_KICK,,,
Optional Move 2,DOUBLE_KICK,COMET_PUNCH,FEINT,,,
Optional Move 3,FEINT,FEINT,RAPID_SPIN,,,
Optional Move 4,LOW_SWEEP,VACUUM_WAVE,TACKLE,,,
Optional Move 5,TACKLE,BULLET_PUNCH,HELPING_HAND,,,
Optional Move 6,HELPING_HAND,TACKLE,FAKE_OUT,,,
Optional Move 7,FAKE_OUT,HELPING_HAND,ENDEAVOR,,,
Optional Move 8,REVERSAL,FAKE_OUT,CLOSE_COMBAT,,,
Optional Move 9,CLOSE_COMBAT,FOCUS_ENERGY,DETECT,,,
Optional Move 10,REVENGE,CLOSE_COMBAT,PURSUIT,,,
Optional Move 11,MEDITATE,COUNTER,QUICK_ATTACK,,,
Optional Move 12,ROLLING_KICK,REVENGE,GYRO_BALL,,,
Optional Move 13,JUMP_KICK,PURSUIT,WIDE_GUARD,,,
Optional Move 14,LOW_KICK,MACH_PUNCH,QUICK_GUARD,,,
Optional Move 15,ENDURE,POWER_UP_PUNCH,AGILITY,,,
Optional Move 16,MIND_READER,QUICK_GUARD,DIG,,,
Optional Move 17,BLAZE_KICK,DETECT,COUNTER,,,
Optional Move 18,FORESIGHT,THUNDER_PUNCH,TOXIC,,,
Optional Move 19,FOCUS_PUNCH,FIRE_PUNCH,BULK_UP,,,
Optional Move 20,TOXIC,SKY_UPPERCUT,HIDDEN_POWER,,,
Optional Move 21,BULK_UP,TOXIC,SUNNY_DAY,,,
Optional Move 22,HIDDEN_POWER,BULK_UP,PROTECT,,,
Optional Move 23,SUNNY_DAY,HIDDEN_POWER,RAIN_DANCE,,,
Optional Move 24,TAUNT,SUNNY_DAY,FRUSTRATION,,,
Optional Move 25,PROTECT,TAUNT,EARTHQUAKE,,,
Optional Move 26,RAIN_DANCE,PROTECT,RETURN,,,
Optional Move 27,FRUSTRATION,RAIN_DANCE,BRICK_BREAK,,,
Optional Move 28,EARTHQUAKE,FRUSTRATION,DOUBLE_TEAM,,,
Optional Move 29,RETURN,EARTHQUAKE,SANDSTORM,,,
Optional Move 30,DOUBLE_TEAM,RETURN,AERIAL_ACE,,,
Optional Move 31,ROCK_TOMB,BRICK_BREAK,FACADE,,,
Optional Move 32,FACADE,DOUBLE_TEAM,SECRET_POWER,,,
Optional Move 33,SECRET_POWER,ROCK_TOMB,REST,,,
Optional Move 34,REST,FACADE,ATTRACT,,,
Optional Move 35,ATTRACT,SECRET_POWER,THIEF,,,
Optional Move 36,THIEF,REST,FOCUS_BLAST,,,
Optional Move 37,FOCUS_BLAST,ATTRACT,ENDURE,,,
Optional Move 38,FLING,THIEF,GIGA_IMPACT,,,
Optional Move 39,GIGA_IMPACT,FOCUS_BLAST,STONE_EDGE,,,
Optional Move 40,STONE_EDGE,FLING,CAPTIVATE,,,
Optional Move 41,SWORDS_DANCE,ENDURE,ROCK_SLIDE,,,
Optional Move 42,CAPTIVATE,GIGA_IMPACT,SLEEP_TALK,,,
Optional Move 43,ROCK_SLIDE,STONE_EDGE,NATURAL_GIFT,,,
Optional Move 44,SLEEP_TALK,SWORDS_DANCE,SWAGGER,,,
Optional Move 45,NATURAL_GIFT,CAPTIVATE,SUBSTITUTE,,,
Optional Move 46,POISON_JAB,ROCK_SLIDE,,,,
Optional Move 47,SWAGGER,SLEEP_TALK,,,,
Optional Move 48,SUBSTITUTE,NATURAL_GIFT,,,,
Optional Move 49,,POISON_JAB,,,,
Optional Move 50,,SWAGGER,,,,
Optional Move 51,,SUBSTITUTE,,,,
