Trainer 520,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MR_MIME,MR_MIME,MR_RIME,NONE,NONE,NONE
Level,60,60,60,,,
Ability,SOUNDPROOF,VITAL_SPIRIT,TANGLED_FEET,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PSYCHIC,PSYCHIC,PSYCHIC,,,
Move 2,DAZZLING_GLEAM,DAZZLING_GLEAM,DAZZLING_GLEAM,,,
Move 3,BARRIER,SUCKER_PUNCH,SUCKER_PUNCH,,,
Move 4,PSYBEAM,FREEZE_DRY,FREEZE_DRY,,,
Optional Move 1,QUICK_GUARD,QUICK_GUARD,FAKE_TEARS,,,
Optional Move 2,WIDE_GUARD,WIDE_GUARD,SLACK_OFF,,,
Optional Move 3,POWER_SWAP,POWER_SWAP,AFTER_YOU,,,
Optional Move 4,GUARD_SWAP,GUARD_SWAP,BLOCK,,,
Optional Move 5,POUND,POUND,COPYCAT,,,
Optional Move 6,COPYCAT,COPYCAT,ENCORE,,,
Optional Move 7,BATON_PASS,BATON_PASS,ROLE_PLAY,,,
Optional Move 8,ENCORE,ENCORE,PROTECT,,,
Optional Move 9,MISTY_TERRAIN,MISTY_TERRAIN,RECYCLE,,,
Optional Move 10,MAGICAL_LEAF,MAGICAL_LEAF,MIMIC,,,
Optional Move 11,CONFUSION,BARRIER,LIGHT_SCREEN,,,
Optional Move 12,MEDITATE,CONFUSION,REFLECT,,,
Optional Move 13,DOUBLE_SLAP,MEDITATE,SAFEGUARD,,,
Optional Move 14,PSYWAVE,DOUBLE_SLAP,MISTY_TERRAIN,,,
Optional Move 15,PROTECT,PSYWAVE,POUND,,,
Optional Move 16,MIMIC,PROTECT,RAPID_SPIN,,,
Optional Move 17,RECYCLE,MIMIC,BATON_PASS,,,
Optional Move 18,ROLE_PLAY,PSYBEAM,ICE_SHARD,,,
Optional Move 19,LIGHT_SCREEN,RECYCLE,CONFUSION,,,
Optional Move 20,REFLECT,ROLE_PLAY,ALLY_SWITCH,,,
Optional Move 21,SUBSTITUTE,LIGHT_SCREEN,ICY_WIND,,,
Optional Move 22,TRICK,REFLECT,DOUBLE_KICK,,,
Optional Move 23,SUCKER_PUNCH,SUBSTITUTE,PSYBEAM,,,
Optional Move 24,SAFEGUARD,TRICK,HYPNOSIS,,,
Optional Move 25,TEETER_DANCE,SAFEGUARD,MIRROR_COAT,,,
Optional Move 26,FUTURE_SIGHT,TEETER_DANCE,TEETER_DANCE,,,
Optional Move 27,HYPNOSIS,FUTURE_SIGHT,CALM_MIND,,,
Optional Move 28,PSYCH_UP,HYPNOSIS,TOXIC,,,
Optional Move 29,FAKE_OUT,PSYCH_UP,HAIL,,,
Optional Move 30,CONFUSE_RAY,FAKE_OUT,HIDDEN_POWER,,,
Optional Move 31,WAKE_UP_SLAP,CONFUSE_RAY,SUNNY_DAY,,,
Optional Move 32,NASTY_PLOT,WAKE_UP_SLAP,TAUNT,,,
Optional Move 33,FOCUS_PUNCH,NASTY_PLOT,ICE_BEAM,,,
Optional Move 34,CALM_MIND,FOCUS_PUNCH,BLIZZARD,,,
Optional Move 35,TOXIC,CALM_MIND,HYPER_BEAM,,,
Optional Move 36,HIDDEN_POWER,TOXIC,RAIN_DANCE,,,
Optional Move 37,SUNNY_DAY,HIDDEN_POWER,FRUSTRATION,,,
Optional Move 38,TAUNT,SUNNY_DAY,SOLAR_BEAM,,,
Optional Move 39,BLIZZARD,TAUNT,THUNDERBOLT,,,
Optional Move 40,HYPER_BEAM,BLIZZARD,THUNDER,,,
Optional Move 41,RAIN_DANCE,HYPER_BEAM,RETURN,,,
Optional Move 42,FRUSTRATION,RAIN_DANCE,SHADOW_BALL,,,
Optional Move 43,SOLAR_BEAM,FRUSTRATION,BRICK_BREAK,,,
Optional Move 44,THUNDERBOLT,SOLAR_BEAM,DOUBLE_TEAM,,,
Optional Move 45,THUNDER,THUNDERBOLT,FACADE,,,
Optional Move 46,RETURN,THUNDER,SECRET_POWER,,,
Optional Move 47,SHADOW_BALL,RETURN,REST,,,
