Trainer 521,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SLIGGOO,DRAGONAIR,GABITE,KABUTOPS,MANDIBUZZ,NONE
Level,62,62,62,62,62,
Ability,SAP_SIPPER,SHED_SKIN,SAND_VEIL,SWIFT_SWIM,BIG_PECKS,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,DRAGON_PULSE,AQUA_TAIL,DRAGON_CLAW,LIQUIDATION,DARK_PULSE,
Move 2,MUDDY_WATER,DRAGON_DANCE,SAND_ATTACK,LEECH_LIFE,AIR_SLASH,
Move 3,PROTECT,DRAGON_RUSH,DRAGON_RUSH,BRINE,NASTY_PLOT,
Move 4,DRAGON_BREATH,SLAM,DIG,ANCIENT_POWER,IRON_DEFENSE,
Optional Move 1,ACID_SPRAY,WRAP,DUAL_CHOP,SLASH,BONE_RUSH,
Optional Move 2,ABSORB,LEER,SAND_TOMB,NIGHT_SLASH,SKY_ATTACK,
Optional Move 3,TACKLE,TWISTER,TACKLE,FEINT,TOXIC,
Optional Move 4,WATER_GUN,THUNDER_WAVE,DRAGON_BREATH,ABSORB,GUST,
Optional Move 5,BUBBLE,DRAGON_RAGE,DRAGON_RAGE,HARDEN,LEER,
Optional Move 6,BIDE,AGILITY,BULLDOZE,SCRATCH,FLATTER,
Optional Move 7,FLAIL,DRAGON_TAIL,BITE,SAND_ATTACK,PLUCK,
Optional Move 8,WATER_PULSE,SAFEGUARD,SLASH,LEER,MIRROR_MOVE,
Optional Move 9,RAIN_DANCE,RAIN_DANCE,SANDSTORM,MUD_SHOT,BRAVE_BIRD,
Optional Move 10,BODY_SLAM,WATER_PULSE,TAKE_DOWN,AQUA_JET,WHIRLWIND,
Optional Move 11,CURSE,TOXIC,TOXIC,ENDURE,FURY_ATTACK,
Optional Move 12,TOXIC,HAIL,HIDDEN_POWER,MEGA_DRAIN,FEINT_ATTACK,
Optional Move 13,HIDDEN_POWER,HIDDEN_POWER,SUNNY_DAY,PROTECT,KNOCK_OFF,
Optional Move 14,SUNNY_DAY,SUNNY_DAY,PROTECT,METAL_SOUND,TAILWIND,
Optional Move 15,ICE_BEAM,ICE_BEAM,RAIN_DANCE,WATER_PULSE,PUNISHMENT,
Optional Move 16,BLIZZARD,BLIZZARD,FRUSTRATION,TOXIC,DEFOG,
Optional Move 17,FRUSTRATION,LIGHT_SCREEN,IRON_TAIL,HAIL,EMBARGO,
Optional Move 18,IRON_TAIL,PROTECT,EARTHQUAKE,HIDDEN_POWER,HIDDEN_POWER,
Optional Move 19,THUNDERBOLT,FRUSTRATION,RETURN,ICE_BEAM,SUNNY_DAY,
Optional Move 20,THUNDER,IRON_TAIL,DOUBLE_TEAM,BLIZZARD,TAUNT,
Optional Move 21,RETURN,THUNDERBOLT,FLAMETHROWER,HYPER_BEAM,HYPER_BEAM,
Optional Move 22,DOUBLE_TEAM,THUNDER,FIRE_BLAST,RAIN_DANCE,PROTECT,
Optional Move 23,SHOCK_WAVE,RETURN,ROCK_TOMB,GIGA_DRAIN,RAIN_DANCE,
Optional Move 24,SLUDGE_BOMB,DOUBLE_TEAM,AERIAL_ACE,FRUSTRATION,FRUSTRATION,
Optional Move 25,FACADE,SHOCK_WAVE,FACADE,RETURN,RETURN,
Optional Move 26,SECRET_POWER,FLAMETHROWER,SECRET_POWER,DIG,SHADOW_BALL,
Optional Move 27,REST,FIRE_BLAST,REST,BRICK_BREAK,DOUBLE_TEAM,
Optional Move 28,ATTRACT,FACADE,ATTRACT,DOUBLE_TEAM,SANDSTORM,
Optional Move 29,ENDURE,SECRET_POWER,FALSE_SWIPE,SANDSTORM,ROCK_TOMB,
Optional Move 30,ROCK_SLIDE,REST,ENDURE,ROCK_TOMB,AERIAL_ACE,
Optional Move 31,SLEEP_TALK,ATTRACT,DRAGON_PULSE,AERIAL_ACE,TORMENT,
Optional Move 32,SWAGGER,ENDURE,SHADOW_CLAW,FACADE,FACADE,
Optional Move 33,SUBSTITUTE,DRAGON_PULSE,STONE_EDGE,SECRET_POWER,SECRET_POWER,
Optional Move 34,,GIGA_IMPACT,SWORDS_DANCE,REST,REST,
Optional Move 35,,CAPTIVATE,STEALTH_ROCK,ATTRACT,THIEF,
Optional Move 36,,SLEEP_TALK,CAPTIVATE,THIEF,STEEL_WING,
Optional Move 37,,NATURAL_GIFT,ROCK_SLIDE,GIGA_IMPACT,SNATCH,
Optional Move 38,,SWAGGER,SLEEP_TALK,ROCK_POLISH,ROOST,
Optional Move 39,,SUBSTITUTE,NATURAL_GIFT,SWORDS_DANCE,ENDURE,
Optional Move 40,,,SWAGGER,STEALTH_ROCK,PAYBACK,
Optional Move 41,,,SUBSTITUTE,CAPTIVATE,GIGA_IMPACT,
Optional Move 42,,,,ROCK_SLIDE,PSYCH_UP,
Optional Move 43,,,,X_SCISSOR,SLEEP_TALK,
Optional Move 44,,,,SLEEP_TALK,SWAGGER,
Optional Move 45,,,,NATURAL_GIFT,U_TURN,
Optional Move 46,,,,SWAGGER,SUBSTITUTE,
Optional Move 47,,,,SUBSTITUTE,,
