Trainer 523,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PIKACHU,PIDGEOT,EXEGGUTOR,MUNCHLAX,LAPRAS,CHARIZARD
Level,52,52,52,52,52,52
Ability,STATIC,KEEN_EYE,CHLOROPHYLL,PICKUP,WATER_ABSORB,BLAZE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,THUNDERBOLT,AGILITY,UPROAR,LAST_RESORT,HYDRO_PUMP,HEAT_WAVE
Move 2,NASTY_PLOT,HURRICANE,LEECH_SEED,BODY_SLAM,ICE_BEAM,DRAGON_CLAW
Move 3,THUNDER,WING_ATTACK,PSYSHOCK,STOCKPILE,MIST,FLAMETHROWER
Move 4,DISCHARGE,QUICK_ATTACK,LEAF_STORM,AMNESIA,BRINE,AIR_SLASH
Optional Move 1,PLAY_NICE,TACKLE,STOMP,LICK,GROWL,WING_ATTACK
Optional Move 2,SWEET_KISS,SAND_ATTACK,SEED_BOMB,TACKLE,WATER_GUN,SCRATCH
Optional Move 3,NUZZLE,GUST,WOOD_HAMMER,RECYCLE,SING,GROWL
Optional Move 4,CHARM,WHIRLWIND,MEGA_DRAIN,METRONOME,LIFE_DEW,EMBER
Optional Move 5,THUNDER_SHOCK,TWISTER,CONFUSION,ODOR_SLEUTH,ICE_SHARD,SMOKESCREEN
Optional Move 6,TAIL_WHIP,FEATHER_DANCE,SYNTHESIS,DEFENSE_CURL,CONFUSE_RAY,FLARE_BLITZ
Optional Move 7,GROWL,ROOST,BULLET_SEED,COVET,WATER_PULSE,SHADOW_CLAW
Optional Move 8,QUICK_ATTACK,TAILWIND,GIGA_DRAIN,BITE,BODY_SLAM,DRAGON_BREATH
Optional Move 9,THUNDER_WAVE,TOXIC,EXTRASENSORY,CHIP_AWAY,RAIN_DANCE,DRAGON_RAGE
Optional Move 10,ELECTRO_BALL,HIDDEN_POWER,WORRY_SEED,SCREECH,SAFEGUARD,FIRE_FANG
Optional Move 11,DOUBLE_TEAM,SUNNY_DAY,SOLAR_BEAM,SWALLOW,PERISH_SONG,SCARY_FACE
Optional Move 12,FEINT,HYPER_BEAM,ABSORB,FLING,FORESIGHT,SLASH
Optional Move 13,SPARK,PROTECT,HYPNOSIS,ROLLOUT,SUBSTITUTE,FLAME_BURST
Optional Move 14,SLAM,RAIN_DANCE,REFLECT,FLAIL,TICKLE,FIRE_SPIN
Optional Move 15,AGILITY,FRUSTRATION,BARRAGE,BELLY_DRUM,REFRESH,FOCUS_PUNCH
Optional Move 16,LIGHT_SCREEN,RETURN,EGG_BOMB,NATURAL_GIFT,DRAGON_DANCE,ROAR
Optional Move 17,WILD_CHARGE,DOUBLE_TEAM,CALM_MIND,SNATCH,CURSE,TOXIC
Optional Move 18,FOCUS_PUNCH,AERIAL_ACE,TOXIC,CHARM,SLEEP_TALK,HIDDEN_POWER
Optional Move 19,TOXIC,FACADE,HIDDEN_POWER,DOUBLE_EDGE,HORN_DRILL,SUNNY_DAY
Optional Move 20,HIDDEN_POWER,SECRET_POWER,SUNNY_DAY,CURSE,ANCIENT_POWER,HYPER_BEAM
Optional Move 21,PROTECT,REST,HYPER_BEAM,SUBSTITUTE,WHIRLPOOL,PROTECT
Optional Move 22,RAIN_DANCE,ATTRACT,LIGHT_SCREEN,WHIRLWIND,FISSURE,FRUSTRATION
Optional Move 23,FRUSTRATION,THIEF,PROTECT,PURSUIT,ROAR,SOLAR_BEAM
Optional Move 24,IRON_TAIL,STEEL_WING,FRUSTRATION,ZEN_HEADBUTT,TOXIC,IRON_TAIL
Optional Move 25,RETURN,ENDURE,EARTHQUAKE,COUNTER,HAIL,EARTHQUAKE
Optional Move 26,DIG,GIGA_IMPACT,RETURN,FOCUS_PUNCH,HIDDEN_POWER,RETURN
Optional Move 27,BRICK_BREAK,CAPTIVATE,PSYCHIC,TOXIC,BLIZZARD,DIG
Optional Move 28,REFLECT,SLEEP_TALK,DOUBLE_TEAM,HIDDEN_POWER,HYPER_BEAM,BRICK_BREAK
Optional Move 29,SHOCK_WAVE,NATURAL_GIFT,SLUDGE_BOMB,SUNNY_DAY,PROTECT,DOUBLE_TEAM
Optional Move 30,FACADE,SWAGGER,FACADE,ICE_BEAM,FRUSTRATION,SANDSTORM
Optional Move 31,SECRET_POWER,PLUCK,SECRET_POWER,BLIZZARD,IRON_TAIL,FIRE_BLAST
Optional Move 32,REST,U_TURN,REST,PROTECT,THUNDERBOLT,ROCK_TOMB
Optional Move 33,ATTRACT,SUBSTITUTE,ATTRACT,RAIN_DANCE,THUNDER,AERIAL_ACE
Optional Move 34,THIEF,,THIEF,FRUSTRATION,EARTHQUAKE,FACADE
Optional Move 35,FLING,,SKILL_SWAP,SOLAR_BEAM,RETURN,SECRET_POWER
Optional Move 36,CHARGE_BEAM,,ENERGY_BALL,THUNDERBOLT,PSYCHIC,REST
Optional Move 37,ENDURE,,ENDURE,THUNDER,DOUBLE_TEAM,ATTRACT
Optional Move 38,FLASH,,EXPLOSION,EARTHQUAKE,REFLECT,STEEL_WING
Optional Move 39,CAPTIVATE,,GIGA_IMPACT,RETURN,SHOCK_WAVE,OVERHEAT
Optional Move 40,SLEEP_TALK,,FLASH,DIG,FACADE,ROOST
Optional Move 41,NATURAL_GIFT,,SWORDS_DANCE,PSYCHIC,SECRET_POWER,FOCUS_BLAST
Optional Move 42,GRASS_KNOT,,PSYCH_UP,SHADOW_BALL,REST,FALSE_SWIPE
Optional Move 43,SWAGGER,,CAPTIVATE,BRICK_BREAK,ATTRACT,FLING
Optional Move 44,SUBSTITUTE,,SLEEP_TALK,DOUBLE_TEAM,ENDURE,ENDURE
Optional Move 45,,,NATURAL_GIFT,SHOCK_WAVE,DRAGON_PULSE,DRAGON_PULSE
Optional Move 46,,,DREAM_EATER,FLAMETHROWER,GIGA_IMPACT,WILL_O_WISP
Optional Move 47,,,GRASS_KNOT,SANDSTORM,AVALANCHE,GIGA_IMPACT
Optional Move 48,,,SWAGGER,FIRE_BLAST,CAPTIVATE,SWORDS_DANCE
Optional Move 49,,,SUBSTITUTE,ROCK_TOMB,NATURAL_GIFT,CAPTIVATE
Optional Move 50,,,TRICK_ROOM,FACADE,DREAM_EATER,ROCK_SLIDE
Optional Move 51,,,,SECRET_POWER,SWAGGER,SLEEP_TALK
Optional Move 52,,,,REST,,NATURAL_GIFT
Optional Move 53,,,,ATTRACT,,SWAGGER
Optional Move 54,,,,ENDURE,,SUBSTITUTE
Optional Move 55,,,,GIGA_IMPACT,,
Optional Move 56,,,,CAPTIVATE,,
Optional Move 57,,,,ROCK_SLIDE,,
Optional Move 58,,,,SLEEP_TALK,,
Optional Move 59,,,,SWAGGER,,
