Trainer 526,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,AMBIPOM,JUMPLUFF,SEADRA,URSARING,SCYTHER,TYPHLOSION
Level,52,52,52,52,52,52
Ability,TECHNICIAN,CHLOROPHYLL,POISON_POINT,GUTS,SWARM,BLAZE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,LAST_RESORT,FAIRY_WIND,HYDRO_PUMP,HIGH_HORSEPOWER,X_SCISSOR,ERUPTION
Move 2,AGILITY,MEGA_DRAIN,DRAGON_PULSE,PLAY_ROUGH,DOUBLE_TEAM,LEER
Move 3,SWIFT,U_TURN,FOCUS_ENERGY,SLASH,AIR_SLASH,GYRO_BALL
Move 4,SCRATCH,ACROBATICS,BUBBLE_BEAM,REST,SLASH,FLAMETHROWER
Optional Move 1,DUAL_CHOP,ABSORB,WATER_GUN,SCRATCH,LEER,DOUBLE_EDGE
Optional Move 2,TAIL_WHIP,SPLASH,LEER,LEER,QUICK_ATTACK,EMBER
Optional Move 3,SAND_ATTACK,SYNTHESIS,SMOKESCREEN,LICK,FURY_CUTTER,SMOKESCREEN
Optional Move 4,ASTONISH,TAIL_WHIP,TWISTER,COVET,FALSE_SWIPE,TACKLE
Optional Move 5,BATON_PASS,TACKLE,BUBBLE,FAKE_TEARS,WING_ATTACK,QUICK_ATTACK
Optional Move 6,TICKLE,POISON_POWDER,DRAGON_BREATH,FURY_SWIPES,DOUBLE_HIT,FLAME_WHEEL
Optional Move 7,FURY_SWIPES,STUN_SPORE,BRINE,PAYBACK,FOCUS_ENERGY,DEFENSE_CURL
Optional Move 8,SCREECH,SLEEP_POWDER,AGILITY,SWEET_SCENT,AGILITY,SWIFT
Optional Move 9,DOUBLE_HIT,BULLET_SEED,LASER_FOCUS,PLAY_NICE,SWORDS_DANCE,FLAME_CHARGE
Optional Move 10,FLING,LEECH_SEED,WATER_PULSE,SCARY_FACE,COUNTER,LAVA_PLUME
