Trainer 530,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PLUSLE,FLYGON,SWELLOW,SEALEO,NUMEL,SCEPTILE
Level,52,52,52,52,52,52
Ability,PLUS,LEVITATE,GUTS,THICK_FAT,OBLIVIOUS,OVERGROW
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,DISCHARGE,EARTHQUAKE,AIR_SLASH,SURF,EARTHQUAKE,ENERGY_BALL
Move 2,LAST_RESORT,DRAGON_CLAW,FOCUS_ENERGY,BODY_SLAM,FOCUS_ENERGY,X_SCISSOR
Move 3,CHARGE,DRAGON_DANCE,WING_ATTACK,SWAGGER,EARTH_POWER,AGILITY
Move 4,THUNDER,SUPERPOWER,QUICK_ATTACK,BLIZZARD,FLAMETHROWER,LEAF_BLADE
Optional Move 1,NUZZLE,DRAGON_BREATH,BRAVE_BIRD,ROLLOUT,GROWL,DUAL_CHOP
Optional Move 2,PLAY_NICE,FEINT,PLUCK,DEFENSE_CURL,TACKLE,FURY_CUTTER
Optional Move 3,GROWL,LASER_FOCUS,PECK,GROWL,EMBER,FALSE_SWIPE
Optional Move 4,THUNDER_WAVE,BULLDOZE,GROWL,WATER_GUN,MAGNITUDE,POUND
Optional Move 5,QUICK_ATTACK,DIG,DOUBLE_TEAM,POWDER_SNOW,FLAME_BURST,LEER
Optional Move 6,HELPING_HAND,CRUNCH,AERIAL_ACE,ICE_BALL,AMNESIA,LEAFAGE
Optional Move 7,SPARK,FISSURE,QUICK_GUARD,BRINE,LAVA_PLUME,QUICK_ATTACK
Optional Move 8,ENCORE,SAND_ATTACK,AGILITY,ENCORE,CURSE,LEAF_STORM
Optional Move 9,BESTOW,ASTONISH,ENDEAVOR,REST,TAKE_DOWN,NIGHT_SLASH
Optional Move 10,SWIFT,SUPERSONIC,TOXIC,AURORA_BEAM,YAWN,ABSORB
Optional Move 11,ELECTRO_BALL,BITE,HIDDEN_POWER,SNORE,DOUBLE_EDGE,MEGA_DRAIN
Optional Move 12,COPYCAT,SONIC_BOOM,SUNNY_DAY,HAIL,HOWL,PURSUIT
Optional Move 13,CHARM,FEINT_ATTACK,HYPER_BEAM,WATER_PULSE,SCARY_FACE,ASSURANCE
Optional Move 14,BATON_PASS,BIDE,PROTECT,ROAR,BODY_SLAM,DETECT
Optional Move 15,AGILITY,MUD_SLAP,RAIN_DANCE,TOXIC,ROLLOUT,GIGA_DRAIN
Optional Move 16,NASTY_PLOT,SAND_TOMB,FRUSTRATION,HIDDEN_POWER,DEFENSE_CURL,SLAM
Optional Move 17,ENTRAINMENT,ROCK_SLIDE,RETURN,ICE_BEAM,STOMP,QUICK_GUARD
Optional Move 18,SUBSTITUTE,SCREECH,FACADE,PROTECT,ANCIENT_POWER,DOUBLE_TEAM
Optional Move 19,WISH,DRAGON_TAIL,SECRET_POWER,RAIN_DANCE,MUD_BOMB,FOCUS_PUNCH
Optional Move 20,SING,BUG_BUZZ,REST,FRUSTRATION,HEAT_WAVE,DRAGON_CLAW
Optional Move 21,SWEET_KISS,EARTH_POWER,ATTRACT,IRON_TAIL,STOCKPILE,ROAR
Optional Move 22,TOXIC,SANDSTORM,THIEF,EARTHQUAKE,SWALLOW,TOXIC
Optional Move 23,HIDDEN_POWER,HYPER_BEAM,STEEL_WING,RETURN,SPIT_UP,BULLET_SEED
Optional Move 24,LIGHT_SCREEN,UPROAR,ROOST,DOUBLE_TEAM,ROAR,HIDDEN_POWER
Optional Move 25,PROTECT,TOXIC,ENDURE,ROCK_TOMB,TOXIC,SUNNY_DAY
Optional Move 26,RAIN_DANCE,HIDDEN_POWER,GIGA_IMPACT,FACADE,HIDDEN_POWER,HYPER_BEAM
Optional Move 27,FRUSTRATION,SUNNY_DAY,CAPTIVATE,SECRET_POWER,SUNNY_DAY,PROTECT
Optional Move 28,IRON_TAIL,PROTECT,SLEEP_TALK,ATTRACT,PROTECT,SAFEGUARD
Optional Move 29,THUNDERBOLT,GIGA_DRAIN,NATURAL_GIFT,ENDURE,RAIN_DANCE,FRUSTRATION
Optional Move 30,RETURN,FRUSTRATION,SWAGGER,CAPTIVATE,FRUSTRATION,SOLAR_BEAM
Optional Move 31,DOUBLE_TEAM,SOLAR_BEAM,U_TURN,ROCK_SLIDE,RETURN,IRON_TAIL
Optional Move 32,SHOCK_WAVE,IRON_TAIL,SUBSTITUTE,SLEEP_TALK,DIG,EARTHQUAKE
Optional Move 33,FACADE,RETURN,,NATURAL_GIFT,DOUBLE_TEAM,RETURN
Optional Move 34,SECRET_POWER,DOUBLE_TEAM,,SUBSTITUTE,SANDSTORM,DIG
Optional Move 35,REST,FLAMETHROWER,,,FIRE_BLAST,BRICK_BREAK
Optional Move 36,ATTRACT,FIRE_BLAST,,,ROCK_TOMB,ROCK_TOMB
Optional Move 37,SKILL_SWAP,ROCK_TOMB,,,FACADE,AERIAL_ACE
Optional Move 38,FLING,AERIAL_ACE,,,SECRET_POWER,FACADE
Optional Move 39,CHARGE_BEAM,FACADE,,,REST,SECRET_POWER
Optional Move 40,ENDURE,SECRET_POWER,,,ATTRACT,REST
Optional Move 41,FLASH,REST,,,OVERHEAT,ATTRACT
Optional Move 42,CAPTIVATE,ATTRACT,,,ENDURE,FOCUS_BLAST
Optional Move 43,SLEEP_TALK,STEEL_WING,,,WILL_O_WISP,FLING
Optional Move 44,NATURAL_GIFT,ROOST,,,STONE_EDGE,ENDURE
Optional Move 45,GRASS_KNOT,ENDURE,,,STEALTH_ROCK,DRAGON_PULSE
Optional Move 46,SWAGGER,DRAGON_PULSE,,,CAPTIVATE,DRAIN_PUNCH
Optional Move 47,,SILVER_WIND,,,ROCK_SLIDE,GIGA_IMPACT
