Trainer 54,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SHELMET,NIDORAN_F,NONE,NONE,NONE,NONE
Level,8,8,,,,
Ability,HYDRATION,POISON_POINT,,,,
Held Item,NONE,NONE,,,,
Move 1,ABSORB,GROWL,,,,
Move 2,PROTECT,SCRATCH,,,,
Move 3,ACID,TAIL_WHIP,,,,
Move 4,BIDE,POISON_STING,,,,
Optional Move 1,BATON_PASS,SUPERSONIC,,,,
Optional Move 2,DOUBLE_EDGE,DISABLE,,,,
Optional Move 3,ENCORE,TAKE_DOWN,,,,
Optional Move 4,ENDURE,FOCUS_ENERGY,,,,
Optional Move 5,FEINT,CHARM,,,,
Optional Move 6,MIND_READER,COUNTER,,,,
Optional Move 7,MUD_SLAP,BEAT_UP,,,,
Optional Move 8,PURSUIT,PURSUIT,,,,
Optional Move 9,SPIKES,SKULL_BASH,,,,
Optional Move 10,TOXIC,WATER_PULSE,,,,
Optional Move 11,HIDDEN_POWER,HIDDEN_POWER,,,,
Optional Move 12,RAIN_DANCE,SUNNY_DAY,,,,
Optional Move 13,FRUSTRATION,ICE_BEAM,,,,
Optional Move 14,RETURN,BLIZZARD,,,,
Optional Move 15,DOUBLE_TEAM,PROTECT,,,,
Optional Move 16,SLUDGE_BOMB,RAIN_DANCE,,,,
Optional Move 17,FACADE,FRUSTRATION,,,,
Optional Move 18,SECRET_POWER,IRON_TAIL,,,,
Optional Move 19,REST,THUNDERBOLT,,,,
Optional Move 20,ATTRACT,THUNDER,,,,
Optional Move 21,ENERGY_BALL,RETURN,,,,
Optional Move 22,SLEEP_TALK,DIG,,,,
Optional Move 23,SWAGGER,DOUBLE_TEAM,,,,
Optional Move 24,SUBSTITUTE,SHOCK_WAVE,,,,
Optional Move 25,,SLUDGE_BOMB,,,,
Optional Move 26,,AERIAL_ACE,,,,
Optional Move 27,,FACADE,,,,
Optional Move 28,,SECRET_POWER,,,,
Optional Move 29,,REST,,,,
Optional Move 30,,ATTRACT,,,,
Optional Move 31,,THIEF,,,,
Optional Move 32,,ENDURE,,,,
Optional Move 33,,SHADOW_CLAW,,,,
Optional Move 34,,SLEEP_TALK,,,,
Optional Move 35,,NATURAL_GIFT,,,,
Optional Move 36,,POISON_JAB,,,,
Optional Move 37,,SWAGGER,,,,
Optional Move 38,,SUBSTITUTE,,,,
