Trainer 544,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ORBEETLE,FLAPPLE,DREDNAW,MORGREM,TOXEL,CINDERACE
Level,52,52,52,52,52,52
Ability,SWARM,RIPEN,STRONG_JAW,PRANKSTER,RATTLED,BLAZE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,BUG_BUZZ,GRAV_APPLE,LIQUIDATION,FOUL_PLAY,BELCH,PYRO_BALL
Move 2,PSYCHIC,DRAGON_PULSE,CRUNCH,PLAY_ROUGH,ACID,AGILITY
Move 3,PSYBEAM,DRAGON_DANCE,ROCK_POLISH,NASTY_PLOT,TEARFUL_LOOK,DOUBLE_KICK
Move 4,AGILITY,DRAGON_RUSH,ROCK_TOMB,DARK_PULSE,NUZZLE,HEADBUTT
Optional Move 1,REFLECT,WING_ATTACK,RAZOR_SHELL,FALSE_SURRENDER,GROWL,FEINT
Optional Move 2,LIGHT_SCREEN,RECYCLE,TACKLE,FAKE_OUT,FLAIL,TACKLE
Optional Move 3,CONFUSION,WITHDRAW,WATER_GUN,CONFIDE,TOXIC,GROWL
Optional Move 4,STRUGGLE_BUG,ASTONISH,BITE,BITE,HIDDEN_POWER,EMBER
Optional Move 5,CONFUSE_RAY,GROWTH,PROTECT,FLATTER,PROTECT,QUICK_ATTACK
Optional Move 6,MAGIC_COAT,TWISTER,HEADBUTT,FAKE_TEARS,FRUSTRATION,FLAME_CHARGE
Optional Move 7,HYPNOSIS,ACID_SPRAY,COUNTER,ASSURANCE,RETURN,COUNTER
Optional Move 8,ALLY_SWITCH,ACROBATICS,JAW_LOCK,SWAGGER,DOUBLE_TEAM,BOUNCE
Optional Move 9,MIRROR_COAT,LEECH_SEED,WATER_PULSE,SUCKER_PUNCH,FACADE,TOXIC
Optional Move 10,AFTER_YOU,PROTECT,TOXIC,TORMENT,SECRET_POWER,BULK_UP
Optional Move 11,CALM_MIND,DRAGON_BREATH,HIDDEN_POWER,TOXIC,REST,HIDDEN_POWER
Optional Move 12,PSYCHIC_TERRAIN,IRON_DEFENSE,ICE_BEAM,HIDDEN_POWER,ATTRACT,SUNNY_DAY
Optional Move 13,TOXIC,FLY,BLIZZARD,TAUNT,ENDURE,TAUNT
Optional Move 14,HIDDEN_POWER,TOXIC,HYPER_BEAM,LIGHT_SCREEN,SLEEP_TALK,HYPER_BEAM
Optional Move 15,HYPER_BEAM,BULLET_SEED,RAIN_DANCE,PROTECT,SUBSTITUTE,PROTECT
Optional Move 16,PROTECT,HIDDEN_POWER,FRUSTRATION,FRUSTRATION,,FRUSTRATION
Optional Move 17,GIGA_DRAIN,SUNNY_DAY,IRON_TAIL,RETURN,,RETURN
Optional Move 18,SAFEGUARD,HYPER_BEAM,EARTHQUAKE,DOUBLE_TEAM,,SHADOW_BALL
Optional Move 19,FRUSTRATION,GIGA_DRAIN,RETURN,REFLECT,,DOUBLE_TEAM
Optional Move 20,SOLAR_BEAM,FRUSTRATION,DIG,FACADE,,FLAMETHROWER
Optional Move 21,RETURN,SOLAR_BEAM,DOUBLE_TEAM,SECRET_POWER,,FIRE_BLAST
Optional Move 22,SHADOW_BALL,RETURN,SANDSTORM,REST,,FACADE
Optional Move 23,DOUBLE_TEAM,DOUBLE_TEAM,FACADE,ATTRACT,,SECRET_POWER
Optional Move 24,FACADE,AERIAL_ACE,SECRET_POWER,THIEF,,REST
Optional Move 25,SECRET_POWER,FACADE,REST,FLING,,ATTRACT
Optional Move 26,REST,SECRET_POWER,ATTRACT,ENDURE,,OVERHEAT
Optional Move 27,ATTRACT,REST,FALSE_SWIPE,DRAIN_PUNCH,,FOCUS_BLAST
Optional Move 28,SKILL_SWAP,ATTRACT,ENDURE,SHADOW_CLAW,,FLING
Optional Move 29,ENERGY_BALL,ENERGY_BALL,PAYBACK,THUNDER_WAVE,,ENDURE
Optional Move 30,ENDURE,ENDURE,GIGA_IMPACT,SLEEP_TALK,,WILL_O_WISP
Optional Move 31,PAYBACK,GIGA_IMPACT,SWORDS_DANCE,SUBSTITUTE,,GIGA_IMPACT
Optional Move 32,GIGA_IMPACT,SLEEP_TALK,STEALTH_ROCK,,,SWORDS_DANCE
Optional Move 33,SLEEP_TALK,GRASS_KNOT,ROCK_SLIDE,,,SLEEP_TALK
Optional Move 34,U_TURN,U_TURN,SLEEP_TALK,,,U_TURN
Optional Move 35,SUBSTITUTE,SUBSTITUTE,POISON_JAB,,,SUBSTITUTE
Optional Move 36,TRICK_ROOM,,SUBSTITUTE,,,
