Trainer 545,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,COALOSSAL,MORPEKO,FROSMOTH,HATTREM,DURALUDON,RILLABOOM
Level,52,52,52,52,52,52
Ability,STEAM_ENGINE,HUNGER_SWITCH,SHIELD_DUST,HEALER,LIGHT_METAL,OVERGROW
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,INCINERATE,CRUNCH,BUG_BUZZ,PSYCHIC,DRAGON_CLAW,DRUM_BEATING
Move 2,ANCIENT_POWER,AGILITY,BLIZZARD,DAZZLING_GLEAM,IRON_DEFENSE,UPROAR
Move 3,SMACK_DOWN,BULLET_SEED,AURORA_BEAM,CALM_MIND,DRAGON_TAIL,KNOCK_OFF
Move 4,ROCK_POLISH,SPARK,QUIVER_DANCE,BRUTAL_SWING,METAL_CLAW,SLAM
Optional Move 1,TAR_SHOT,THUNDER_SHOCK,ICY_WIND,CONFUSION,LEER,DOUBLE_HIT
Optional Move 2,FLAME_CHARGE,TAIL_WHIP,POWDER_SNOW,PLAY_NICE,ROCK_SMASH,GRASSY_TERRAIN
Optional Move 3,TACKLE,LEER,STRUGGLE_BUG,LIFE_DEW,HONE_CLAWS,NOBLE_ROAR
Optional Move 4,SMOKESCREEN,POWER_TRIP,HELPING_HAND,DISARMING_VOICE,METAL_SOUND,SCRATCH
Optional Move 5,RAPID_SPIN,QUICK_ATTACK,ATTRACT,AROMATHERAPY,BREAKING_SWIPE,GROWL
Optional Move 6,STEALTH_ROCK,FLATTER,STUN_SPORE,PSYBEAM,LASER_FOCUS,BRANCH_POKE
Optional Move 7,HEAT_CRASH,BITE,INFESTATION,HEAL_PULSE,ROAR,TAUNT
Optional Move 8,TOXIC,TORMENT,MIST,HEALING_WISH,TOXIC,RAZOR_LEAF
Optional Move 9,HIDDEN_POWER,TOXIC,DEFOG,TOXIC,HIDDEN_POWER,SCREECH
Optional Move 10,SUNNY_DAY,HIDDEN_POWER,FEATHER_DANCE,HIDDEN_POWER,LIGHT_SCREEN,WOOD_HAMMER
Optional Move 11,HYPER_BEAM,TAUNT,HAIL,LIGHT_SCREEN,PROTECT,FOCUS_PUNCH
Optional Move 12,PROTECT,PROTECT,AURORA_VEIL,PROTECT,FRUSTRATION,TOXIC
Optional Move 13,FRUSTRATION,FRUSTRATION,TAILWIND,GIGA_DRAIN,SOLAR_BEAM,BULK_UP
Optional Move 14,SOLAR_BEAM,THUNDERBOLT,WIDE_GUARD,SAFEGUARD,THUNDER,BULLET_SEED
Optional Move 15,EARTHQUAKE,THUNDER,CALM_MIND,FRUSTRATION,RETURN,HIDDEN_POWER
Optional Move 16,RETURN,RETURN,TOXIC,RETURN,BRICK_BREAK,SUNNY_DAY
Optional Move 17,DIG,BRICK_BREAK,HIDDEN_POWER,DOUBLE_TEAM,DOUBLE_TEAM,HYPER_BEAM
Optional Move 18,DOUBLE_TEAM,DOUBLE_TEAM,ICE_BEAM,REFLECT,REFLECT,PROTECT
Optional Move 19,REFLECT,FACADE,HYPER_BEAM,FACADE,ROCK_TOMB,GIGA_DRAIN
Optional Move 20,FLAMETHROWER,SECRET_POWER,LIGHT_SCREEN,SECRET_POWER,FACADE,FRUSTRATION
Optional Move 21,SANDSTORM,REST,PROTECT,REST,SECRET_POWER,SOLAR_BEAM
Optional Move 22,FIRE_BLAST,ATTRACT,GIGA_DRAIN,ATTRACT,REST,EARTHQUAKE
Optional Move 23,ROCK_TOMB,THIEF,SAFEGUARD,SKILL_SWAP,ATTRACT,RETURN
Optional Move 24,FACADE,FLING,FRUSTRATION,ENDURE,ENDURE,BRICK_BREAK
Optional Move 25,SECRET_POWER,CHARGE_BEAM,RETURN,THUNDER_WAVE,DRAGON_PULSE,DOUBLE_TEAM
Optional Move 26,REST,ENDURE,DOUBLE_TEAM,PSYCH_UP,STONE_EDGE,FACADE
Optional Move 27,ATTRACT,PAYBACK,REFLECT,DARK_PULSE,THUNDER_WAVE,SECRET_POWER
Optional Move 28,OVERHEAT,THUNDER_WAVE,FACADE,SLEEP_TALK,GYRO_BALL,REST
Optional Move 29,ENDURE,DARK_PULSE,SECRET_POWER,SUBSTITUTE,SWORDS_DANCE,ATTRACT
Optional Move 30,WILL_O_WISP,SLEEP_TALK,REST,TRICK_ROOM,STEALTH_ROCK,THIEF
Optional Move 31,GIGA_IMPACT,SWAGGER,ENDURE,,DARK_PULSE,FOCUS_BLAST
Optional Move 32,STONE_EDGE,SUBSTITUTE,GIGA_IMPACT,,ROCK_SLIDE,ENERGY_BALL
Optional Move 33,GYRO_BALL,,SLEEP_TALK,,SLEEP_TALK,FALSE_SWIPE
Optional Move 34,ROCK_SLIDE,,U_TURN,,SUBSTITUTE,FLING
Optional Move 35,SLEEP_TALK,,SUBSTITUTE,,,ENDURE
Optional Move 36,SUBSTITUTE,,,,,DRAIN_PUNCH
Optional Move 37,,,,,,GIGA_IMPACT
Optional Move 38,,,,,,SWORDS_DANCE
Optional Move 39,,,,,,SLEEP_TALK
Optional Move 40,,,,,,GRASS_KNOT
Optional Move 41,,,,,,U_TURN
Optional Move 42,,,,,,SUBSTITUTE
