Trainer 550,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DEDENNE,FLORAGATO,PERRSERKER,QWILFISH,BOLTUND,NONE
Level,27,27,27,27,27,
Ability,CHEEK_POUCH,OVERGROW,BATTLE_ARMOR,POISON_POINT,STRONG_JAW,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,CHARGE,SEED_BOMB,IRON_HEAD,BRINE,ELECTRIFY,
Move 2,PARABOLIC_CHARGE,HONE_CLAWS,IRON_DEFENSE,BITE,SPARK,
Move 3,THUNDER_SHOCK,U_TURN,METAL_CLAW,FELL_STINGER,BITE,
Move 4,TACKLE,MAGICAL_LEAF,FAKE_OUT,POISON_STING,TACKLE,
Optional Move 1,NUZZLE,LEAFAGE,METAL_BURST,TACKLE,TAIL_WHIP,
Optional Move 2,TAIL_WHIP,SCRATCH,GROWL,HYDRO_PUMP,NUZZLE,
Optional Move 3,CHARM,TAIL_WHIP,HONE_CLAWS,DESTINY_BOND,ROAR,
Optional Move 4,THUNDER_WAVE,BITE,SCRATCH,WATER_GUN,TOXIC,
Optional Move 5,TOXIC,QUICK_ATTACK,PAY_DAY,SPIKES,HIDDEN_POWER,
Optional Move 6,HIDDEN_POWER,TOXIC,TAUNT,HARDEN,HYPER_BEAM,
Optional Move 7,SUNNY_DAY,BULLET_SEED,SWAGGER,MINIMIZE,PROTECT,
Optional Move 8,HYPER_BEAM,HIDDEN_POWER,TOXIC,BUBBLE,FRUSTRATION,
Optional Move 9,LIGHT_SCREEN,TAUNT,HIDDEN_POWER,ROLLOUT,THUNDERBOLT,
Optional Move 10,PROTECT,PROTECT,SUNNY_DAY,FLAIL,THUNDER,
Optional Move 11,RAIN_DANCE,GIGA_DRAIN,HYPER_BEAM,HAZE,RETURN,
Optional Move 12,FRUSTRATION,FRUSTRATION,PROTECT,BUBBLE_BEAM,DIG,
Optional Move 13,IRON_TAIL,SOLAR_BEAM,RAIN_DANCE,SUPERSONIC,DOUBLE_TEAM,
Optional Move 14,THUNDERBOLT,RETURN,FRUSTRATION,ASTONISH,FACADE,
Optional Move 15,RETURN,DOUBLE_TEAM,IRON_TAIL,SIGNAL_BEAM,SECRET_POWER,
Optional Move 16,DIG,AERIAL_ACE,THUNDERBOLT,AQUA_JET,REST,
Optional Move 17,DOUBLE_TEAM,FACADE,THUNDER,WATER_PULSE,ATTRACT,
Optional Move 18,SHOCK_WAVE,SECRET_POWER,RETURN,HAIL,ENDURE,
Optional Move 19,FACADE,REST,DIG,HIDDEN_POWER,GIGA_IMPACT,
Optional Move 20,SECRET_POWER,ATTRACT,SHADOW_BALL,TAUNT,THUNDER_WAVE,
Optional Move 21,ATTRACT,FLING,BRICK_BREAK,ICE_BEAM,SLEEP_TALK,
Optional Move 22,THIEF,ENDURE,DOUBLE_TEAM,BLIZZARD,SUBSTITUTE,
Optional Move 23,FLING,SHADOW_CLAW,AERIAL_ACE,PROTECT,,
Optional Move 24,ENDURE,SLEEP_TALK,FACADE,RAIN_DANCE,,
Optional Move 25,RECYCLE,GRASS_KNOT,SECRET_POWER,FRUSTRATION,,
Optional Move 26,GIGA_IMPACT,SUBSTITUTE,REST,RETURN,,
Optional Move 27,FLASH,,ATTRACT,SHADOW_BALL,,
Optional Move 28,SLEEP_TALK,,THIEF,DOUBLE_TEAM,,
Optional Move 29,NATURAL_GIFT,,FALSE_SWIPE,SHOCK_WAVE,,
Optional Move 30,GRASS_KNOT,,FLING,SLUDGE_BOMB,,
Optional Move 31,SWAGGER,,ENDURE,FACADE,,
Optional Move 32,U_TURN,,PAYBACK,SECRET_POWER,,
Optional Move 33,SUBSTITUTE,,GIGA_IMPACT,REST,,
Optional Move 34,,,GYRO_BALL,ATTRACT,,
Optional Move 35,,,SWORDS_DANCE,ENDURE,,
Optional Move 36,,,STEALTH_ROCK,EXPLOSION,,
Optional Move 37,,,DARK_PULSE,PAYBACK,,
Optional Move 38,,,X_SCISSOR,GIGA_IMPACT,,
Optional Move 39,,,SLEEP_TALK,THUNDER_WAVE,,
Optional Move 40,,,U_TURN,GYRO_BALL,,
Optional Move 41,,,SUBSTITUTE,SWORDS_DANCE,,
Optional Move 42,,,FLASH_CANNON,CAPTIVATE,,
Optional Move 43,,,,SLEEP_TALK,,
Optional Move 44,,,,NATURAL_GIFT,,
Optional Move 45,,,,SWAGGER,,
Optional Move 46,,,,SUBSTITUTE,,
