Trainer 555,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MORPEKO,BRAIXEN,LUXRAY,PYROAR,AMOONGUSS,NONE
Level,27,27,27,27,27,
Ability,HUNGER_SWITCH,BLAZE,RIVALRY,RIVALRY,EFFECT_SPORE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,FLATTER,HOWL,CHARGE,WORK_UP,FEINT_ATTACK,
Move 2,BITE,PSYBEAM,SPARK,HEADBUTT,SYNTHESIS,
Move 3,QUICK_ATTACK,EMBER,BITE,FIRE_FANG,MEGA_DRAIN,
Move 4,THUNDER_SHOCK,FLAME_CHARGE,TACKLE,EMBER,INGRAIN,
Optional Move 1,TAIL_WHIP,SCRATCH,ELECTRIC_TERRAIN,HYPER_BEAM,ABSORB,
Optional Move 2,LEER,TAIL_WHIP,LEER,TACKLE,ASTONISH,
Optional Move 3,POWER_TRIP,FIRE_SPIN,THUNDER_SHOCK,LEER,GROWTH,
Optional Move 4,TOXIC,CALM_MIND,ROAR,NOBLE_ROAR,STUN_SPORE,
Optional Move 5,HIDDEN_POWER,TOXIC,TOXIC,TAKE_DOWN,BIDE,
Optional Move 6,TAUNT,HIDDEN_POWER,HIDDEN_POWER,ROAR,SWEET_SCENT,
Optional Move 7,PROTECT,PROTECT,SUNNY_DAY,TOXIC,BULLET_SEED,
Optional Move 8,FRUSTRATION,RAIN_DANCE,HYPER_BEAM,HIDDEN_POWER,HIDDEN_POWER,
Optional Move 9,THUNDERBOLT,SAFEGUARD,LIGHT_SCREEN,SUNNY_DAY,SUNNY_DAY,
Optional Move 10,THUNDER,FRUSTRATION,PROTECT,TAUNT,HYPER_BEAM,
Optional Move 11,RETURN,SOLAR_BEAM,RAIN_DANCE,PROTECT,PROTECT,
Optional Move 12,BRICK_BREAK,IRON_TAIL,FRUSTRATION,RAIN_DANCE,RAIN_DANCE,
Optional Move 13,DOUBLE_TEAM,RETURN,IRON_TAIL,FRUSTRATION,FRUSTRATION,
Optional Move 14,FACADE,DOUBLE_TEAM,THUNDERBOLT,SOLAR_BEAM,RETURN,
Optional Move 15,SECRET_POWER,SHOCK_WAVE,THUNDER,IRON_TAIL,DOUBLE_TEAM,
Optional Move 16,REST,FACADE,RETURN,RETURN,SLUDGE_BOMB,
Optional Move 17,ATTRACT,SECRET_POWER,DOUBLE_TEAM,DIG,FACADE,
Optional Move 18,THIEF,REST,SHOCK_WAVE,DOUBLE_TEAM,SECRET_POWER,
Optional Move 19,FLING,ATTRACT,FACADE,FIRE_BLAST,REST,
Optional Move 20,CHARGE_BEAM,THIEF,SECRET_POWER,FACADE,ATTRACT,
Optional Move 21,ENDURE,SKILL_SWAP,REST,SECRET_POWER,ENERGY_BALL,
Optional Move 22,PAYBACK,SNATCH,ATTRACT,REST,ENDURE,
Optional Move 23,THUNDER_WAVE,OVERHEAT,THIEF,ATTRACT,PAYBACK,
Optional Move 24,DARK_PULSE,ENDURE,CHARGE_BEAM,THIEF,GIGA_IMPACT,
Optional Move 25,SLEEP_TALK,EMBARGO,ENDURE,SNATCH,FLASH,
Optional Move 26,SWAGGER,RECYCLE,GIGA_IMPACT,ENDURE,SLEEP_TALK,
Optional Move 27,SUBSTITUTE,SLEEP_TALK,FLASH,WILL_O_WISP,GRASS_KNOT,
Optional Move 28,,DREAM_EATER,CAPTIVATE,PAYBACK,SWAGGER,
Optional Move 29,,GRASS_KNOT,SLEEP_TALK,GIGA_IMPACT,SUBSTITUTE,
Optional Move 30,,SWAGGER,NATURAL_GIFT,DARK_PULSE,,
Optional Move 31,,SUBSTITUTE,SUBSTITUTE,SLEEP_TALK,,
Optional Move 32,,TRICK_ROOM,,SWAGGER,,
Optional Move 33,,,,SUBSTITUTE,,
