Trainer 556,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SERPERIOR,TORKOAL,NIDOQUEEN,HYDREIGON,MAGNEZONE,NONE
Level,52,52,52,52,52,
Ability,OVERGROW,WHITE_SMOKE,POISON_POINT,LEVITATE,MAGNET_PULL,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,LEAF_BLADE,HEAT_WAVE,EARTH_POWER,OUTRAGE,FLASH_CANNON,
Move 2,COIL,BODY_SLAM,TOXIC,HYPER_VOICE,TRI_ATTACK,
Move 3,GIGA_DRAIN,FLAMETHROWER,SUPERPOWER,DRAGON_RUSH,BARRIER,
Move 4,SLAM,IRON_DEFENSE,POISON_STING,CRUNCH,ZAP_CANNON,
Optional Move 1,TACKLE,SMOG,FURY_SWIPES,TACKLE,ELECTRIC_TERRAIN,
Optional Move 2,LEER,EMBER,TOXIC_SPIKES,DOUBLE_HIT,MAGNETIC_FLUX,
Optional Move 3,VINE_WHIP,WITHDRAW,DOUBLE_KICK,TRI_ATTACK,MIRROR_COAT,
Optional Move 4,WRAP,RAPID_SPIN,BITE,FOCUS_ENERGY,THUNDER_SHOCK,
Optional Move 5,GROWTH,SMOKESCREEN,HELPING_HAND,DRAGON_BREATH,TACKLE,
Optional Move 6,LEAF_TORNADO,FIRE_SPIN,FLATTER,BITE,SUPERSONIC,
Optional Move 7,LEECH_SEED,CLEAR_SMOG,CRUNCH,DRAGON_RAGE,THUNDER_WAVE,
Optional Move 8,MEGA_DRAIN,FLAME_WHEEL,GROWL,ROAR,MAGNET_BOMB,
Optional Move 9,WRING_OUT,PROTECT,SCRATCH,ASSURANCE,SONIC_BOOM,
Optional Move 10,CALM_MIND,LAVA_PLUME,TAIL_WHIP,HEADBUTT,ELECTRO_BALL,
Optional Move 11,TOXIC,CURSE,CHIP_AWAY,SLAM,SPARK,
Optional Move 12,BULLET_SEED,FLAIL,BODY_SLAM,WORK_UP,MIRROR_SHOT,
Optional Move 13,HIDDEN_POWER,AMNESIA,FOCUS_PUNCH,DRAGON_PULSE,SCREECH,
Optional Move 14,SUNNY_DAY,ENDURE,WATER_PULSE,SCARY_FACE,LIGHT_SCREEN,
Optional Move 15,TAUNT,SLEEP_TALK,ROAR,BODY_SLAM,GYRO_BALL,
Optional Move 16,HYPER_BEAM,YAWN,HIDDEN_POWER,TOXIC,METAL_SOUND,
Optional Move 17,LIGHT_SCREEN,EARTHQUAKE,SUNNY_DAY,HIDDEN_POWER,MAGNET_RISE,
Optional Move 18,PROTECT,FISSURE,TAUNT,SUNNY_DAY,DISCHARGE,
Optional Move 19,SAFEGUARD,SKULL_BASH,ICE_BEAM,TAUNT,TOXIC,
Optional Move 20,FRUSTRATION,TOXIC,BLIZZARD,PROTECT,HIDDEN_POWER,
Optional Move 21,SOLAR_BEAM,HIDDEN_POWER,HYPER_BEAM,RAIN_DANCE,SUNNY_DAY,
Optional Move 22,RETURN,SUNNY_DAY,PROTECT,FRUSTRATION,HYPER_BEAM,
Optional Move 23,DOUBLE_TEAM,HYPER_BEAM,RAIN_DANCE,IRON_TAIL,PROTECT,
Optional Move 24,REFLECT,FRUSTRATION,FRUSTRATION,RETURN,RAIN_DANCE,
Optional Move 25,AERIAL_ACE,SOLAR_BEAM,IRON_TAIL,DOUBLE_TEAM,FRUSTRATION,
Optional Move 26,TORMENT,IRON_TAIL,THUNDERBOLT,REFLECT,THUNDERBOLT,
Optional Move 27,FACADE,RETURN,THUNDER,SHOCK_WAVE,THUNDER,
Optional Move 28,SECRET_POWER,DOUBLE_TEAM,EARTHQUAKE,FLAMETHROWER,RETURN,
Optional Move 29,REST,SLUDGE_BOMB,RETURN,FIRE_BLAST,DOUBLE_TEAM,
Optional Move 30,ATTRACT,SANDSTORM,DIG,ROCK_TOMB,REFLECT,
Optional Move 31,SNATCH,FIRE_BLAST,SHADOW_BALL,TORMENT,SHOCK_WAVE,
Optional Move 32,ENERGY_BALL,ROCK_TOMB,BRICK_BREAK,FACADE,SANDSTORM,
Optional Move 33,ENDURE,FACADE,DOUBLE_TEAM,SECRET_POWER,FACADE,
Optional Move 34,DRAGON_PULSE,SECRET_POWER,SHOCK_WAVE,REST,SECRET_POWER,
Optional Move 35,GIGA_IMPACT,REST,FLAMETHROWER,ATTRACT,REST,
Optional Move 36,FLASH,ATTRACT,SLUDGE_BOMB,THIEF,CHARGE_BEAM,
Optional Move 37,SWORDS_DANCE,OVERHEAT,SANDSTORM,STEEL_WING,ENDURE,
Optional Move 38,CAPTIVATE,WILL_O_WISP,FIRE_BLAST,FOCUS_BLAST,EXPLOSION,
Optional Move 39,SLEEP_TALK,EXPLOSION,ROCK_TOMB,ENDURE,RECYCLE,
Optional Move 40,NATURAL_GIFT,GIGA_IMPACT,AERIAL_ACE,PAYBACK,GIGA_IMPACT,
Optional Move 41,GRASS_KNOT,STONE_EDGE,TORMENT,GIGA_IMPACT,FLASH,
Optional Move 42,SWAGGER,GYRO_BALL,FACADE,STONE_EDGE,SLEEP_TALK,
Optional Move 43,SUBSTITUTE,STEALTH_ROCK,SECRET_POWER,THUNDER_WAVE,NATURAL_GIFT,
Optional Move 44,,CAPTIVATE,REST,STEALTH_ROCK,SWAGGER,
Optional Move 45,,ROCK_SLIDE,ATTRACT,PSYCH_UP,SUBSTITUTE,
Optional Move 46,,NATURAL_GIFT,THIEF,DARK_PULSE,,
Optional Move 47,,SWAGGER,FOCUS_BLAST,ROCK_SLIDE,,
Optional Move 48,,SUBSTITUTE,FLING,SLEEP_TALK,,
Optional Move 49,,,ENDURE,SWAGGER,,
Optional Move 50,,,DRAGON_PULSE,U_TURN,,
Optional Move 51,,,SHADOW_CLAW,SUBSTITUTE,,
Optional Move 52,,,GIGA_IMPACT,FLASH_CANNON,,
Optional Move 53,,,STONE_EDGE,,,
Optional Move 54,,,AVALANCHE,,,
Optional Move 55,,,STEALTH_ROCK,,,
Optional Move 56,,,CAPTIVATE,,,
Optional Move 57,,,ROCK_SLIDE,,,
Optional Move 58,,,SLEEP_TALK,,,
Optional Move 59,,,NATURAL_GIFT,,,
Optional Move 60,,,POISON_JAB,,,
Optional Move 61,,,SWAGGER,,,
Optional Move 62,,,SUBSTITUTE,,,
