Trainer 558,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FERROTHORN,ROTOM_WASH,GARCHOMP,SCIZOR,CHANDELURE,NONE
Level,52,52,52,52,52,
Ability,IRON_BARBS,LEVITATE,SAND_VEIL,SWARM,FLASH_FIRE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,POWER_WHIP,DISCHARGE,DRAGON_CLAW,X_SCISSOR,SHADOW_BALL,
Move 2,ROCK_CLIMB,UPROAR,CRUNCH,AIR_SLASH,CONFUSE_RAY,
Move 3,IRON_DEFENSE,HEX,SAND_ATTACK,IRON_DEFENSE,HEX,
Move 4,IRON_HEAD,CHARGE,DIG,IRON_HEAD,INFERNO,
Optional Move 1,TACKLE,ASTONISH,DUAL_CHOP,BULLET_PUNCH,WILL_O_WISP,
Optional Move 2,HARDEN,DOUBLE_TEAM,SAND_TOMB,WING_ATTACK,FIRE_SPIN,
Optional Move 3,METAL_CLAW,TRICK,TACKLE,AGILITY,NIGHT_SHADE,
Optional Move 4,PIN_MISSILE,THUNDER_WAVE,DRAGON_BREATH,QUICK_ATTACK,CURSE,
Optional Move 5,ROLLOUT,THUNDER_SHOCK,FIRE_FANG,LEER,IMPRISON,
Optional Move 6,CURSE,CONFUSE_RAY,DRAGON_RAGE,FURY_CUTTER,PAIN_SPLIT,
Optional Move 7,INGRAIN,SHOCK_WAVE,SANDSTORM,FALSE_SWIPE,OVERHEAT,
Optional Move 8,MIRROR_SHOT,OMINOUS_WIND,BULLDOZE,FEINT,MEMENTO,
Optional Move 9,SELF_DESTRUCT,ELECTRO_BALL,BITE,PURSUIT,ASTONISH,
Optional Move 10,GYRO_BALL,SUBSTITUTE,SLASH,METAL_CLAW,SMOG,
Optional Move 11,FLASH_CANNON,TOXIC,TAKE_DOWN,DOUBLE_TEAM,EMBER,
Optional Move 12,TOXIC,HIDDEN_POWER,TOXIC,FOCUS_ENERGY,MINIMIZE,
Optional Move 13,BULLET_SEED,SUNNY_DAY,HIDDEN_POWER,SLASH,FLAME_BURST,
Optional Move 14,HIDDEN_POWER,LIGHT_SCREEN,SUNNY_DAY,DOUBLE_HIT,CALM_MIND,
Optional Move 15,SUNNY_DAY,PROTECT,HYPER_BEAM,RAZOR_WIND,TOXIC,
Optional Move 16,PROTECT,RAIN_DANCE,PROTECT,LASER_FOCUS,HIDDEN_POWER,
Optional Move 17,GIGA_DRAIN,FRUSTRATION,RAIN_DANCE,NIGHT_SLASH,SUNNY_DAY,
Optional Move 18,FRUSTRATION,THUNDERBOLT,FRUSTRATION,SWORDS_DANCE,TAUNT,
Optional Move 19,SOLAR_BEAM,THUNDER,IRON_TAIL,TOXIC,HYPER_BEAM,
Optional Move 20,THUNDERBOLT,RETURN,EARTHQUAKE,HIDDEN_POWER,PROTECT,
Optional Move 21,RETURN,SHADOW_BALL,RETURN,SUNNY_DAY,RAIN_DANCE,
Optional Move 22,DOUBLE_TEAM,REFLECT,BRICK_BREAK,HYPER_BEAM,SAFEGUARD,
Optional Move 23,SANDSTORM,FACADE,DOUBLE_TEAM,LIGHT_SCREEN,FRUSTRATION,
Optional Move 24,AERIAL_ACE,SECRET_POWER,FLAMETHROWER,PROTECT,SOLAR_BEAM,
Optional Move 25,FACADE,REST,FIRE_BLAST,RAIN_DANCE,RETURN,
Optional Move 26,SECRET_POWER,THIEF,ROCK_TOMB,SAFEGUARD,PSYCHIC,
Optional Move 27,REST,SNATCH,AERIAL_ACE,FRUSTRATION,DOUBLE_TEAM,
Optional Move 28,ATTRACT,CHARGE_BEAM,FACADE,RETURN,SHOCK_WAVE,
Optional Move 29,ENERGY_BALL,ENDURE,SECRET_POWER,BRICK_BREAK,FLAMETHROWER,
Optional Move 30,ENDURE,WILL_O_WISP,REST,SANDSTORM,FIRE_BLAST,
Optional Move 31,SHADOW_CLAW,FLASH,ATTRACT,AERIAL_ACE,FACADE,
Optional Move 32,GIGA_IMPACT,DARK_PULSE,FALSE_SWIPE,FACADE,SECRET_POWER,
Optional Move 33,ROCK_POLISH,SLEEP_TALK,FLING,SECRET_POWER,REST,
Optional Move 34,FLASH,NATURAL_GIFT,ENDURE,REST,ATTRACT,
Optional Move 35,THUNDER_WAVE,DREAM_EATER,DRAGON_PULSE,ATTRACT,THIEF,
Optional Move 36,SWORDS_DANCE,SWAGGER,SHADOW_CLAW,THIEF,ENERGY_BALL,
Optional Move 37,SLEEP_TALK,,GIGA_IMPACT,STEEL_WING,ENDURE,
Optional Move 38,POISON_JAB,,STONE_EDGE,ROOST,EMBARGO,
Optional Move 39,GRASS_KNOT,,SWORDS_DANCE,FLING,PAYBACK,
Optional Move 40,SWAGGER,,STEALTH_ROCK,ENDURE,GIGA_IMPACT,
Optional Move 41,SUBSTITUTE,,CAPTIVATE,SILVER_WIND,FLASH,
Optional Move 42,,,ROCK_SLIDE,GIGA_IMPACT,PSYCH_UP,
Optional Move 43,,,SLEEP_TALK,CAPTIVATE,CAPTIVATE,
Optional Move 44,,,NATURAL_GIFT,SLEEP_TALK,DARK_PULSE,
Optional Move 45,,,POISON_JAB,NATURAL_GIFT,SLEEP_TALK,
Optional Move 46,,,SWAGGER,SWAGGER,DREAM_EATER,
Optional Move 47,,,SUBSTITUTE,U_TURN,SWAGGER,
Optional Move 48,,,,SUBSTITUTE,SUBSTITUTE,
Optional Move 49,,,,FLASH_CANNON,TRICK_ROOM,
