Trainer 56,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,IGGLYBUFF,HAPPINY,AZURILL,TOGEPI,NONE,NONE
Level,8,8,8,8,,
Ability,CUTE_CHARM,NATURAL_CURE,THICK_FAT,HUSTLE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,COPYCAT,COPYCAT,WATER_SPORT,CHARM,,
Move 2,POUND,POUND,WATER_GUN,POUND,,
Move 3,DEFENSE_CURL,MINIMIZE,SPLASH,GROWL,,
Move 4,CHARM,DEFENSE_CURL,TAIL_WHIP,LIFE_DEW,,
Optional Move 1,SING,CHARM,BUBBLE,SWEET_KISS,,
Optional Move 2,SWEET_KISS,PRESENT,ENCORE,PRESENT,,
Optional Move 3,PERISH_SONG,METRONOME,SING,MIRROR_MOVE,,
Optional Move 4,PRESENT,HEAL_BELL,REFRESH,PECK,,
Optional Move 5,FEINT_ATTACK,AROMATHERAPY,TICKLE,FORESIGHT,,
Optional Move 6,WISH,SUBSTITUTE,FAKE_TEARS,FUTURE_SIGHT,,
Optional Move 7,FAKE_TEARS,COUNTER,BODY_SLAM,SUBSTITUTE,,
Optional Move 8,LAST_RESORT,HELPING_HAND,TOXIC,PSYCH_UP,,
Optional Move 9,COVET,GRAVITY,HAIL,NASTY_PLOT,,
Optional Move 10,GRAVITY,LAST_RESORT,HIDDEN_POWER,PSYCHO_SHIFT,,
Optional Move 11,TOXIC,MUD_BOMB,ICE_BEAM,LUCKY_CHANT,,
Optional Move 12,HIDDEN_POWER,TOXIC,BLIZZARD,EXTRASENSORY,,
Optional Move 13,SUNNY_DAY,HAIL,LIGHT_SCREEN,WATER_PULSE,,
Optional Move 14,LIGHT_SCREEN,HIDDEN_POWER,PROTECT,TOXIC,,
Optional Move 15,PROTECT,SUNNY_DAY,RAIN_DANCE,HIDDEN_POWER,,
Optional Move 16,RAIN_DANCE,LIGHT_SCREEN,FRUSTRATION,SUNNY_DAY,,
Optional Move 17,SAFEGUARD,PROTECT,IRON_TAIL,LIGHT_SCREEN,,
Optional Move 18,FRUSTRATION,RAIN_DANCE,RETURN,PROTECT,,
Optional Move 19,SOLAR_BEAM,SAFEGUARD,DOUBLE_TEAM,RAIN_DANCE,,
Optional Move 20,RETURN,FRUSTRATION,FACADE,FRUSTRATION,,
Optional Move 21,DIG,SOLAR_BEAM,SECRET_POWER,SOLAR_BEAM,,
Optional Move 22,PSYCHIC,RETURN,REST,RETURN,,
Optional Move 23,SHADOW_BALL,PSYCHIC,ATTRACT,PSYCHIC,,
Optional Move 24,DOUBLE_TEAM,SHADOW_BALL,ENDURE,SHADOW_BALL,,
Optional Move 25,REFLECT,DOUBLE_TEAM,CAPTIVATE,DOUBLE_TEAM,,
Optional Move 26,SHOCK_WAVE,SHOCK_WAVE,SLEEP_TALK,REFLECT,,
Optional Move 27,FLAMETHROWER,FACADE,NATURAL_GIFT,SHOCK_WAVE,,
Optional Move 28,FIRE_BLAST,SECRET_POWER,SWAGGER,FLAMETHROWER,,
Optional Move 29,FACADE,REST,SUBSTITUTE,FIRE_BLAST,,
Optional Move 30,SECRET_POWER,ATTRACT,,FACADE,,
Optional Move 31,REST,FLING,,SECRET_POWER,,
Optional Move 32,ATTRACT,ENDURE,,REST,,
Optional Move 33,FLING,RECYCLE,,ATTRACT,,
Optional Move 34,ENDURE,FLASH,,FLING,,
Optional Move 35,RECYCLE,THUNDER_WAVE,,ENDURE,,
Optional Move 36,FLASH,CAPTIVATE,,FLASH,,
Optional Move 37,THUNDER_WAVE,SLEEP_TALK,,THUNDER_WAVE,,
Optional Move 38,PSYCH_UP,NATURAL_GIFT,,CAPTIVATE,,
Optional Move 39,CAPTIVATE,DREAM_EATER,,SLEEP_TALK,,
Optional Move 40,SLEEP_TALK,GRASS_KNOT,,NATURAL_GIFT,,
Optional Move 41,NATURAL_GIFT,SWAGGER,,DREAM_EATER,,
Optional Move 42,DREAM_EATER,,,GRASS_KNOT,,
Optional Move 43,GRASS_KNOT,,,SWAGGER,,
Optional Move 44,SWAGGER,,,,,
Optional Move 45,SUBSTITUTE,,,,,
