Trainer 564,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,COPPERAJAH,BRONZONG,METAGROSS,BISHARP,AGGRON,NONE
Level,52,52,52,52,52,
Ability,SHEER_FORCE,LEVITATE,CLEAR_BODY,DEFIANT,STURDY,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,IRON_HEAD,FUTURE_SIGHT,METEOR_MASH,IRON_HEAD,IRON_HEAD,
Move 2,PLAY_ROUGH,EXTRASENSORY,MIRACLE_EYE,IRON_DEFENSE,IRON_DEFENSE,
Move 3,IRON_DEFENSE,IRON_DEFENSE,HAMMER_ARM,NIGHT_SLASH,IRON_TAIL,
Move 4,DIG,GYRO_BALL,PSYCHIC,SLASH,ROCK_SLIDE,
Optional Move 1,HEAVY_SLAM,BLOCK,CONFUSION,METAL_BURST,TACKLE,
Optional Move 2,TACKLE,SUNNY_DAY,METAL_CLAW,SCRATCH,HARDEN,
Optional Move 3,GROWL,WEATHER_BALL,BULLET_PUNCH,LEER,METAL_CLAW,
Optional Move 4,ROLLOUT,TACKLE,TACKLE,FURY_CUTTER,ROCK_TOMB,
Optional Move 5,ROCK_SMASH,CONFUSION,MAGNET_RISE,METAL_CLAW,MUD_SLAP,
Optional Move 6,BULLDOZE,CONFUSE_RAY,TAKE_DOWN,GUILLOTINE,HEADBUTT,
Optional Move 7,STOMP,PAYBACK,FLASH_CANNON,TORMENT,ROAR,
Optional Move 8,STRENGTH,RAIN_DANCE,ZEN_HEADBUTT,FEINT_ATTACK,PROTECT,
Optional Move 9,TOXIC,HYPNOSIS,PURSUIT,SCARY_FACE,METAL_SOUND,
Optional Move 10,HIDDEN_POWER,IMPRISON,SCARY_FACE,ASSURANCE,TAKE_DOWN,
Optional Move 11,TAUNT,PSYWAVE,FOCUS_PUNCH,METAL_SOUND,AUTOTOMIZE,
Optional Move 12,HYPER_BEAM,FEINT_ATTACK,TOXIC,EMBARGO,FOCUS_PUNCH,
Optional Move 13,PROTECT,SAFEGUARD,HIDDEN_POWER,LASER_FOCUS,DRAGON_CLAW,
Optional Move 14,FRUSTRATION,METAL_SOUND,SUNNY_DAY,TOXIC,WATER_PULSE,
Optional Move 15,EARTHQUAKE,HEAVY_SLAM,LIGHT_SCREEN,HIDDEN_POWER,TOXIC,
Optional Move 16,RETURN,HEAL_BLOCK,PROTECT,TAUNT,HIDDEN_POWER,
Optional Move 17,BRICK_BREAK,CALM_MIND,RAIN_DANCE,HYPER_BEAM,SUNNY_DAY,
Optional Move 18,DOUBLE_TEAM,TOXIC,FRUSTRATION,PROTECT,TAUNT,
Optional Move 19,SANDSTORM,HIDDEN_POWER,EARTHQUAKE,RAIN_DANCE,ICE_BEAM,
Optional Move 20,ROCK_TOMB,HYPER_BEAM,RETURN,FRUSTRATION,BLIZZARD,
Optional Move 21,FACADE,LIGHT_SCREEN,SHADOW_BALL,RETURN,HYPER_BEAM,
Optional Move 22,SECRET_POWER,PROTECT,BRICK_BREAK,DIG,RAIN_DANCE,
Optional Move 23,REST,FRUSTRATION,DOUBLE_TEAM,BRICK_BREAK,FRUSTRATION,
Optional Move 24,ATTRACT,SOLAR_BEAM,REFLECT,DOUBLE_TEAM,SOLAR_BEAM,
Optional Move 25,FLING,EARTHQUAKE,SLUDGE_BOMB,SANDSTORM,THUNDERBOLT,
Optional Move 26,ENDURE,RETURN,SANDSTORM,ROCK_TOMB,THUNDER,
Optional Move 27,PAYBACK,PSYCHIC,ROCK_TOMB,AERIAL_ACE,EARTHQUAKE,
Optional Move 28,GIGA_IMPACT,SHADOW_BALL,AERIAL_ACE,FACADE,RETURN,
Optional Move 29,STONE_EDGE,DOUBLE_TEAM,FACADE,SECRET_POWER,DIG,
Optional Move 30,STEALTH_ROCK,REFLECT,SECRET_POWER,REST,BRICK_BREAK,
Optional Move 31,ROCK_SLIDE,SANDSTORM,REST,ATTRACT,DOUBLE_TEAM,
Optional Move 32,SLEEP_TALK,ROCK_TOMB,ENDURE,THIEF,SHOCK_WAVE,
Optional Move 33,SWAGGER,FACADE,EXPLOSION,SNATCH,FLAMETHROWER,
Optional Move 34,SUBSTITUTE,SECRET_POWER,SHADOW_CLAW,FOCUS_BLAST,SANDSTORM,
Optional Move 35,FLASH_CANNON,REST,GIGA_IMPACT,FALSE_SWIPE,FIRE_BLAST,
Optional Move 36,,SKILL_SWAP,ROCK_POLISH,FLING,AERIAL_ACE,
Optional Move 37,,CHARGE_BEAM,FLASH,ENDURE,FACADE,
Optional Move 38,,ENDURE,STONE_EDGE,SHADOW_CLAW,SECRET_POWER,
Optional Move 39,,EXPLOSION,GYRO_BALL,PAYBACK,REST,
Optional Move 40,,RECYCLE,STEALTH_ROCK,GIGA_IMPACT,ATTRACT,
Optional Move 41,,GIGA_IMPACT,PSYCH_UP,ROCK_POLISH,FOCUS_BLAST,
Optional Move 42,,ROCK_POLISH,ROCK_SLIDE,STONE_EDGE,FLING,
Optional Move 43,,FLASH,SLEEP_TALK,THUNDER_WAVE,ENDURE,
Optional Move 44,,STEALTH_ROCK,NATURAL_GIFT,STEALTH_ROCK,DRAGON_PULSE,
Optional Move 45,,PSYCH_UP,GRASS_KNOT,DARK_PULSE,SHADOW_CLAW,
Optional Move 46,,ROCK_SLIDE,SWAGGER,X_SCISSOR,PAYBACK,
Optional Move 47,,SLEEP_TALK,SUBSTITUTE,SLEEP_TALK,GIGA_IMPACT,
Optional Move 48,,NATURAL_GIFT,,POISON_JAB,ROCK_POLISH,
Optional Move 49,,DREAM_EATER,,GRASS_KNOT,STONE_EDGE,
Optional Move 50,,GRASS_KNOT,,SWAGGER,AVALANCHE,
Optional Move 51,,SWAGGER,,SUBSTITUTE,THUNDER_WAVE,
Optional Move 52,,SUBSTITUTE,,FLASH_CANNON,STEALTH_ROCK,
Optional Move 53,,FLASH_CANNON,,,CAPTIVATE,
Optional Move 54,,TRICK_ROOM,,,DARK_PULSE,
Optional Move 55,,,,,SLEEP_TALK,
Optional Move 56,,,,,NATURAL_GIFT,
Optional Move 57,,,,,SWAGGER,
Optional Move 58,,,,,SUBSTITUTE,
Optional Move 59,,,,,FLASH_CANNON,
