Trainer 568,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HELIOLISK,FERROTHORN,MAROWAK,SABLEYE,STONJOURNER,NONE
Level,64,64,64,64,64,
Ability,DRY_SKIN,IRON_BARBS,ROCK_HEAD,KEEN_EYE,POWER_SPOT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,THUNDERBOLT,POWER_WHIP,STOMPING_TANTRUM,FOUL_PLAY,STONE_EDGE,
Move 2,THUNDER,ROCK_CLIMB,THRASH,ZEN_HEADBUTT,BODY_SLAM,
Move 3,DISCHARGE,IRON_DEFENSE,FOCUS_ENERGY,KNOCK_OFF,ROCK_POLISH,
Move 4,RAZOR_WIND,IRON_HEAD,HEADBUTT,SHADOW_BALL,GRAVITY,
Optional Move 1,EERIE_IMPULSE,TACKLE,MUD_SLAP,LEER,ROCK_THROW,
Optional Move 2,QUICK_ATTACK,HARDEN,GROWL,SCRATCH,BLOCK,
Optional Move 3,CHARGE,METAL_CLAW,TAIL_WHIP,FORESIGHT,ROCK_TOMB,
Optional Move 4,BULLDOZE,PIN_MISSILE,FALSE_SWIPE,ASTONISH,STOMP,
Optional Move 5,VOLT_SWITCH,ROLLOUT,BONE_CLUB,SHADOW_SNEAK,STEALTH_ROCK,
Optional Move 6,PARABOLIC_CHARGE,CURSE,LEER,NIGHT_SHADE,ROCK_SLIDE,
Optional Move 7,THUNDER_WAVE,INGRAIN,RAGE,DISABLE,WIDE_GUARD,
Optional Move 8,ELECTRIFY,MIRROR_SHOT,FLING,FAKE_OUT,HEAVY_SLAM,
Optional Move 9,MUD_SLAP,SELF_DESTRUCT,BONEMERANG,DETECT,TOXIC,
Optional Move 10,TAIL_WHIP,GYRO_BALL,RETALIATE,CONFUSE_RAY,HIDDEN_POWER,
Optional Move 11,POUND,FLASH_CANNON,ENDEAVOR,FURY_SWIPES,SUNNY_DAY,
Optional Move 12,THUNDER_SHOCK,PAYBACK,BONE_RUSH,FEINT_ATTACK,HYPER_BEAM,
Optional Move 13,TOXIC,EXPLOSION,DOUBLE_EDGE,PUNISHMENT,PROTECT,
Optional Move 14,HIDDEN_POWER,TOXIC,FOCUS_PUNCH,SHADOW_CLAW,SAFEGUARD,
Optional Move 15,SUNNY_DAY,BULLET_SEED,TOXIC,QUASH,FRUSTRATION,
Optional Move 16,HYPER_BEAM,HIDDEN_POWER,HIDDEN_POWER,POWER_GEM,EARTHQUAKE,
Optional Move 17,LIGHT_SCREEN,SUNNY_DAY,SUNNY_DAY,MEAN_LOOK,RETURN,
Optional Move 18,PROTECT,PROTECT,ICE_BEAM,PSYCH_UP,DOUBLE_TEAM,
Optional Move 19,RAIN_DANCE,GIGA_DRAIN,BLIZZARD,RECOVER,SANDSTORM,
Optional Move 20,FRUSTRATION,FRUSTRATION,HYPER_BEAM,MOONLIGHT,FACADE,
Optional Move 21,SOLAR_BEAM,SOLAR_BEAM,PROTECT,NASTY_PLOT,SECRET_POWER,
Optional Move 22,IRON_TAIL,THUNDERBOLT,FRUSTRATION,FLATTER,REST,
Optional Move 23,RETURN,RETURN,IRON_TAIL,FEINT,ATTRACT,
Optional Move 24,DIG,DOUBLE_TEAM,EARTHQUAKE,FOCUS_PUNCH,ENDURE,
Optional Move 25,DOUBLE_TEAM,SANDSTORM,RETURN,CALM_MIND,GIGA_IMPACT,
Optional Move 26,SHOCK_WAVE,AERIAL_ACE,DIG,TOXIC,PSYCH_UP,
Optional Move 27,SANDSTORM,FACADE,BRICK_BREAK,BULK_UP,SLEEP_TALK,
Optional Move 28,ROCK_TOMB,SECRET_POWER,DOUBLE_TEAM,HIDDEN_POWER,SUBSTITUTE,
Optional Move 29,FACADE,REST,FLAMETHROWER,SUNNY_DAY,,
Optional Move 30,SECRET_POWER,ATTRACT,SANDSTORM,TAUNT,,
Optional Move 31,REST,ENERGY_BALL,FIRE_BLAST,HYPER_BEAM,,
Optional Move 32,ATTRACT,ENDURE,ROCK_TOMB,LIGHT_SCREEN,,
Optional Move 33,FOCUS_BLAST,SHADOW_CLAW,AERIAL_ACE,PROTECT,,
Optional Move 34,CHARGE_BEAM,GIGA_IMPACT,FACADE,RAIN_DANCE,,
Optional Move 35,ENDURE,ROCK_POLISH,SECRET_POWER,GIGA_DRAIN,,
Optional Move 36,DRAGON_PULSE,FLASH,REST,FRUSTRATION,,
Optional Move 37,GIGA_IMPACT,THUNDER_WAVE,ATTRACT,RETURN,,
Optional Move 38,FLASH,SWORDS_DANCE,THIEF,DIG,,
Optional Move 39,DARK_PULSE,SLEEP_TALK,FOCUS_BLAST,PSYCHIC,,
Optional Move 40,ROCK_SLIDE,POISON_JAB,ENDURE,BRICK_BREAK,,
Optional Move 41,SLEEP_TALK,GRASS_KNOT,GIGA_IMPACT,DOUBLE_TEAM,,
Optional Move 42,GRASS_KNOT,SWAGGER,STONE_EDGE,REFLECT,,
Optional Move 43,SWAGGER,SUBSTITUTE,SWORDS_DANCE,SHOCK_WAVE,,
Optional Move 44,U_TURN,,STEALTH_ROCK,ROCK_TOMB,,
Optional Move 45,SUBSTITUTE,,CAPTIVATE,AERIAL_ACE,,
Optional Move 46,,,ROCK_SLIDE,TORMENT,,
Optional Move 47,,,SLEEP_TALK,FACADE,,
Optional Move 48,,,NATURAL_GIFT,SECRET_POWER,,
Optional Move 49,,,SWAGGER,REST,,
Optional Move 50,,,SUBSTITUTE,ATTRACT,,
Optional Move 51,,,,THIEF,,
Optional Move 52,,,,SKILL_SWAP,,
Optional Move 53,,,,SNATCH,,
Optional Move 54,,,,ENERGY_BALL,,
Optional Move 55,,,,FLING,,
Optional Move 56,,,,ENDURE,,
Optional Move 57,,,,DRAIN_PUNCH,,
Optional Move 58,,,,WILL_O_WISP,,
Optional Move 59,,,,EMBARGO,,
Optional Move 60,,,,PAYBACK,,
Optional Move 61,,,,GIGA_IMPACT,,
Optional Move 62,,,,FLASH,,
Optional Move 63,,,,THUNDER_WAVE,,
Optional Move 64,,,,GYRO_BALL,,
Optional Move 65,,,,CAPTIVATE,,
Optional Move 66,,,,DARK_PULSE,,
Optional Move 67,,,,X_SCISSOR,,
Optional Move 68,,,,SLEEP_TALK,,
Optional Move 69,,,,NATURAL_GIFT,,
Optional Move 70,,,,POISON_JAB,,
Optional Move 71,,,,DREAM_EATER,,
Optional Move 72,,,,SWAGGER,,
Optional Move 73,,,,SUBSTITUTE,,
