Trainer 577,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RAICHU,JOLTEON,LUXRAY,EMOLGA,HELIOLISK,NONE
Level,52,52,52,52,52,
Ability,STATIC,VOLT_ABSORB,RIVALRY,STATIC,DRY_SKIN,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,THUNDERBOLT,DISCHARGE,CRUNCH,DISCHARGE,THUNDERBOLT,
Move 2,AGILITY,LAST_RESORT,CHARGE,VOLT_SWITCH,THUNDER,
Move 3,THUNDER,THUNDER,SPARK,SPARK,DISCHARGE,
Move 4,DISCHARGE,AGILITY,THUNDER_FANG,ACROBATICS,RAZOR_WIND,
Optional Move 1,THUNDER_PUNCH,THUNDER_SHOCK,ELECTRIC_TERRAIN,NUZZLE,EERIE_IMPULSE,
Optional Move 2,PLAY_NICE,COVET,TACKLE,TAIL_WHIP,QUICK_ATTACK,
Optional Move 3,SWEET_KISS,SWIFT,LEER,THUNDER_SHOCK,CHARGE,
Optional Move 4,NUZZLE,BITE,THUNDER_SHOCK,QUICK_ATTACK,BULLDOZE,
Optional Move 5,NASTY_PLOT,COPYCAT,BITE,DOUBLE_TEAM,VOLT_SWITCH,
Optional Move 6,CHARM,BATON_PASS,ROAR,CHARGE,PARABOLIC_CHARGE,
Optional Move 7,THUNDER_WAVE,TAKE_DOWN,VOLT_SWITCH,PURSUIT,THUNDER_WAVE,
Optional Move 8,DOUBLE_TEAM,CHARM,SCARY_FACE,SHOCK_WAVE,ELECTRIFY,
Optional Move 9,ELECTRO_BALL,DOUBLE_EDGE,THUNDER_WAVE,ELECTRO_BALL,MUD_SLAP,
Optional Move 10,FEINT,HELPING_HAND,SWAGGER,ENCORE,TAIL_WHIP,
Optional Move 11,SPARK,TACKLE,TOXIC,LIGHT_SCREEN,POUND,
Optional Move 12,SLAM,GROWL,HIDDEN_POWER,AGILITY,THUNDER_SHOCK,
Optional Move 13,LIGHT_SCREEN,TAIL_WHIP,SUNNY_DAY,AIR_SLASH,TOXIC,
Optional Move 14,THUNDER_SHOCK,SAND_ATTACK,HYPER_BEAM,ASTONISH,HIDDEN_POWER,
Optional Move 15,TAIL_WHIP,QUICK_ATTACK,LIGHT_SCREEN,BATON_PASS,SUNNY_DAY,
Optional Move 16,GROWL,BABY_DOLL_EYES,PROTECT,CHARM,HYPER_BEAM,
Optional Move 17,QUICK_ATTACK,DOUBLE_KICK,RAIN_DANCE,COVET,LIGHT_SCREEN,
Optional Move 18,FOCUS_PUNCH,THUNDER_FANG,FRUSTRATION,IRON_TAIL,PROTECT,
Optional Move 19,TOXIC,THUNDER_WAVE,IRON_TAIL,ROOST,RAIN_DANCE,
Optional Move 20,HIDDEN_POWER,PIN_MISSILE,THUNDERBOLT,TICKLE,FRUSTRATION,
Optional Move 21,HYPER_BEAM,CALM_MIND,THUNDER,TOXIC,SOLAR_BEAM,
Optional Move 22,PROTECT,ROAR,RETURN,HIDDEN_POWER,IRON_TAIL,
Optional Move 23,RAIN_DANCE,TOXIC,DOUBLE_TEAM,TAUNT,RETURN,
Optional Move 24,SAFEGUARD,HIDDEN_POWER,SHOCK_WAVE,PROTECT,DIG,
Optional Move 25,FRUSTRATION,SUNNY_DAY,FACADE,RAIN_DANCE,DOUBLE_TEAM,
Optional Move 26,IRON_TAIL,HYPER_BEAM,SECRET_POWER,FRUSTRATION,SHOCK_WAVE,
Optional Move 27,RETURN,LIGHT_SCREEN,REST,SOLAR_BEAM,SANDSTORM,
Optional Move 28,DIG,PROTECT,ATTRACT,THUNDERBOLT,ROCK_TOMB,
Optional Move 29,BRICK_BREAK,RAIN_DANCE,THIEF,THUNDER,FACADE,
Optional Move 30,REFLECT,FRUSTRATION,CHARGE_BEAM,RETURN,SECRET_POWER,
Optional Move 31,SHOCK_WAVE,IRON_TAIL,ENDURE,AERIAL_ACE,REST,
Optional Move 32,FACADE,THUNDERBOLT,GIGA_IMPACT,FACADE,ATTRACT,
Optional Move 33,SECRET_POWER,RETURN,FLASH,SECRET_POWER,FOCUS_BLAST,
Optional Move 34,REST,DIG,CAPTIVATE,REST,CHARGE_BEAM,
Optional Move 35,ATTRACT,SHADOW_BALL,SLEEP_TALK,ATTRACT,ENDURE,
Optional Move 36,THIEF,DOUBLE_TEAM,NATURAL_GIFT,ENERGY_BALL,DRAGON_PULSE,
Optional Move 37,FOCUS_BLAST,SHOCK_WAVE,SUBSTITUTE,FLING,GIGA_IMPACT,
Optional Move 38,FLING,FACADE,,CHARGE_BEAM,FLASH,
Optional Move 39,CHARGE_BEAM,SECRET_POWER,,ENDURE,DARK_PULSE,
Optional Move 40,ENDURE,REST,,FLASH,ROCK_SLIDE,
Optional Move 41,GIGA_IMPACT,ATTRACT,,THUNDER_WAVE,SLEEP_TALK,
Optional Move 42,FLASH,FALSE_SWIPE,,SLEEP_TALK,GRASS_KNOT,
Optional Move 43,CAPTIVATE,ENDURE,,SWAGGER,SWAGGER,
Optional Move 44,SLEEP_TALK,GIGA_IMPACT,,U_TURN,U_TURN,
Optional Move 45,NATURAL_GIFT,FLASH,,SUBSTITUTE,SUBSTITUTE,
Optional Move 46,GRASS_KNOT,CAPTIVATE,,,,
Optional Move 47,SWAGGER,SLEEP_TALK,,,,
Optional Move 48,SUBSTITUTE,NATURAL_GIFT,,,,
Optional Move 49,,SWAGGER,,,,
Optional Move 50,,SUBSTITUTE,,,,
