Trainer 579,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HAUNTER,BISHARP,PINSIR,MACHOKE,MAROWAK,NONE
Level,54,54,54,54,54,
Ability,LEVITATE,DEFIANT,HYPER_CUTTER,GUTS,ROCK_HEAD,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SHADOW_BALL,IRON_HEAD,X_SCISSOR,CROSS_CHOP,STOMPING_TANTRUM,
Move 2,DREAM_EATER,IRON_DEFENSE,THRASH,STRENGTH,THRASH,
Move 3,CONFUSE_RAY,NIGHT_SLASH,SUPERPOWER,BULK_UP,FOCUS_ENERGY,
Move 4,DARK_PULSE,SLASH,FOCUS_ENERGY,KNOCK_OFF,HEADBUTT,
Optional Move 1,SHADOW_PUNCH,METAL_BURST,VICE_GRIP,LOW_KICK,MUD_SLAP,
Optional Move 2,LICK,SCRATCH,HARDEN,LEER,GROWL,
Optional Move 3,HYPNOSIS,LEER,BIND,FOCUS_ENERGY,TAIL_WHIP,
Optional Move 4,MEAN_LOOK,FURY_CUTTER,SEISMIC_TOSS,REVENGE,FALSE_SWIPE,
Optional Move 5,SPITE,METAL_CLAW,REVENGE,KARATE_CHOP,BONE_CLUB,
Optional Move 6,CURSE,GUILLOTINE,BUG_BITE,FORESIGHT,LEER,
Optional Move 7,PAYBACK,TORMENT,DOUBLE_HIT,LOW_SWEEP,RAGE,
Optional Move 8,NIGHT_SHADE,FEINT_ATTACK,VITAL_THROW,VITAL_THROW,FLING,
Optional Move 9,SUCKER_PUNCH,SCARY_FACE,BRICK_BREAK,WAKE_UP_SLAP,BONEMERANG,
Optional Move 10,HEX,ASSURANCE,STORM_THROW,SEISMIC_TOSS,RETALIATE,
Optional Move 11,DESTINY_BOND,METAL_SOUND,STRENGTH,DUAL_CHOP,ENDEAVOR,
Optional Move 12,TOXIC,EMBARGO,SUBMISSION,SCARY_FACE,BONE_RUSH,
Optional Move 13,HIDDEN_POWER,LASER_FOCUS,SWORDS_DANCE,SUBMISSION,FOCUS_PUNCH,
Optional Move 14,SUNNY_DAY,TOXIC,GUILLOTINE,FOCUS_PUNCH,TOXIC,
Optional Move 15,TAUNT,HIDDEN_POWER,FURY_ATTACK,TOXIC,HIDDEN_POWER,
Optional Move 16,PROTECT,TAUNT,FLAIL,HIDDEN_POWER,SUNNY_DAY,
Optional Move 17,RAIN_DANCE,HYPER_BEAM,FALSE_SWIPE,SUNNY_DAY,ICE_BEAM,
Optional Move 18,GIGA_DRAIN,PROTECT,FEINT_ATTACK,LIGHT_SCREEN,BLIZZARD,
Optional Move 19,FRUSTRATION,RAIN_DANCE,QUICK_ATTACK,PROTECT,HYPER_BEAM,
Optional Move 20,THUNDERBOLT,FRUSTRATION,CLOSE_COMBAT,RAIN_DANCE,PROTECT,
Optional Move 21,THUNDER,RETURN,FEINT,FRUSTRATION,FRUSTRATION,
Optional Move 22,RETURN,DIG,FOCUS_PUNCH,EARTHQUAKE,IRON_TAIL,
Optional Move 23,PSYCHIC,BRICK_BREAK,TOXIC,RETURN,EARTHQUAKE,
Optional Move 24,DOUBLE_TEAM,DOUBLE_TEAM,BULK_UP,DIG,RETURN,
Optional Move 25,SLUDGE_BOMB,SANDSTORM,HIDDEN_POWER,BRICK_BREAK,DIG,
Optional Move 26,TORMENT,ROCK_TOMB,SUNNY_DAY,DOUBLE_TEAM,BRICK_BREAK,
Optional Move 27,FACADE,AERIAL_ACE,HYPER_BEAM,FLAMETHROWER,DOUBLE_TEAM,
Optional Move 28,SECRET_POWER,FACADE,PROTECT,FIRE_BLAST,FLAMETHROWER,
Optional Move 29,REST,SECRET_POWER,RAIN_DANCE,ROCK_TOMB,SANDSTORM,
Optional Move 30,ATTRACT,REST,FRUSTRATION,FACADE,FIRE_BLAST,
Optional Move 31,THIEF,ATTRACT,EARTHQUAKE,SECRET_POWER,ROCK_TOMB,
Optional Move 32,SKILL_SWAP,THIEF,RETURN,REST,AERIAL_ACE,
Optional Move 33,SNATCH,SNATCH,DIG,ATTRACT,FACADE,
Optional Move 34,FOCUS_BLAST,FOCUS_BLAST,DOUBLE_TEAM,THIEF,SECRET_POWER,
Optional Move 35,ENERGY_BALL,FALSE_SWIPE,ROCK_TOMB,FOCUS_BLAST,REST,
Optional Move 36,FLING,FLING,FACADE,FLING,ATTRACT,
Optional Move 37,ENDURE,ENDURE,SECRET_POWER,ENDURE,THIEF,
Optional Move 38,WILL_O_WISP,SHADOW_CLAW,REST,PAYBACK,FOCUS_BLAST,
Optional Move 39,EMBARGO,PAYBACK,ATTRACT,CAPTIVATE,ENDURE,
Optional Move 40,EXPLOSION,GIGA_IMPACT,THIEF,ROCK_SLIDE,GIGA_IMPACT,
Optional Move 41,SHADOW_CLAW,ROCK_POLISH,FOCUS_BLAST,SLEEP_TALK,STONE_EDGE,
Optional Move 42,PSYCH_UP,STONE_EDGE,FLING,NATURAL_GIFT,SWORDS_DANCE,
Optional Move 43,CAPTIVATE,THUNDER_WAVE,ENDURE,POISON_JAB,STEALTH_ROCK,
Optional Move 44,SLEEP_TALK,STEALTH_ROCK,GIGA_IMPACT,SWAGGER,CAPTIVATE,
Optional Move 45,NATURAL_GIFT,DARK_PULSE,STONE_EDGE,SUBSTITUTE,ROCK_SLIDE,
Optional Move 46,POISON_JAB,X_SCISSOR,STEALTH_ROCK,,SLEEP_TALK,
Optional Move 47,SWAGGER,SLEEP_TALK,CAPTIVATE,,NATURAL_GIFT,
Optional Move 48,SUBSTITUTE,POISON_JAB,ROCK_SLIDE,,SWAGGER,
Optional Move 49,TRICK_ROOM,GRASS_KNOT,SLEEP_TALK,,SUBSTITUTE,
Optional Move 50,,SWAGGER,NATURAL_GIFT,,,
Optional Move 51,,SUBSTITUTE,SWAGGER,,,
Optional Move 52,,FLASH_CANNON,SUBSTITUTE,,,
